,Unnamed: 0.1,Unnamed: 0,pic1,pic2,jac_ind,id1,id2,url1,url2,clipscore,keep
0,1,868464,2833,1354,0.4871794871794871,2371046,2336761,https://cs.stanford.edu/people/rak248/VG_100K/2371046.jpg,https://cs.stanford.edu/people/rak248/VG_100K/2336761.jpg,0.8401964902877808,1
2,4,869041,3986,2833,0.45,2367596,2371046,https://cs.stanford.edu/people/rak248/VG_100K/2367596.jpg,https://cs.stanford.edu/people/rak248/VG_100K/2371046.jpg,0.8693329691886902,1
3,5,383794,5818,2270,0.4473684210526316,2406913,2409783,https://cs.stanford.edu/people/rak248/VG_100K_2/2406913.jpg,https://cs.stanford.edu/people/rak248/VG_100K_2/2409783.jpg,0.873187243938446,1
5,11,1363500,5364,2940,0.425,2356100,2357087,https://cs.stanford.edu/people/rak248/VG_100K/2356100.jpg,https://cs.stanford.edu/people/rak248/VG_100K/2357087.jpg,0.8835722208023071,1
6,13,1905037,5269,461,0.425,2386170,2364478,https://cs.stanford.edu/people/rak248/VG_100K_2/2386170.jpg,https://cs.stanford.edu/people/rak248/VG_100K/2364478.jpg,0.8393940925598145,1
7,14,11557978,4913,970,0.4230769230769231,2361617,2345277,https://cs.stanford.edu/people/rak248/VG_100K/2361617.jpg,https://cs.stanford.edu/people/rak248/VG_100K/2345277.jpg,0.8844431638717651,1
8,22,1521512,4405,4115,0.4090909090909091,2351625,2407029,https://cs.stanford.edu/people/rak248/VG_100K/2351625.jpg,https://cs.stanford.edu/people/rak248/VG_100K_2/2407029.jpg,0.9330008625984192,1
9,23,2779403,5691,3821,0.4090909090909091,2396786,2373509,https://cs.stanford.edu/people/rak248/VG_100K_2/2396786.jpg,https://cs.stanford.edu/people/rak248/VG_100K/2373509.jpg,0.846728503704071,1
10,24,3560868,6172,3756,0.4090909090909091,2356441,2367786,https://cs.stanford.edu/people/rak248/VG_100K/2356441.jpg,https://cs.stanford.edu/people/rak248/VG_100K/2367786.jpg,0.8549644351005554,1
11,26,40743,6090,4064,0.4054054054054054,2408402,2344062,https://cs.stanford.edu/people/rak248/VG_100K_2/2408402.jpg,https://cs.stanford.edu/people/rak248/VG_100K/2344062.jpg,0.8422459959983826,1
12,28,3907589,1653,72,0.4042553191489361,2362374,2397314,https://cs.stanford.edu/people/rak248/VG_100K/2362374.jpg,https://cs.stanford.edu/people/rak248/VG_100K_2/2397314.jpg,0.8199518918991089,1
13,30,9919720,3953,1958,0.4,2376789,2387687,https://cs.stanford.edu/people/rak248/VG_100K/2376789.jpg,https://cs.stanford.edu/people/rak248/VG_100K_2/2387687.jpg,0.9099732041358948,1
14,31,794232,5038,3695,0.4,2376836,2382909,https://cs.stanford.edu/people/rak248/VG_100K/2376836.jpg,https://cs.stanford.edu/people/rak248/VG_100K_2/2382909.jpg,0.8521047234535217,1
15,33,9989262,3163,827,0.3962264150943396,2378694,2404319,https://cs.stanford.edu/people/rak248/VG_100K_2/2378694.jpg,https://cs.stanford.edu/people/rak248/VG_100K_2/2404319.jpg,0.8897945880889893,1
16,34,12705769,5688,5648,0.3962264150943396,2371194,2327587,https://cs.stanford.edu/people/rak248/VG_100K/2371194.jpg,https://cs.stanford.edu/people/rak248/VG_100K/2327587.jpg,0.8808616995811462,1
20,45,2021320,1645,135,0.3863636363636363,2348467,2322550,https://cs.stanford.edu/people/rak248/VG_100K/2348467.jpg,https://cs.stanford.edu/people/rak248/VG_100K/2322550.jpg,0.9322583079338074,1
21,47,5560876,6131,3027,0.3863636363636363,2356746,2349509,https://cs.stanford.edu/people/rak248/VG_100K/2356746.jpg,https://cs.stanford.edu/people/rak248/VG_100K/2349509.jpg,0.943005919456482,1
23,57,4168481,2479,2430,0.3777777777777777,2403222,2351389,https://cs.stanford.edu/people/rak248/VG_100K_2/2403222.jpg,https://cs.stanford.edu/people/rak248/VG_100K/2351389.jpg,0.8258951306343079,1
24,60,10674715,4534,4069,0.3773584905660377,2396481,2408132,https://cs.stanford.edu/people/rak248/VG_100K_2/2396481.jpg,https://cs.stanford.edu/people/rak248/VG_100K_2/2408132.jpg,0.8588017821311951,1
26,65,5483060,3999,3190,0.375,2414264,2347940,https://cs.stanford.edu/people/rak248/VG_100K_2/2414264.jpg,https://cs.stanford.edu/people/rak248/VG_100K/2347940.jpg,0.8944845199584961,1
27,69,6918311,5957,1925,0.3725490196078431,2403318,2381594,https://cs.stanford.edu/people/rak248/VG_100K_2/2403318.jpg,https://cs.stanford.edu/people/rak248/VG_100K_2/2381594.jpg,0.80886310338974,1
29,73,10989251,1243,765,0.3703703703703703,2411947,2389861,https://cs.stanford.edu/people/rak248/VG_100K_2/2411947.jpg,https://cs.stanford.edu/people/rak248/VG_100K_2/2389861.jpg,0.858361542224884,1
32,79,6430174,5711,3765,0.3673469387755102,2406633,2344264,https://cs.stanford.edu/people/rak248/VG_100K_2/2406633.jpg,https://cs.stanford.edu/people/rak248/VG_100K/2344264.jpg,0.8498166799545288,1
35,85,13982839,5347,488,0.3653846153846153,2370273,2394818,https://cs.stanford.edu/people/rak248/VG_100K/2370273.jpg,https://cs.stanford.edu/people/rak248/VG_100K_2/2394818.jpg,0.8454883694648743,1
36,90,1154809,4264,2362,0.3636363636363636,2357100,2395012,https://cs.stanford.edu/people/rak248/VG_100K/2357100.jpg,https://cs.stanford.edu/people/rak248/VG_100K_2/2395012.jpg,0.8670048117637634,1
39,99,5039298,4589,2167,0.36,2399072,2373707,https://cs.stanford.edu/people/rak248/VG_100K_2/2399072.jpg,https://cs.stanford.edu/people/rak248/VG_100K/2373707.jpg,0.8329781293869019,1
40,102,7062237,4189,936,0.3584905660377358,2407845,2402224,https://cs.stanford.edu/people/rak248/VG_100K_2/2407845.jpg,https://cs.stanford.edu/people/rak248/VG_100K_2/2402224.jpg,0.8861744403839111,1
41,107,9300385,4161,77,0.3571428571428571,2392056,2405054,https://cs.stanford.edu/people/rak248/VG_100K_2/2392056.jpg,https://cs.stanford.edu/people/rak248/VG_100K_2/2405054.jpg,0.8862155675888062,1
43,115,3555792,4281,879,0.3541666666666667,2363334,2336783,https://cs.stanford.edu/people/rak248/VG_100K/2363334.jpg,https://cs.stanford.edu/people/rak248/VG_100K/2336783.jpg,0.8273420333862305,1
