,pic1,pic2,jac_ind,id1,id2
39283751,23434,386,0.583,2377342,2349468
28163031,36556,6212,0.526,2398547,2371319
118635897,20361,15012,0.524,2336667,2397160
45437671,25598,14527,0.514,2340068,2327498
23946515,26035,11123,0.514,2347890,2377460
122491320,16602,12125,0.513,2371103,2345230
367861031,11466,6559,0.511,2376195,2365408
8450566,31302,4663,0.5,2338529,2408942
82522582,32312,30615,0.5,2352113,2322860
24638948,31542,3655,0.5,2353101,2382909
19843518,28652,26971,0.5,2380305,2340274
7571341,22959,12749,0.5,2320972,2331220
134607845,14330,14120,0.5,2416217,2371663
34182654,32568,12264,0.5,2384929,2353479
7795758,29177,28019,0.5,2330674,2332122
31599358,29302,2472,0.5,2326270,2401737
50961360,24432,316,0.5,2347550,2373731
46055436,26371,23434,0.5,2357980,2377342
113387635,28528,27157,0.5,2367251,2403739
41520938,12264,5997,0.5,2353479,2365732
347202851,12590,4692,0.489,2401214,2327106
67235555,5997,4941,0.488,2365732,2350648
188820666,26693,13460,0.488,2384164,2366035
141275183,26647,19112,0.488,2392379,2404812
128728188,22820,13558,0.488,2356677,2368370
54840989,19019,2002,0.488,2320477,2396995
95214303,22300,19611,0.488,2374534,2367581
141513161,26577,25598,0.488,2414665,2340068
45971741,29009,1352,0.487,2360430,2336761
43696099,31383,2812,0.487,2388702,2371046
8051890,6643,485,0.486,129,3851
16533486,28019,16841,0.486,2332122,2397496
285566007,24550,9660,0.478,2390779,2359408
147940413,26971,25125,0.476,2340274,2351783
146803834,18735,3363,0.476,2404895,2382661
117078397,27941,5650,0.475,2390264,2396786
40282324,35299,5254,0.475,2356619,2394272
42877335,29766,5230,0.475,2381007,2398533
58280860,36645,34122,0.475,2399006,2376213
16959271,23343,18009,0.474,2348883,2348481
4811339,22213,16187,0.472,2366137,2406683
3043426,15093,444,0.472,2350516,2351725
2874913,33907,29255,0.472,2356176,2367671
318728681,34804,32743,0.469,2333656,2364357
320025946,35620,7346,0.469,2356681,2355474
137066125,30985,28281,0.467,2319637,2400840
151858469,22025,13166,0.465,2378785,2384582
123921013,31062,14107,0.463,2318601,2322134
58647146,22790,11677,0.463,2366593,2372357
152701493,23100,5222,0.463,2413933,2386170
65466489,5900,695,0.463,2336114,2394893
85557800,26807,16639,0.463,2387545,2393512
144106384,23984,22469,0.463,2341845,2353172
69145289,9465,3904,0.462,2398347,2409743
70163275,35401,5341,0.462,2376690,2336987
30660818,35896,14266,0.462,2358196,2391644
36783537,21122,4997,0.462,2331146,2376836
265046059,35711,9978,0.46,2325505,2355857
15052873,33596,24657,0.459,272,2396308
8462566,36459,12179,0.459,2366868,2350495
13676164,24540,11824,0.459,2410967,2387470
6902156,30741,2416,0.459,2407166,2351389
1902331,32975,26035,0.459,2358587,2347890
4809702,27685,22213,0.459,2320935,2366137
7798315,33679,25370,0.459,2367741,2336300
6167750,36820,34481,0.459,2376853,2344932
183351600,29763,2174,0.458,2411375,2343306
147803826,30871,3966,0.457,2406154,2355544
155883884,31547,30871,0.457,2327934,2406154
197500961,32021,9560,0.457,2363623,2346910
163557386,27844,15901,0.457,2365404,2406968
265990110,30060,25338,0.457,2377639,2362489
204528302,31267,28445,0.455,2360323,2406622
158762945,17078,12245,0.455,2370532,2364865
175946830,22224,5988,0.455,2363201,2400924
143134591,32136,23788,0.455,2356328,2342571
141514581,28795,26577,0.455,2364482,2414665
330318342,13561,2986,0.453,2319186,2360760
507125768,29377,25520,0.453,2367506,713531
375305006,13607,10834,0.451,2384853,2397110
91260364,29255,3983,0.45,2367671,2345473
42925605,16984,12590,0.45,647,2401214
22227151,27347,2726,0.45,2318492,2381227
42766788,7264,3620,0.45,2371515,2383642
49474921,28867,11466,0.45,2366315,2376195
61111044,14096,862,0.45,2383122,2367788
52935416,32135,18438,0.45,2376933,2368310
22073221,31571,20204,0.45,2336292,2402639
249956170,18602,13990,0.449,2337862,2358176
306918524,25295,12186,0.449,2362478,2350372
318716186,32743,16752,0.449,2364357,2366111
265978192,25338,11083,0.449,2362489,2359336
218999508,16835,5041,0.447,2391920,2364178
15186854,14107,12782,0.447,2322134,2407806
10332301,15117,663,0.447,2401772,2385862
10407849,15142,1052,0.447,2338631,2368760
24383282,25535,4365,0.447,2406812,2407681
9997645,5781,2256,0.447,2406913,2409783
13268083,32121,3964,0.447,2360726,2380096
25391194,26522,11684,0.447,2383504,2330987
505158317,35405,29770,0.446,2316776,2349796
249966729,31262,18602,0.444,2363652,2337862
1272407,25510,21694,0.444,2347503,2372777
232600162,20204,15151,0.444,2402639,2367017
125829641,33060,25763,0.444,2372640,2340217
1423330,25892,9394,0.444,2357330,2390950
177363913,35300,29467,0.444,2387387,2356762
965270,31155,22961,0.444,2345857,2400376
269307303,12831,12368,0.444,2410065,2355153
29594,12972,12461,0.444,2389738,2382797
434277281,36862,24973,0.444,2387329,2383325
102942735,19468,8373,0.444,2370565,2355230
130895735,26307,6631,0.442,2318431,2360167
130317136,28175,1138,0.442,2332749,2360294
62510105,34211,19024,0.442,2393359,2343536
158770075,26584,17078,0.442,2371115,2370532
322550348,33427,3206,0.442,2317042,2351081
96690323,33037,4890,0.442,644,2402422
165591008,20287,11360,0.442,2385432,1592909
