	seq_id	image_id	image_path	image_cat	image_subcat	d1	d2	d3	d4	d5
0	0	6889	training/d/dining_room/ADE_train_00006889.jpg	dining_room		There is four chair red laquer dining set shown in the image.	There are opened white french doors leading to the outside showing.	There is a pool with blue water showing through the french doors.	The pools is surrounded by green shrubbery.	The wood floor is covered with white paint.
1	1	2489	training/b/basement/ADE_train_00002489.jpg	basement		basement	water heater	green tile	cinder block pillar	cement floor
2	2	13868	training/n/nursery/ADE_train_00013868.jpg	nursery		A child's bedroom.	With a desk.	A large stuffed polar bear on the bed.	Blue walls.	A red desk chair.
3	3	15412	training/p/playroom/ADE_train_00015412.jpg	playroom		There is a child's table set on the right.	There is red, green, blue and yellow chair on the right.	There is a gray colored microwave on the left.	There two plants on shelves on the left.	There is blue colored rug on the wooden floor.
4	4	5724	training/c/closet/ADE_train_00005724.jpg	closet		This is a bedroom	There are clothes on hangers in an open wardrobe	There is a rug with a circle on it	There is a stripy duvet	There are white drawers
5	5	7071	training/d/dining_room/ADE_train_00007071.jpg	dining_room		It is a formal dining room with a lot of decoration.	The table is dark wood with 6 chairs around it and the chairs have a see-through weave as the back.	There is a gold chandelier above the table with 6 white pendants covering the bulbs.	The rung under the table is a dark gold and some red persian type of rug that almost covers the whole floor, but we can see a little white tile showing along the edges.	On the right is window with drapes that pool on the floor and a tree in the back right corner. The opening to another room is curved in the back left corner and the entire back wall is covered with a picture and 2 scroll gates on the 2 sides of it.
6	6	100530	validation/l/living_room/ADE_val_00000530.jpg	living_room		This room has a very busy hanging on the wall.	There is a plant in front of the fireplace.	There is a coffee table in front of the couch that has books and other things on it.	There is a house on a pedestal by the fireplace.	The wall hanging is a quilt
7	7	3009	training/b/bathroom/ADE_train_00003009.jpg	bathroom		You are in a bathroom and can see the sink, tub and part of toilet	The toilet has a red towel above it	The tube has a wreath hanging above it and a window beside it	The sink has a lamp sitting on it	The room is white and the floor is grey tile pattern
8	8	7382	training/d/dorm_room/ADE_train_00007382.jpg	dorm_room		This is a small bedroom.	The bed has a red and yellow checkered blanket and small blue pillow.	There is a red and black plastic chair.	The desk has several items, including food, on and under it.	There appear to be bars on the windows.
9	9	2785	training/b/bathroom/ADE_train_00002785.jpg	bathroom		It's a picture of a contemporary white bathroom.	There is a white vessel sink with chrome faucets.	The vanity is a chocolate brown modern with sleek chrome pulls	There is a white bathtub on the left with a window above.	There is a huge wall mirror on the right, about the sink.
10	10	3914	training/b/bedroom/ADE_train_00003914.jpg	bedroom		People sleep here.	The bed is medium sized and grey.	The walls are a similar color to the bedspread.	There is a floor lamp that lights upward.	The floors are wood.
11	11	3700	training/b/bedroom/ADE_train_00003700.jpg	bedroom		bed room	pink bed spread	red curtains	towels on the bed	red pillows
12	12	16790	training/s/staircase/ADE_train_00016790.jpg	staircase		There is a hallway with stairs.	There is a blue support column in the middle of the room.	The stairs are white with a metal hand rail.	There is a phone in a metal case on the wall.	There is a metal door in the room.
13	13	757	training/l/living_room/ADE_train_00000757.jpg	living_room		On the left of the image there's a green leafy plant.	There's also a white sofa and a white cloth loveseat with dark brown/orange printed pillows on them on top of white carpet.	There's a open door leading out in the back corner of the room.	There's also a green and beige fire place with candle sticks on the mantle.	You'll see a brown table with a lamp that has a white lamp shade in the bottom left corner of the image.
14	14	82	training/b/bathroom/ADE_train_00000082.jpg	bathroom		It is an image of a large spacious bathroom	The sink is of a very modern style with a base shaped like a cylinder.	The toilet is an unusual style with a low profile and base much wider than traditional toilets.	The shower is enclosed with glass doors and trimmed in stainless steel.	There is a stool in the lower left of the image with a towel and brush on it and slippers on the floor.
15	15	10509	training/k/kitchen/ADE_train_00010509.jpg	kitchen		The image is a narrow galley style kitchen with white wood panels at the ceiling.	There's two hanging lights coming down over an island that has a sink in it.	The cupboards are all painted yellow and there's black countertops.	There's a yellow and reddish orange checkered backsplash along the walls.	There's recessed lighting in the cabinets over the large kitchen window.
16	16	16799	training/s/staircase/ADE_train_00016799.jpg	staircase		An entryway with a staircase and grand piano.	The piano is to the right of the stairs.	The room has large white columned archways.	There is a chandelier above the piano.	There are cream colored curtains on the windows behind the piano.
17	17	10291	training/k/kitchen/ADE_train_00010291.jpg	kitchen		This is a picture of an alley kitchen.	There is a double stainless steal sink to the left of the photo.	There is a stainless steal stove and microwave hood fan to the right of the photo.	There hard wood floor extends out to an area with big windows.	There are floor to ceiling windows with possibly a set of arch windows above.
18	18	2693	training/b/bathroom/ADE_train_00002693.jpg	bathroom		A small bathroom with gold trim around the shower door.	There is one sink under the mirror.	There is a window on the wall above the bathtub/shower combo.	There is a liquid soap bottle to the left of the sink.	A towel hangs on a rod above the toilet.
19	19	10735	training/k/kitchen/ADE_train_00010735.jpg	kitchen		This is a really small kitchen	There is a small wood table that has 3 seats.	The cabinets are white.	The fridge is half the size of a normal fridge.	There are curtains on the left hand side of the room.
20	20	3621	training/b/bedroom/ADE_train_00003621.jpg	bedroom		This is a bedroom in mainly white	There is a double bed	There is a white headboard	There are two pictures on the wall	There are flowers on the nightstand
21	21	9407	training/h/home_office/ADE_train_00009407.jpg	home_office		It is an office with 3 monitors.	Those monitors look like there is a shirtless guy in them.	There is a CPU unit on a shelf next to the desk and underneath is the printer.	There is a black office chair.	There are a ton of cords on the ground.
22	22	7199	training/d/dining_room/ADE_train_00007199.jpg	dining_room		I am looking at what appears to be a dining set.	There is a red table cloth covering the table.	There is a red pendant lamp.	Around the back of the dining set is a L-shaped banquet.	There are two chairs on the other side of the table.
23	23	14984	training/p/pantry/ADE_train_00014984.jpg	pantry		there is a pantry in the kitchen	there is a white door to the pantry	it looks to be a room on a second floor or split level	there are lots of cookware in the pantry	there is a double door stainless steel fridge across from the pantry
24	24	10089	training/k/kennel/indoor/ADE_train_00010089.jpg	kennel	indoor	There is a room with empty cages in it.	There are two black lines on the floor.	There is a door at the end of the room.	There are fluorescent lights in the ceiling.	The cages are made of metal.
25	25	4188	training/b/bedroom/ADE_train_00004188.jpg	bedroom		This is a bedroom.	There is a plain, wood bed with a white covering.	The walls are white with multiple framed pictures along it.	There is a small window in a recessed area at the back of the bedroom.	There is a red diamond on teh coverlet on the bed.
26	26	4109	training/b/bedroom/ADE_train_00004109.jpg	bedroom		Mostly this room is a bed.	There is a lamp on a small white nightstand next to the bed.	The bed has a light blue bed skirt and white comforter and 4 white pillows.	There is a blue dresser with a lamp on it.	There is a full length window with vertical shades.
27	27	100172	validation/b/bedroom/ADE_val_00000172.jpg	bedroom		There is a table to the bottom right.	There is a mirror on the wall.	I can see a large armoire to the left of the table.	There is a little bit of an arm of a sofa seen in the bottom left corner	There are only two chairs on the table
28	28	6853	training/d/dining_room/ADE_train_00006853.jpg	dining_room		This is a kitchen dining room combination.	There is a brown wooden table surrounded by six wooden chairs and sits in front of a large window.	The floor is large white tiles with small green tiles between them.	There is a chandeleir over the table and a large vase of flowers on the table.	The cabinets in the kitchen area are brown wood.
29	29	13873	training/n/nursery/ADE_train_00013873.jpg	nursery		This is a nursery room	There is a small blue rug	There is a small blue armchair	There is a white cot with blue bedding	There is a small square footstool
30	30	707	training/l/living_room/ADE_train_00000707.jpg	living_room		There is a large sectional couch to the left.	There are seven pillows on the couch.	There are two silver tables in front of the couch.	There is a wooden cabinet that the couches are facing.	There is a plant to the left of the cabinet.
31	31	10691	training/k/kitchen/ADE_train_00010691.jpg	kitchen		There are three stools here	The stools are at a white counter	There is an orange wall in the background	The stools have black piping	There is a pale wood floor
32	32	7035	training/d/dining_room/ADE_train_00007035.jpg	dining_room		Dining room	grey floor tile	wood table	six chairs with yellow cushions	two cacti
33	33	1925	training/a/attic/ADE_train_00001925.jpg	attic		An attic bedroom.	With a twin bed.	With skylights.	With a blue comforter.	With pink walls.
34	34	3522	training/b/bedroom/ADE_train_00003522.jpg	bedroom		A hotel room.	With a chair.	With two windows.	With floral print above the bed.	Folded blankets on the bed.
35	35	374	training/b/bedroom/ADE_train_00000374.jpg	bedroom		A bedroom with a small window and door leading outside.	The bed and dresser are made of wood	The bed has a green quilt on it.	There are 3 stars above the bed.	There is a wooden chest in the room.
36	36	15584	training/p/poolroom/home/ADE_train_00015584.jpg	poolroom	home	Look for a picture of a rec room with a pool table.	The room looks like a cabin with high ceilings and wood paneling.	There is a tv on the right wall.	The floor has beige carpeting and the room has one white wall and one natural wood wall.	You can see trees out the windows on the far wall.
37	37	2681	training/b/bathroom/ADE_train_00002681.jpg	bathroom		This is a bathroom	There are two taps on the sink	There are two lamps	There is a rectangular mirror above the sink	The mirror has a black frame
38	38	542	training/b/bedroom/ADE_train_00000542.jpg	bedroom		There is a green tree and a air condition unit outside the window.	There is one teal and one white wall.	The bed has a blue aquarium themed quilt on it.	The bed has a white metal headboard.	There are two animal and one picture fixture on the walls.
39	39	183	training/b/bathroom/ADE_train_00000183.jpg	bathroom		It's a picture of a bathroom with a toilet on the left and a bath/shower on the right.	The floor has a checkered black and white pattern.	Above the toilet there's a small picture with a silver frame and white border hanging on the wall.	The bath has a navy blue shower curtain. It's currently open so you see inside the bath.	There's a small wicker basket on the floor next to the toilet.
40	40	100483	validation/k/kitchen/ADE_val_00000483.jpg	kitchen		kitchen	white stove	white fridge	aluminum tea pot on stove	glass teapot on counter
41	41	3713	training/b/bedroom/ADE_train_00003713.jpg	bedroom		There is a room with white walls.	There are two tiny twin beds next to eachother.	There are blue sheets on both beds.	There is a small table in between the bed with lights on it.	The floor is beige wood.
42	42	2915	training/b/bathroom/ADE_train_00002915.jpg	bathroom		There is a toilet with 4 rolls of toilet paper on the top of it.	There is a free standing sink	There is a soap dish with green soap.	There is an empty towel rack above the toilet.	There is a wooden medicine cabinet over the sink.
43	43	948	training/p/poolroom/home/ADE_train_00000948.jpg	poolroom	home	This has a large blue pool table in the middle of the room.	The walls are painted a cream color.	There is a large archway the pool table is positioned near.	It has a stone tile floor.	There is a mirror on the right side and poles and balls on the left side.
44	44	620	training/k/kitchen/ADE_train_00000620.jpg	kitchen		This is a picture of a small red and white kitchen.	The wall to the right is red.	The wall to the front is white.	There is a small white stove with a stainless steal back splash.	The counter to the right has a white and gray marble cutting board on it.
45	45	3521	training/b/bedroom/ADE_train_00003521.jpg	bedroom		This is a bedroom with a yellow drape on the window.	The bed has flowery sheets on it and is on the very left.	There is a white dresser on the back wall	the dresser has a basket of dolls on it.	The room is painted white, you are looking through the door way.
46	46	11473	training/l/living_room/ADE_train_00011473.jpg	living_room		There is a living room with a couch and chairs.	There is a floral rug in the middle of the room.	There are four framed pictures above the couch.	The window has wooden blinds on it.	The couch is white and has two pillows.
47	47	101464	validation/k/kitchen/ADE_val_00001464.jpg	kitchen		Look for a picture of a tiny white kitchen that is old.	There is a small white stove and the cabinet above is half way open.	There's also a stainless steel sink.	There is a window with the blinds closed above the sink.	There is white tile on the wall with some kind of yellow or gold pattern.
48	48	16834	training/s/staircase/ADE_train_00016834.jpg	staircase		Facing a staircase that splits at the top (left and right)	The stairs and banister are wood but have a green carpet runner all the wall up the stairs	Where the stairs split there is a nook in the wall where a plant or statue is stiing	The picture has a date in the lower right hand corner 07 20 2006	The downstiar walls are painted white and have at least 2 paintings on the side walls.
49	49	20183	training/y/youth_hostel/ADE_train_00020183.jpg	youth_hostel		There is a woman in black and white	There are curtains in a shade of yellow	There is a polished wood floor	There is a small table on the right hand corner	There are two windows
50	50	9365	training/h/home_office/ADE_train_00009365.jpg	home_office		This is a small office space	There is a large, dark leather chair at the desk	There is a large plant in the window	The desk is cluttered	There are two framed pictures on the wall
51	51	6977	training/d/dining_room/ADE_train_00006977.jpg	dining_room		This dining room has a reddish wood table with 4 chairs.	There is a china cabinet across from the table.	There is a large rug under the table that has a border around the edges.	There is also a circular table that has a plant on it.	There is a light fixture above the table with 5 lights.
