word,count
كُلّ,1221094
آن,1074909
شَيء,1046586
أَجل,971064
أَمر,659316
بَعض,457433
خَير,416134
أَحَد,404517
وَقت,400239
رَجُل,393601
شَخص,375727
شُكر,363723
يَوم,342851
جِدّ,325596
غَير,314630
حَقّ,283973
مَرَّة,278313
إِنسَان,267243
مَكَان,261167
شَأّ,250271
مَعك,209441
طَبع,208175
فِعل,196936
عَمَل,189695
لَيلَة,184675
عَالَم,177814
جَمِيع,176501
لَعنَة,173008
حَقِيقَة,167450
حَال,158335
ذَهَاب,156550
مَنك,154445
مَنزِل,147141
تَوَقُّف,142590
مُجَرَّد,142572
طَرِيق,141527
فِكرَة,136556
مَال,135703
جَحِيم,134468
حَيَاة,133947
سَيِّد,132694
أَبَد,131408
بَحَّاجَة,128998
نَفس,127771
بَحق,127469
مُشكِلَة,120564
نَار,118645
شُرطَة,113664
بَاب,110387
تَمَام,108275
سَنَة,104825
سَيَّارَة,103845
حِيَّة,102806
سَبَب,102389
فَتَاة,100874
أَرض,97492
دُولَار,96774
مَنهَى,96172
مَدِينَة,94323
وَاقِع,91791
دَقِيقَة,91409
حُصُول,90738
مَوت,90404
طَرِيقَة,90137
نَوع,89720
لَحظَة,89384
أَلِم,86591
رَئِيس,86578
غُرفَة,86121
تَحَدُّث,85604
سَاعَة,85205
رَفِيق,85053
شَىء,82849
تُبّ,82173
رَقم,81782
مَزِيد,80904
عِيد,80245
قِيَام,79721
فُرصَة,77024
صَبَاح,76600
حَالَة,71681
عَلَاقَة,71246
نِهَايَة,70497
مَعنَى,70311
طِفل,70266
رُؤيَة,68696
مَدرَسَة,67016
حُبّ,66127
سَيِّدَة,65229
سَجن,65069
عَودَة,64024
بَيت,63515
لَيل,63050
حَرب,61212
هَاتِف,61036
مَعرِفَة,60823
وَالِد,60802
جِنس,60189
رَجِيج,60101
ذَات,59901
طَعَام,59430
بَقَاء,59087
نِصف,58521
مَاء,58505
خَطَأ,58079
عَام,57488
مَلِك,56310
فَرِيق,56016
بُدّ,55960
وُجُود,55377
لَأجِل,55021
صَدِيق,54986
كَلِمَة,54940
فَتَى,54313
جُزء,54165
نَوم,53406
خُرُوج,53392
بَخصُوص,52980
تَرجَمَة,52954
غَد,52384
نَظرَة,51924
كُله,51693
وَشك,51410
مُسَاعَدَة,51400
اِمرَأَة,51355
عَائِلَة,50800
عَدَم,50470
خَارِج,50318
مَثلَك,49840
رِسَالَة,48932
مُبَاشَرَة,48857
أُسبُوع,48857
اِسم,48721
طَبِيب,48246
مُسَاعِدَة,47176
مَوضُوع,46995
قِصَّة,46835
عَشَاء,46568
بَطرِيقَة,46522
بُوَاسَطَة,46333
فَترَة,46309
زَوجَة,46298
نِسَاء,45763
إِطلَاق,45572
مَكتَب,45095
طَلَب,45092
وَضع,44764
عَدَد,44190
قَيد,44112
لُعبَة,43924
لَكل,43780
مَجمُوعَة,43450
رَبّ,43287
لِقَاء,43164
اِبن,42892
عَمَلِيَّة,42814
حَدِيث,42539
شَرِكَة,42340
تَفكِير,41934
صُورَة,41755
سَمَاء,41461
شَهر,41158
قَول,39420
طَائِرَة,39396
وُصُول,39332
حَظّ,39013
قَائِد,38817
بِدَايَة,38734
حَفلَة,38665
مَعلُومَة,38600
قَضِيَّة,38511
نَظَر,38403
عِدَّة,38214
جَانِب,38100
مَوعِد,37747
دُخُول,37727
دَم,37673
جِهَاز,37549
سُؤَال,37536
شَمس,37526
دَاخِل,37498
زَوَاج,36927
بَحث,36683
مَفهُوم,36462
وَغد,36218
سَفِينَة,36208
بَبعَض,36131
خَطَر,36131
كَلَام,35936
تَقرِيب,35926
رَجَاء,35330
جَرِيمَة,34920
تَحَرُّك,34613
مُخَدِّر,34581
بَشَر,34579
صَوت,34534
مِنطَقَة,34515
مَركَز,34070
قُوَّة,34057
اِتِّصَال,33620
شَارِع,33562
مَعذَرَة,33492
قَانُون,33420
قِطعَة,33383
هَرَاء,33284
هَوَاء,33204
مُستَشفَى,33002
قِسم,32855
وَدَاع,32840
عُثُور,32652
لَفتَرَة,32608
سَيطَرَة,32525
حِين,32502
بُشدَة,32114
كِتَاب,32103
كُرَة,32054
قَتل,32009
دُكتُور,31905
هَدَف,31782
رَأسك,31776
بَعمَل,31751
رِحلَة,31650
مَسَاء,31649
إِعَادَة,31641
خُطَّة,31638
حَاجَة,31573
مُنتَصَف,31535
شُعُور,31520
وَجه,31490
مَهَمَّة,31196
بَحر,31194
دَلِيل,31095
حَلقَة,30871
لَعبَة,30848
سِلَاح,30413
مِيلَاد,30331
عَرض,30309
نِظَام,30282
مَوقِع,30254
عَمِيل,30231
بَلدَة,30083
نَقد,30050
قِيَادَة,30014
خِيَار,29820
أَحمَق,29745
رَؤيتِك,29715
إِيجَاد,29644
نُقطَة,29615
مَرَه,29607
مَكنَك,29334
شَبّ,29289
جَيش,29243
قَائِمَة,28888
فِيلم,28869
قِتَال,28799
الأخبار,28722
مُحَاوَلَة,28638
تَغيِير,28487
قَاتِل,28363
خَبَر,28360
قَهوَة,28341
أَمن,28329
خَطّ,28282
عَاهِرَة,28121
صَاحِب,28019
طَابِق,27814
قَلب,27242
مُستَقبَل,27228
بَارِحَة,27158
مَحكَمَة,27157
عَيش,26804
مِلك,26788
الموسيقى,26344
عَجُوز,26343
ظَلَام,26201
