word,count
време,678590
човек,452832
работа,429787
ден,422000
път,394380
хора,394312
година,378657
баща,374828
дявол,316332
сър,313127
майка,306416
жена,305467
място,289215
живот,266645
татко,263990
бож,248811
господин,245046
сам,234671
пара,232686
нужда,222932
начин,222175
приятел,212062
вечер,195647
проблем,192191
кола,175763
нощ,172617
мамо,168982
момиче,168332
момче,166931
име,161723
част,156529
мъж,153732
час,148792
брат,147975
минута,146133
помощ,139251
мамка,137813
дете,136187
страна,135989
глава,132194
момент,131000
човече,126355
свят,124676
случай,122530
дом,120853
май,120543
значение,120327
къща,119509
дъщеря,116984
въпрос,116506
идея,113472
истина,112341
мама,107810
земя,107153
мисъл,106557
семейство,106220
сестра,105222
врата,102323
полиция,101588
бог,101310
син,101264
град,100749
ръка,99473
око,98674
седмица,97954
среща,97865
смърт,96626
край,94362
сърце,93965
телефон,92422
училище,89655
месец,88245
чао,88085
дума,87622
долар,86806
любов,86111
шанс,85567
вода,85440
глупост,82761
право,81590
история,81471
номер,80354
стая,79331
тяло,77553
връзка,77213
затвор,76892
лице,75574
причина,75556
страх,74509
кръв,74420
превод,73833
късмет,72306
сигурност,69368
утро,69083
агент,68597
информация,68344
избор,67895
год,67559
сутрин,67487
грешка,66480
д-р,65978
чичо,64928
храна,64852
война,64494
браво,64375
родител,63213
план,61427
представа,59380
секс,59196
госпожо,58722
вечеря,58209
хиляда,57838
капитане,57824
луд,57723
смисъл,57416
кафе,56700
промяна,55730
дядо,55713
оръжие,55686
ред,55397
довиждане,55330
вид,55072
пич,55056
тип,54015
възможност,53729
внимание,53719
задник,53614
съпруга,53275
сила,53201
коп,51503
дама,50987
капитан,50923
бизнес,50821
грижа,50798
приятелка,49746
кораб,49624
чест,49566
легло,48640
убийство,48489
шефе,48468
удоволствие,48089
майна,47900
идиот,47844
коледа,47756
игра,47380
милион,47273
новина,46952
болница,46814
полицай,46217
доктор,45752
секунда,45562
куче,44964
решение,44840
глупак,44724
съобщение,44456
крак,44259
филм,44163
офис,43758
бебе,43715
удар,43684
души,43665
мога,43634
убиец,43473
хлапе,43377
уста,43105
отговор,42409
чувство,42348
адвокат,41381
контрол,41305
заповед,41277
група,40934
величество,40695
компания,40663
бъдеще,40647
детектив,40406
номера,40177
начало,40032
снимка,39904
безопасност,39876
огън,39843
тайна,39757
баба,39702
система,39590
лъжа,39527
подарък,39401
синко,39076
успех,38834
почивка,38713
лейтенант,38416
парта,38410
опит,38351
вина,38135
услуга,38002
лекар,37987
екип,37985
музика,37621
президент,37253
състояние,37218
крал,37133
книга,37052
субтитър,36939
мир,36805
цел,36703
поздравление,36418
улица,36417
сделка,36358
минало,36230
изненада,36039
гръб,36007
карта,35993
окей,35507
боб,35227
правило,34688
сватба,34434
сержант,33947
бира,33462
пистолет,33450
кучка,33338
слава,33208
госпожа,33181
песен,33075
герой,33069
шоу,32990
куча,32893
дреха,32858
опасност,32817
сметка,32266
сън,32259
господар,31590
ченге,31497
светлина,31404
точка,31298
половина,31186
полковник,31151
линия,31042
обяд,30936
съпруг,30701
доказателство,30624
съдба,30464
пистоле,30207
слънце,30082
бой,30055
чай,29734
мадам,29732
армия,29715
боклук,29636
разговор,29171
мистър,28973
коса,28882
съд,28799
риба,28753
душа,28700
метър,28595
вино,28545
магазин,28477
самолет,28379
болка,28369
небе,28325
мозък,28130
секса,27703
дупка,27630
звезда,27617
загуба,27520
битка,27473
маса,27425
тоалетна,27367
писмо,27295
съвет,27114
сграда,27067
операция,27019
етаж,27007
хотел,26966
мис,26922
достъп,26757
шега,26649
шеф,26543
жертва,26360
гора,26246
ехо,26237
прозорец,25991
сбогом,25983
борд,25922
лудост,25817
съжаление,25768
движение,25756
отбор,25650
генерал,25575
апартамент,25463
закон,25452
среда,25407
стена,25313
дълг,25261
епизод,25258
ниво,25219
надежда,25210
данна,25182
правителство,25076
въздух,24985
мисия,24695
чаша,24685
глас,24674
доверие,24673
поглед,24659
позиция,24415
полза,24336
гадже,24329
енергия,24226
защита,24146
километър,23982
център,23922
дон,23905
кухня,23856
списък,23830
клуб,23811
гей,23692
щастие,23682
дух,23681
благодарение,23632
наркотик,23555
питие,23524
сигнал,23406
желание,23347
уважение,23288
леля,23238
парти,23206
свобода,22982
църква,22978
клас,22897
чудо,22884
животно,22802
знак,22801
директор,22751
документ,22670
нос,22669
гост,22621
оу,22584
форма,22529
възраст,22514
шибан,22484
кон,22475
пътуване,22468
цена,22429
разлика,22350
търпение,22278
неприятност,22263
парче,22072
чанта,21974
кутия,21938
войник,21846
ситуация,21831
офицер,21797
оте,21796
ключ,21762
дело,21669
миличка,21655
планет,21610
охрана,21554
престъпление,21487
бар,21473
следа,21399
отдел,21388
река,21350
сезон,21269
изход,21167
такса,21058
бомба,21002
под,20958
партньор,20900
мнение,20897
инцидент,20811
дърво,20758
лорд,20652
капан,20615
брой,20587
планета,20559
свидетел,20558
атака,20418
костюм,20372
закуска,20369
ум,20262
кралица,20205
машина,20179
петък,20125
принц,20121
положение,20102
роля,20079
минутка,20024
мил,20022
клиент,20016
банка,20009
джин,20004
обувка,19981
член,19840
разрешение,19838
богу,19724
нож,19603
топка,19587
телевизия,19585
рокля,19486
чудовище,19460
колеж,19447
море,19207
стъпка,19078
зала,19078
огъня,19069
учител,18992
вкус,18948
кожа,18922
север,18818
интернет,18737
летище,18677
база,18661
предложение,18628
власт,18605
камък,18605
връх,18548
камера,18498
остров,18433
злато,18417
посока,18401
отговорност,18374
командир,18353
лодка,18349
баня,18335
събота,18318
граница,18300
код,18204
началник,18140
цвете,18133
модел,18100
честит,18080
награда,18072
месо,18070
полет,18066
парк,18036
поле,18003
език,17977
брак,17954
луна,17947
влак,17933
двойка,17933
хан,17870
заплаха,17827
сцена,17747
вселе,17640
проклятие,17638
покана,17631
контакт,17600
гръд,17577
тест,17522
същество,17488
интерес,17465
задача,17455
програма,17449
шум,17343
лейда,17336
магия,17332
кабинет,17203
лаборатория,17203
мляко,17184
тишина,17125
обаждане,17009
мач,16969
пиене,16951
риск,16944
служба,16893
стотица,16871
бюро,16853
скорост,16842
вяра,16733
док,16623
извинение,16601
ресторант,16593
миг,16548
ход,16516
враг,16444
век,16420
багаж,16310
неделя,16267
зона,16250
зъб,16235
съдия,16107
лед,16057
спомен,16054
катастрофа,16017
разследване,15989
адрес,15983
