word,count
na,9202361
pondělí,1039228
moc,858026
pořádek,630857
abych,502329
den,469364
čas,431058
život,403780
lidé,397845
teba,395125
pár,382500
tvoj,359099
věc,357176
pravda,355866
Oh,350890
místo,340011
práce,325256
léta,323362
toba,304938
abys,282585
noc,275000
peníze,271725
problém,256494
paní,250095
dítě,246331
fakt,245564
otec,233893
chvíle,232792
jméno,229666
zlato,220202
člověk,218843
muž,214572
žena,210766
pomoc,206011
pan,182548
auto,181886
štěstí,181045
abyst,176767
minuta,173620
stát,160959
země,158936
ruka,153411
chlap,151631
matka,150319
srdce,148148
nápad,147425
svět,146646
číslo,144720
táta,143974
dveře,143915
konec,140952
máma,139750
zbraň,136729
hodina,136357
dům,131656
loď,129416
hlava,122946
důvod,121429
smrt,121258
týden,117409
holka,116979
oko,116542
dolar,115850
bůh,115694
pán,114922
rok,114898
strach,113797
cesta,113548
super,112428
kapitán,112406
chvilka,111669
přítel,110983
syn,110519
slovo,110091
pocit,109956
kluk,109848
dr,109765
plán,109635
tělo,108161
tenhle,107761
doba,107514
policie,106031
slečno,105488
šance,105226
způsob,104282
jídlo,101293
doktor,97968
vězení,97528
krev,97255
případ,95349
město,93356
klid,92205
smysl,91894
rodina,89724
chyba,89439
telefon,88995
důl,88752
kdybys,88483
bratr,87447
madam,86549
bezpečí,85187
tým,84083
pokoj,83997
rodič,83978
příběh,83258
zpráva,82113
spousta,82003
část,81146
večeře,81097
škola,80560
strana,79784
dáma,79630
možnost,79502
tudy,78336
chlape,75677
tajemství,73797
zbytek,73518
prachy,73210
informace,72002
dcera,70449
hub,70181
naživu,69402
mysl,69176
blázen,68627
sestra,68497
pohyb,67867
film,67767
noha,67672
sranda,66730
dobrej,66262
moment,65878
manžel,65477
cena,65293
měsíc,65010
otče,64383
vlas,64314
láska,64077
skutečnost,63777
právo,63220
společnost,62801
otázka,62493
rozhodnutí,62458
překlad,62195
tedala,61936
sen,61450
sex,61414
starost,59802
odpověď,59709
král,59038
rande,58937
oka,58778
nemocnice,57492
kdybyst,55737
ticho,55588
FBI,54903
ulice,54470
voda,54405
kousek,54352
rozkaz,54146
obchod,53830
jež,53216
hra,53115
šat,52980
slunce,52345
systém,52117
síla,52115
hlad,52017
hlas,52015
budoucnost,51192
šéf,51008
vrah,50937
světlo,50725
chlapec,50383
tvář,49726
důkaz,49586
párt,49485
pití,49099
překvapení,48909
škoda,48586
většina,48339
čert,48208
seznam,48155
zlatíčko,48134
dívka,48090
zdraví,47488
klíč,47177
druh,47143
bolest,47036
tohohle,46813
válka,46595
oddělení,46560
zařízení,46491
bota,46348
místnost,46327
tvýcha,46146
hajzl,45911
hotel,45859
vztah,45407
tvůj,45374
nebezpečí,45319
názor,45207
pivo,45052
cit,44941
chlápek,44793
pravidlo,44673
cíl,44607
dopis,44168
zadek,44150
pes,44009
agent,43977
dárek,43966
stopa,43687
rozdíl,43346
signál,43338
spojení,43265
začátek,43187
Frank,43108
me,43067
postel,43060
zájem,42939
mozek,42900
Ah,42883
oběd,42716
oblečení,42195
televize,42142
krok,42096
domov,41985
hon,41936
hektar,41917
situace,41806
příležitost,41690
úkol,41553
radost,41294
duše,41234
osud,40477
letadlo,40380
schůzka,40369
součást,40282
oběť,40280
soud,40176
kůň,40106
povolení,39663
vtip,39659
slečna,39498
útok,39473
přítelkyně,39292
vzduch,39208
výběr,39132
vina,39100
laskavost,39047
byt,39040
pozornost,39038
přístup,38796
prsten,38570
řada,38516
vražda,38358
fotka,38303
pohled,37925
děvče,37858
potíž,37720
oheň,37678
klub,37605
yeah,37522
bezva,37352
energie,37183
typ,37178
show,37164
um,36980
vyšetřování,36964
manželství,36875
kniha,36759
vánoce,36735
kancelář,36723
droga,36722
kus,36572
vzkaz,36562
dohoda,36547
vesmír,36481
setkání,36260
zub,36246
hoch,36104
tušení,35943
kamarád,35775
ráno,35612
směr,35070
umění,35061
poručík,35051
záznam,34936
bar,34703
každej,34564
dno,34389
čaj,34299
osoba,34263
metr,34184
zlý,34024
stůl,33727
prezident,33673
slib,33583
zákon,33577
potřeba,33571
celej,33360
zápas,33262
zábava,33080
jed,32817
stav,32588
drahoušek,32581
chuť,32577
ponětí,32460
koule,32396
sekunda,32381
narozeniny,32322
idiot,32256
test,32141
moře,32089
krk,32005
operace,31888
boj,31851
plukovník,31774
čest,31762
zeď,31617
paráda,31508
program,31508
kód,31464
obličej,31315
mrtvej,31268
věk,31242
účet,31202
zima,31153
pus,31137
detektiv,31080
naděje,30858
lék,30747
pozice,30726
víkend,30598
seržant,30587
vítězství,30583
mobila,30522
nebe,30482
pole,30396
chování,30272
oblast,30244
záda,30138
hrdina,30124
nehoda,30121
minulost,30112
znamení,30001
pokus,29892
schopnost,29870
sklapeň,29867
meč,29761
korekce,29761
park,29667
generál,29594
dar,29517
víno,29482
titulek,29397
okamžik,29372
stanice,29261
hlášení,29218
vláda,29193
nos,29184
jazyk,29171
tomuhlo,29094
akce,29071
čin,29069
takovej,29019
zvíře,28997
wow,28993
armáda,28938
nůž,28891
velkej,28782
kontakt,28749
výsledek,28713
podstata,28362
vůdce,28332
vlak,28315
přání,28126
výsost,28083
jednotka,28041
hotový,27850
zranění,27808
duch,27746
zvuk,27710
rozhovor,27632
okno,27572
okolí,27534
adresa,27515
blbost,27470
maso,27322
kontrola,27264
prst,27072
lež,26982
paluba,26921
kterej,26900
milimetr,26756
služba,26744
veličenstvo,26708
káva,26620
detektiva,26580
stroj,26553
královna,26453
před,26382
zadka,26346
kolo,26329
samý,26308
obraz,26254
bacha,26208
soudce,26131
právník,26049
kamarádka,25999
klídka,25929
kámoš,25918
polda,25911
tlak,25850
záležitost,25771
CIA,25757
mise,25655
řeč,25580
kec,25533
obvinění,25519
zločin,25468
bomba,25467
vedení,25428
och,25229
století,25214
ctihodnost,25133
řešení,25104
pátek,25103
vteřina,25091
myšlenka,25016
zástupce,25001
mý,24983
voják,24915
rada,24865
večírek,24822
starej,24778
hudba,24751
kalhoty,24700
huh,24634
hranice,24616
snídaně,24605
chlápka,24580
video,24577
skupina,24542
nick,24468
kámen,24463
dojem,24342
hvězda,24219
historie,24192
obava,24189
svatba,24178
legrace,24162
mír,24148
Maxi,24086
role,24063
rychlost,24010
svýho,23912
dobro,23904
počítač,23876
děcko,23757
nima,23738
vzpomínka,23688
nádhera,23641
ten,23618
království,23452
kamera,23434
otisk,23420
nabídka,23406
ostrov,23392
budova,23379
zázrak,23290
výlet,23187
los,22948
velitel,22934
peklo,22854
kůže,22800
gay,22779
drink,22628
samota,22596
lady,22539
vítr,22467
babek,22449
doktorko,22410
dnešek,22409
záchod,22376
násilí,22299
náhoda,22292
východ,22216
představení,22172
letiště,22152
hodinky,22146
volno,22088
noviny,22070
zdroj,22047
kuchyň,21973
babička,21660
nálada,21642
karta,21626
vědomí,21597
kočka,21591
ochrana,21548
nepřítel,21485
baba,21433
oblek,21425
hovor,21377
zpoždění,21335
planeta,21249
řeka,21203
zboží,21190
ryba,21018
kouzlo,21013
bezpečnost,20994
odvaha,20909
třída,20909
svoboda,20893
major,20799
píseň,20769
návštěva,20767
trest,20765
styl,20764
prostor,20745
rána,20700
stovka,20685
háj,20660
kilometr,20652
pobřeží,20616
synek,20616
manželka,20596
blbej,20562
kost,20479
smlouva,20467
počasí,20442
návrh,20412
tvům,20318
chudák,20312
množství,20274
týhlo,20228
restaurace,20125
minutek,20086
děvka,20015
pistole,19986
vesnice,19986
nesmysl,19975
libra,19941
ředitel,19931
papír,19894
volba,19865
šílenství,19815
míra,19794
známka,19776
trik,19744
banka,19691
potěšení,19689
soukromí,19577
part,19515
sračka,19507
jednání,19476
mistr,19475
raz,19465
článek,19454
příkaz,19420
Ježíš,19413
doprava,19331
představa,19205
touhle,19163
sever,19157
roh,19137
projekt,18988
zlo,18971
důstojník,18944
nemoc,18905
úspěch,18846
dozadu,18822
území,18813
úsměv,18812
data,18804
blbec,18800
maminka,18784
období,18714
podpora,18695
bok,18670
přátelství,18667
ucho,18627
svina,18626
dílo,18594
změna,18582
teorie,18510
vejce,18403
tima,18316
bum,18299
sobota,18289
vysvětlení,18277
vůle,18258
řízení,18250
doktorka,18250
penen,18247
heka,18195
paměť,18177
talent,18169
učitel,18159
rozum,18119
zmlkně,18116
velení,18080
pasta,18075
tanec,18025
díra,17984
prášek,17967
kotě,17926
rukojmí,17915
prase,17895
koleno,17870
lístek,17834
autobus,17781
marka,17685
léto,17651
strom,17565
dětství,17546
prohlášení,17493
kuře,17492
vir,17488
uheň,17478
šerife,17443
most,17436
prostředí,17431
chlapík,17423
klobouk,17416
sráč,17394
princ,17316
ztráta,17291
spravedlnost,17288
prodej,17266
les,17265
prima,17234
tos,17141
profesor,17128
míč,17127
brýle,17085
varování,17070
prsa,16972
zkušenost,16938
plno,16926
seš,16924
hledání,16900
pohřeb,16825
plus,16821
princezna,16820
zodpovědnost,16815
nen,16781
policajt,16731
skvělej,16729
všechen,16721
téma,16687
žádost,16674
go,16668
krása,16663
květina,16654
výraz,16633
holčička,16624
detail,16622
proces,16608
úmysl,16605
oslava,16512
strýček,16494
pláž,16470
koláč,16456
lid,16431
brána,16426
plyn,16343
jistota,16301
povinnost,16279
led,16272
nerv,16267
stvoření,16266
past,16245
západ,16206
up,16169
taxi,16135
hlupák,16120
září,16116
závod,16116
vybavení,16111
dort,16107
motor,16022
odpověz,15993
polovina,15951
utrpení,15898
pták,15896
víra,15873
