word,count
tak,291584
far,202470
mand,175752
mor,171737
dag,158284
år,143785
tid,140187
gang,137318
sted,136008
tag,126376
folk,121183
brug,120148
ting,119487
tale,114391
liv,105062
ret,99508
mod,96632
vej,96305
gud,95401
død,89406
fande,86435
ven,81611
hjælp,81323
arbejde,79116
penge,77622
aften,76337
skat,72057
hestekraft,71359
navn,70387
morgen,70212
måde,64892
stop,62319
verden,60979
par,60075
søn,56316
fyr,56084
barn,54985
pige,53542
øjeblik,52233
familie,51011
menneske,49830
møde,48302
kone,47471
skyld,47211
grund,46375
minut,45792
slags,45777
orden,45628
bil,44897
helvede,44344
del,43021
lort,42663
fejl,42334
politi,40807
kvinde,40760
pis,40405
side,40142
bror,39939
spørgsmål,39697
hus,39563
by,39107
dreng,38821
leder,38721
destekraft,37869
problem,36772
ord,36677
time,34803
datter,34234
job,34147
kæft,34005
løb,32803
våben,32472
mad,31427
stå,30982
chance,30468
dør,30368
hånd,29466
ben,29152
hoved,28604
plads,28509
historie,27832
rest,27760
blod,27366
jord,27284
uge,27021
søster,26898
nummer,26707
skide,26065
nat,25994
tur,25827
sandhed,25387
valg,25160
kaptajn,25022
øje,24894
vand,24783
måned,24678
kort,24088
sag,24048
idé,23794
slut,23739
seng,23561
besked,23445
lov,23317
klokke,23174
masse,23168
slip,23036
dollar,22720
hjerte,22648
agent,22432
herre,22378
vis,22193
fred,22069
kærlighed,22069
aftale,21797
plan,21654
mening,21651
forælder,21634
ansigt,21588
chef,21486
sjov,21358
held,21349
lyst,21348
røv,21060
svar,21017
land,20950
sikkerhed,20937
tom,20773
fyre,20692
spil,20254
krig,20213
stykke,19916
værelse,19596
million,19403
idiot,19286
svin,19254
person,18976
miss,18788
fald,18741
træk,18740
godmorgen,18695
knægt,18637
tøj,18493
lykke,18456
kamp,18179
her,17968
højre,17801
fængsel,17630
goddag,17412
hund,17406
skade,17405
tal,17400
sex,17360
kaffe,17343
skød,17011
pistol,16930
film,16846
tjeneste,16794
lig,16640
stol,16497
onkel,16207
vejr,16181
forhold,16084
dame,16078
hår,15974
fest,15974
råd,15824
telefon,15802
sekund,15786
lys,15698
skole,15639
billede,15542
kontor,15493
fly,15317
bog,15175
doktor,15146
dyr,15109
bord,15107
spor,14977
betjene,14903
baby,14704
gutte,14489
makke,14368
læge,14230
mord,14204
fare,13996
ære,13984
ide,13846
egn,13839
advokat,13805
smule,13770
tidspunkt,13767
lærer,13657
vildt,13507
rejse,13421
røvhul,13409
mund,13369
fars,13322
gave,13287
løgn,13251
sid,13228
middag,13185
præsident,13183
pris,13123
angreb,13046
bevis,12984
drøm,12955
drink,12939
kontakt,12938
stemme,12868
frue,12754
øl,12713
hospital,12647
stil,12584
krop,12569
luft,12495
general,12474
hav,12458
pokke,12413
meter,12389
guds,12295
konge,12143
fade,12041
pa,12040
sang,11983
mål,11928
ro,11842
styr,11839
oberst,11729
nød,11619
skål,11562
stand,11543
følelse,11339
satan,11333
minde,11282
lejlighed,11253
skid,11237
mulighed,11182
fremtid,10992
musik,10982
magt,10974
tide,10929
fart,10914
brød,10877
sælger,10803
snak,10782
skam,10779
adgang,10634
ejer,10597
ild,10577
gade,10548
respekt,10542
jul,10541
opgave,10540
hul,10506
tusind,10482
frøk,10479
ordre,10411
tegn,10387
ens,10331
nyhed,10248
mester,10169
skib,10106
skrid,10095
dræb,10059
sjæl,10036
forsvind,10016
sko,9952
lyve,9937
rum,9905
hær,9878
nar,9875
sår,9828
kammerat,9795
morder,9752
frokost,9747
himmel,9648
fjols,9637
form,9602
område,9557
vågn,9548
kontrol,9530
håb,9493
bar,9390
skud,9339
besøg,9330
frygt,9320
stof,9308
søvn,9299
hjerne,9290
red,9250
ryg,9217
nærhed,9091
fornøjelse,9043
styrke,9023
sten,8991
vilje,8976
fisk,8944
professor,8868
tilfælde,8815
mark,8809
date,8796
kys,8795
tanke,8788
glas,8732
vagt,8709
gulv,8664
kald,8645
fange,8568
love,8539
skæbne,8501
glæde,8482
båd,8426
medicin,8414
sol,8414
skov,8373
hest,8369
start,8359
røg,8346
smerte,8345
hotel,8323
kælling,8323
oplysning,8300
rejs,8282
forsøg,8278
løjtnant,8268
beslutning,8246
fed,8233
hop,8197
soldat,8152
nøgle,8111
forskel,8103
selvmord,8098
ansvar,8068
fødselsdag,8050
engelsk,8008
hemmelighed,8006
regel,8003
overraskelse,8002
fod,8000
rend,7958
skridt,7952
situation,7941
kraft,7915
gruppe,7893
partner,7881
te,7876
pik,7841
guld,7768
vegne,7761
selskab,7759
ordrer,7717
vin,7690
tvivl,7639
halvdel,7632
uheld,7600
broder,7556
støtte,7534
mørke,7528
glip,7516
tilladelse,7510
kød,7487
forbindelse,7483
vindue,7432
bygning,7432
bank,7411
arm,7402
alder,7377
opkald,7373
dommer,7372
slag,7357
nåd,7355
offer,7347
rige,7331
sergent,7330
træ,7317
mission,7305
toilet,7284
brev,7280
tv,7280
liste,7254
vidne,7219
hævn,7165
kop,7127
morgenmad,7123
forretning,7089
lord,7074
kilometer,7028
grin,7006
frihed,7001
hals,6967
pakke,6911
samtale,6878
procent,6849
godaften,6839
ø,6828
klasse,6797
led,6792
tog,6782
ferie,6779
sværd,6758
pause,6702
smil,6672
bedstefar,6664
dukke,6630
position,6621
ulykke,6586
fjende,6584
tante,6574
opmærksomhed,6570
drikke,6569
magi,6520
ring,6512
dronning,6499
taske,6476
flod,6448
kat,6434
lyd,6427
varme,6420
skiderik,6410
række,6401
træner,6394
ballade,6377
rod,6374
smut,6369
gas,6354
luder,6350
major,6317
bryllup,6314
eksempel,6313
comput,6306
hvile,6305
skilt,6301
bud,6243
rom,6236
kjole,6233
dæk,6233
mareridt,6216
kors,6204
æg,6199
tilbud,6173
bombe,6154
fælde,6151
rose,6149
fuld,6144
ægteskab,6136
type,6130
firma,6129
tøs,6126
kniv,6118
gæt,6086
system,6080
evne,6057
regering,6056
bedstemor,6043
stik,6021
top,6019
flok,6011
kirke,5990
energi,5987
kong,5978
tillid,5976
undskyldning,5953
køkken,5939
signal,5931
gæst,5913
drop,5909
retning,5894
dans,5862
bro,5852
knæ,5851
ramme,5841
hundrede,5839
kamera,5808
fætter,5786
team,5770
adresse,5756
bus,5725
sind,5703
omgang,5683
stinke,5678
rolle,5676
hold,5660
bukser,5646
fredag,5625
prinsesse,5620
nord,5618
tekst,5600
bånd,5555
information,5553
karriere,5528
tryk,5500
brod,5491
hat,5491
klap,5489
unge,5472
nul,5461
rapport,5428
sand,5375
kugle,5346
succes,5345
show,5344
virkelighed,5341
smag,5329
afstand,5300
bytte,5289
grænse,5280
mobil,5261
port,5256
fis,5253
blomst,5249
strand,5218
anelse,5217
sprog,5215
leg,5206
betjent,5201
redder,5199
veninde,5186
pres,5183
kode,5175
begyndelse,5169
majestæt,5168
trussel,5165
lady,5128
college,5074
lørdag,5074
flaske,5065
papir,5062
behold,5058
station,5044
afdeling,5033
samarbejde,5008
kylling,5001
kilo,4999
væg,4991
finger,4981
operation,4978
eftermiddag,4974
fortid,4944
bold,4935
tilstand,4928
amerikansk,4925
gæld,4920
tab,4920
nr,4916
løsning,4914
bane,4902
grad,4894
senator,4892
vagter,4891
prins,4883
point,4874
lufthavn,4855
næ,4853
vold,4851
nøgel,4840
forslag,4830
bøsse,4822
panik,4817
angriber,4803
forklaring,4773
syd,4771
check,4768
hustru,4733
ende,4731
dna,4731
vest,4728
behov,4713
hils,4711
størrelse,4707
spøg,4705
løn,4688
abe,4678
jakke,4646
pille,4639
lift,4638
stjer,4628
millimeter,4621
fingeraftryk,4611
mandag,4610
gude,4600
syn,4596
kage,4589
engel,4586
park,4571
bid,4558
monster,4547
lås,4515
ur,4501
bande,4500
sal,4495
hjørne,4488
kasse,4473
