word,count
Mann,321436
Zeit,222434
Frau,203385
Gott,182517
Hallo,178262
Morgen,156520
Leute,153519
Vater,153318
Tag,144756
Geld,139575
lieben,138201
Mutter,132693
Nacht,119549
gut,116743
Ordnung,109080
Mädchen,102114
Haus,101606
Freund,98846
Abend,98225
Welt,96875
Mensch,95960
Angst,95369
Scheiße,90340
Kind,88162
Moment,86482
Herr,86124
Musik,81841
Arbeit,81097
Jahr,79258
Familie,79192
Sohn,76687
Problem,76125
Hilfe,73587
Sache,73389
Bruder,72998
Dank,68523
Fall,66598
Stadt,66554
Uhr,65096
Kopf,64409
Name,64256
Baby,63502
Ende,61961
Glück,61883
Minute,61269
euer,60809
Tür,59358
Dr.,59282
Ding,59075
Jungs,58544
Auge,58073
Auto,57092
Ahnung,56948
Polizei,56475
Art,53952
Teufel,52966
neu,52393
Hand,51274
Tochter,50807
Idee,50589
Schwester,50536
Kerl,50388
Job,49933
groß,49758
Ruhe,49748
Tod,49395
Grund,48915
Wasser,48703
Stunde,47208
Miß,47026
Land,46831
Schatz,46696
Geschichte,46645
Wahrheit,45383
kriegen,45296
Woche,45135
wagen,44990
Zimmer,44621
Seite,44101
Spiel,43079
Ort,42945
Spaß,42786
Chance,41830
Bett,40713
Wort,40700
Freundin,40183
Entschuldigung,40078
Typ,39766
Gesicht,39371
Blut,38186
Schule,37457
Teil,37435
Herz,36919
alt,36572
Waffe,36055
Arsch,35491
Platz,35290
jung,34930
Eltern,34886
Nummer,34603
Papa,34172
Telefon,33601
passen,33131
Plan,32719
König,32114
Fehler,32060
Menge,31815
nah,31578
Film,31523
Hölle,30855
Büro,30759
Feuer,30261
Hund,29837
Schiff,29278
Luft,29244
Doktor,29077
klein,28365
Kumpel,28240
Kaffee,27741
Straße,27688
Buch,27333
richtig,26955
Arzt,26692
Onkel,26609
Wahl,25994
Himmel,25824
Stück,25798
Zukunft,25774
Typ|Type|Typus,25575
Licht,25484
Party,25422
Gefühl,25316
Schlüssel,25118
Nachricht,24756
Rest,24724
Million,24522
Körper,24196
Mist,24024
Gefängnis,23605
Sinn,23089
Boden,22942
Wohnung,22798
Opfer,22737
Mund,22712
Boss,22617
stimmen,22556
schön,22471
Sicherheit,22364
Krankenhaus,22298
General,22286
Zeug,22076
Verzeihung,22072
Idiot,21999
Sex,21732
verdammen,21689
Geschäft,21627
Person,21553
Meinung,21288
Liebling,20859
Team,20821
Mörder,20746
Monat,20659
Kampf,20565
Schluß,20489
Tisch,20000
Leben,19990
Mord,19919
Hotel,19877
Nähe,19870
Ärger,19804
Antwort,19689
Meister,19593
versuchen,19219
Fenster,19196
ha,19049
Bewegung,18959
Traum,18845
Bild,18815
Handy,18806
Augenblick,18802
Ziel,18698
Gefahr,18517
Leiche,18496
Klappe,18366
Entscheidung,18228
Anfang,18119
Gedanke,18094
Zug,18012
Bescheid,17860
Agent,17775
Sekunde,17727
Finger,17721
Anwalt,17615
Partner,17563
Rolle,17496
Bier,17493
Dame,17254
Chef,17052
gleichen,16987
Information,16701
Hochzeit,16669
Vorsicht,16648
Ehre,16610
Seele,16568
Raum,16538
Richtung,16379
Weile,16268
Kontrolle,16178
Brief,16154
Foto,16082
Beispiel,16053
Kraft,16032
'nen,15996
Tasche,15921
Lage,15823
Geschenk,15789
euren,15787
Boot,15749
Rücken,15724
Beweis,15637
Hunger,15630
Witz,15597
Preis,15580
Majestät,15573
Unfall,15543
bar,15502
Pferd,15501
Befehl,15390
Wunder,15382
Geist,15289
Verbindung,15249
Firma,15208
Präsident,15105
Frieden,15086
Gold,15030
wetten,15000
süß,15000
Armee,14972
Bank,14918
Karte,14890
Sonne,14872
Liste,14847
Punkt,14736
Geburtstag,14592
Kirche,14586
Nase,14576
Anruf,14555
Beziehung,14526
Tante,14436
Professor,14405
eigen,14385
Flugzeug,14347
Güte,14323
Regierung,14243
Fuß,14146
Wein,14029
Major,13998
Geheimnis,13980
letzt,13902
Hoffnung,13894
Kontakt,13813
Gericht,13783
Weihnacht|Weihnachten,13621
Computer,13528
Volk,13510
Show,13503
Droge,13494
Blick,13421
Überraschung,13392
Königin,13369
Besuch,13365
Achtung,13258
schlecht,13254
Gesellschaft,13236
Schicksal,13196
Lust,13191
Haar,13181
Soldat,13178
Tee,13159
Sheriff,13138
Hals,13106
Möglichkeit,13064
Zeichen,13060
Bord,12988
Vergangenheit,12981
Vergnügen,12949
Lord,12715
Gesetz,12686
Gebäude,12628
Insel,12601
Rat,12555
Glas,12440
Küche,12403
falsch,12403
Schritt,12394
ganz,12373
Schwein,12345
Situation,12344
Aufgabe,12261
Messer,12221
Kamera,12189
Wald,12179
Glückwunsch,12177
Sergeant,12163
Richter,12112
Monster,12085
Gegend,12056
Band,12008
Schuh,12003
Lieutenant,11917
Hälfte,11855
Respekt,11845
Spur,11830
Schlampe,11827
stoppen,11820
Kleid,11768
Fernsehen,11745
Freude,11715
Ring,11710
Ball,11664
Feind,11664
Mission,11654
Bein,11636
Adresse,11623
Abendessen,11612
Unsinn,11594
Untertitel,11562
Position,11554
Bulle,11465
Drink,11444
Gruppe,11351
Eis,11336
Ehemann,11326
Schmerz,11312
Freiheit,11273
Schwierigkeit,11255
Ei,11239
Verbrechen,11213
Deal,11113
Fleisch,11086
Erfolg,11064
Bericht,11015
arm,10988
Prinzessin,10930
spielen,10914
Angebot,10910
Schätzchen,10847
Planet,10841
Taxi,10839
Lied,10811
Dorf,10771
Wind,10767
Zeitung,10661
weiß,10660
Polizist,10633
Meter,10610
Wochenende,10597
unternehmen,10562
Schuß,10503
Angriff,10492
Hut,10484
Tier,10479
Unterschied,10460
Maschine,10450
Meer,10417
Loch,10392
Quatsch,10337
besonder,10212
Wand,10190
Bus,10168
Ecke,10148
Park,10132
Brücke,10078
Auftrag,10044
Mut,10041
Ohr,10026
Haufen,10006
Interesse,9992
Flasche,9982
Frühstück,9965
Gespräch,9963
fangen,9954
Bombe,9905
Blume,9903
schwarz,9878
Gelegenheit,9837
Schwert,9811
Neuigkeit,9806
Tor,9790
Druck,9774
Dach,9750
kosten,9707
Energie,9702
Patient,9698
Verantwortung,9665
Gehirn,9653
System,9638
Wahnsinn,9539
Lösung,9508
Zeitpunkt,9499
Pause,9440
Knast,9377
Schwanz,9342
Operation,9331
heilig,9327
Club,9259
Hintern,9248
Baum,9242
Lehrer,9222
Held,9221
tot,9188
Gewalt,9179
Thema,9145
