word,count
κύριος,777231
σπίτι,759761
ποιος,641138
δουλειά,625010
αλήθεια,611426
παιδί,574068
ζωή,549423
χρόνος,471442
ώρα,469590
φορά,457076
πράγμα,433797
μέρα,431843
γυναίκα,416170
μαμά,391866
μέρος,356940
στιγμή,340353
λάθος,334139
πρόβλημα,316118
μπαμπά,284888
μητέρα,280385
ιδέα,277477
κυρία,270582
νόμιζη,266791
πατέρα,255958
κόσμος,251147
καιρός,245435
μωρός,237653
χαρά,236510
όνομα,236323
άνθρωπος,223532
βράδυ,221458
δίκιο,216288
τέλος,215050
αγάπη,214836
θέση,214392
απόψος,212356
πόλη,207784
τρόπος,202680
εαυτός,201115
χέρι,198377
όπλο,192402
τύπος,190850
λεπτό,188788
κορίτσι,188733
βοήθεια,188639
θέμα,188376
διάολος,185675
πόρ,185376
μάτι,183547
γαμώτο,183406
σίγουρος,180578
ιστορία,180538
δρ,178177
δρόμος,176267
καλός,174988
ομάδα,173709
αμάξι,172545
πρωί,169891
κεφάλι,169480
λόγος,165181
ευκαιρία,163974
αστυνομία,162886
νύχτα,161976
σχέση,160659
φίλος,160397
τ',157139
κόρη,154414
δωμάτιο,153950
γραφείο,152552
ψέμα,151541
άντρας,148147
αγόρι,148044
οικογένεια,146403
νερό,141991
τηλέφωνο,141592
καρδιός,141308
αίμα,139408
χρήμα,136130
μυαλός,136106
ποιός,133971
ενα,132777
μήνας,130929
υπόθεση,125976
αντίο,125550
φυλακή,120570
πλάκα,120492
σημασία,120291
σχολείο,119964
παιχνίδι,117677
συνέχεια,117296
κατάσταση,114551
θεός,114267
σχέδιο,113732
φαγητό,111628
κοπέλα,110816
δολάριο,109455
κανένας,109069
τύχη,107284
αυτοκίνητο,107044
πόδι,106993
δύναμη,106640
αρχή,105854
γονέας,104404
γη,102644
γιος,100241
επιλογή,98660
χώρα,96757
αφεντικό,96114
κε,96013
βιβλίο,95955
μισός,94559
απόδοση,93698
κα,93349
σώμα,93047
γιο,92828
περίπτωση,92731
μήνυμα,92485
ραντέβος,90052
νοσοκομείο,89973
καφέ,89093
συμφωνία,88586
πάρτι,87984
ερώτηση,87663
χριστός,87507
ταινία,86088
πρόσωπο,85941
σειρά,84238
ποτό,83411
σκάφος,83289
κρεβάτι,83122
φωτιά,82102
λέξη,81806
πόλεμος,81743
στοιχείο,80564
σεξ,80465
πλευρά,79489
μέλλον,79268
προσοχή,79208
σημείο,78827
διάλογος,78482
αδερφή,78333
περιοχή,78275
φίλη,77725
γιατρός,77566
ρούχα,77312
πληροφορία,77114
τιμή,76795
πραγματικότητα,76417
κομμάτι,76107
άδεια,75527
σκάσες,75222
αποστολή,74747
φωτογραφία,74284
σύστημα,74086
θάνατος,73949
ταξίδι,73524
ασφάλεια,73264
είδος,72829
φως,72137
πλοίο,71189
εβδομάδα,69997
τμήμα,69958
τρελός,69693
δείπνο,69516
ημέρα,69186
γνώμη,68871
άτομο,68635
κέντρο,68604
μέση,68295
βδομάδα,67717
άκρος,67600
δώρος,67433
επίθεση,67074
πτώμα,66352
λίστα,66323
μαλλιά,65773
ενδιαφέρον,65543
έλεγχος,65135
στόμα,64120
νόημα,63783
ακούστης,63421
γάμος,63060
έρευνα,62598
βάση,62051
σήμα,61994
μαλακία,61978
επιμέλεια,61907
εκατομμύριο,61733
ντετέκτιβ,61644
αέρας,61602
μάχη,61172
αδελφή,60780
βασιλιάς,60426
ανάγκη,60157
ματιά,60092
δεσποινή,59878
αεροπλάνο,59755
γραμμή,59107
χιλιάδα,58622
παρελθόν,58122
ξενοδοχείο,58028
απάντηση,57923
ατύχημα,57738
κλειδί,57158
επαφή,56504
μάνας,55717
χώρος,55660
συγχαρητήρια,55627
δολοφόνος,55101
μέτρο,54484
φωνή,54456
τηλεόραση,54406
τραπέζι,54404
παρέας,54391
μηχανή,54225
κίνηση,53635
ύπνος,53473
πρόγραμμα,53316
απόφαση,53151
μπαρ,53133
θύμα,52594
χρονός,52464
γιαγιό,52170
μπάνιο,52067
ψυχή,51976
πρόεδρος,51472
δικαίωμα,51419
τραγούδι,51136
σκηνή,51132
μαγαζί,50965
ει,50542
ελπίδα,49997
κου,49984
ησυχία,49836
κώλος,49709
γεγονός,49643
όνειρο,49388
αναφορά,49147
προσωπικό,49115
κανόνας,48872
έκπληξη,48694
κουτί,48062
πλανήτης,47960
κάθαρμα,47358
συνάντηση,47306
κινητό,46445
φόνος,46166
τσάντα,45966
επιχείρηση,45948
βόλ,45899
ναρκωτικός,45859
αδερφό,45835
στρατό,45723
διαφορά,45606
θάλασσα,45358
δις,45268
γράμμα,45166
απόδειξη,45146
σκοπός,45033
κόλαση,44985
αγώνας,44937
παράθυρο,44812
απόγευμα,44777
ζωέ,44677
τοσ,44562
εκκλησία,44532
αρχηγός,44283
εταιρεία,44160
κτίριο,43763
βόμβα,43633
κρασί,43141
δικαστήριο,43054
νησί,42816
μάθημα,42758
σφαίρα,42590
τέρας,42486
τάξη,42447
γλώσσα,42302
κάρτα,42141
πράκτορας,42093
ρα,41974
αρχεία,41920
σκύλα,41889
πλάτος,41881
διαμέρισμα,41768
βιβλία,41630
τσάι,41620
ηλικία,41541
υπηρεσία,41394
βασίλισσα,41308
τράπεζα,41280
χαρτίά,41167
στοίχημα,41046
μαλάκα,41018
δωμάτιό,41000
εποχή,40971
κυβέρνηση,40961
δευτερόλεπτο,40908
αδελφός,40803
αριθμός,40711
λαιμός,40695
πόνος,40530
γλυκό,40466
για,40434
κακός,40390
δόξος,40168
βοήθειά,40148
κάμερα,40118
γάμησος,40021
φορτηγός,39905
εταιρία,39891
'σένα,39874
παπούτσι,39705
δάσος,39599
πάρτυ,39489
μπλε,39451
βίντεο,39437
έτος,39304
σημάδι,39145
κλειδιός,38947
μαχαίρι,38927
κόλπος,38803
