word,count
al,4256912
gracia,2075978
vez,2036932
verdad,1556469
casa,1526283
tiempo,1504192
favor,1464288
señor,1423890
hombre,1275562
vida,1225448
cosa,1124111
año,1096956
día,1049222
noche,1011596
acuerdo,969912
gente,965160
trabajo,947944
padre,926952
mundo,807028
dinero,782339
momento,773391
estado,768209
lugar,759823
hijo,753004
amigo,734750
tipo,717334
madre,709884
mierda,696612
papá,652939
mamá,644829
mujer,632118
nombre,620355
parte,601703
razón,536148
problema,517016
hora,516065
idea,513251
policía,473426
familia,471609
amor,459452
chica,443863
hermano,433060
cabeza,429084
chico,418706
lado,415313
cariño,402097
forma,398695
camino,384957
caso,379884
puerta,379651
contra,378458
ayuda,375942
persona,367838
adiós,365000
historia,364096
minuto,359736
ciudad,355870
manera,355624
suerte,348954
señora,348697
niño,346321
semana,336477
muerte,336050
cuidado,324351
esposa,323657
poder,322926
mano,322867
hija,320694
miedo,320604
corazón,317287
ojo,313357
agua,311048
jefe,308688
tío,308330
hey,308122
cara,304489
guerra,302455
realidad,301729
fin,293878
auto,290285
sangre,289980
tierra,284356
equipo,283036
punto,279622
capitán,278631
clase,274686
vete,270875
doctor,269701
vuelta,267686
cuerpo,257751
teléfono,254694
oportunidad,254428
juego,251385
número,250727
mes,247434
final,245509
coche,244210
puta,241827
culpa,239453
hermana,238530
fiesta,237329
arma,235468
lista,234431
comida,229112
bebé,227406
vino,227156
escuela,225602
seguridad,223495
demonio,221355
medio,216765
par,215892
sentido,213422
dólar,212828
rey,210767
habitación,210388
luz,209787
diablo,209167
palabra,208251
plan,205404
oficina,201928
paz,200271
idiota,199534
paso,196562
acerca,195880
fuego,195605
perdón,194595
cama,194283
pueblo,188868
agente,188489
presidente,186724
país,184877
sitio,183183
orden,182849
niña,182565
libro,177507
falta,176718
calle,175895
hospital,174980
millón,173904
cambio,172531
perro,172354
trato,171595
información,171555
cielo,171062
prueba,171039
pregunta,170821
resto,170038
control,169017
carajo,168819
marido,168816
café,166382
viaje,165143
cállate,164902
irme,163199
señorita,160705
música,160114
puesto,159446
noticia,158227
asesino,157897
frente,157826
ropa,157712
odio,156989
película,156922
atención,156718
derecho,156323
mensaje,155770
futuro,153955
modo,153588
asunto,152915
boca,151099
secreto,150814
daño,149164
fuerza,148478
error,147215
grupo,147190
gusto,146981
sistema,146547
negro,146035
sueño,144423
nave,144261
sexo,142708
amiga,142298
caballero,141031
baño,140930
voz,140731
dolor,140546
pena,140358
mente,139196
aire,138992
campo,136549
novia,136310
compañía,136225
pie,136198
situación,135344
mitad,134264
negocio,130775
línea,130572
muchacho,130308
ser,130039
hotel,128776
edad,128582
muerto,128285
abogado,127457
traje,126880
accidente,126771
respuesta,126717
maldición,126699
asesinato,126686
caja,126581
vista,126100
foto,125626
cita,125527
