word,count
isa,167495
mees,147098
ema,131220
asi,130533
pea,123284
jumal,116369
aru,114866
aeg,113914
elu,103741
vabandus,94641
raha,89763
koht,87236
kord,78408
õigus,73279
nimi,73121
hr,70987
inimene,70005
kahju,67333
kodu,67203
viga,60365
aasta,60357
poiss,58523
naine,57770
söör,56224
sõber,55040
töö,54239
käsi,52904
päev,52312
tüdruk,46599
kuulama,45256
tunne,43818
auto,42362
abi,41432
sir,40382
osa,38671
surm,36784
maja,36405
poeg,35261
maa_ilm,35061
õhtu,35041
kell,34888
mr,34836
dr,33255
tõsi,33221
andeks,32993
kapten,32971
laps,32566
võimalus,31203
lugu,30607
vend,30028
proua,29956
probleem,29725
jama,28975
hommik,28595
minut,28143
nali,28043
mõte,28011
perse,27939
sõna,27904
hetk,26859
tuli,26062
maa,25104
politsei,24500
juht,23908
linn,23811
tund,23307
laht,23297
halloo,23049
kutt,22390
haige,21883
relv,21497
tee,21369
kurat,21313
dollar,21091
rahu,20873
õde,20828
pers,20579
öö,20450
õnn,20275
preili,20227
küsimus,20155
kuu,20092
doktor,19710
uks,19515
luba,19485
semu,19283
silm,18917
plaan,18549
number,18395
nägu,17953
tütar,17605
isand,17367
süü,17274
jalg,17200
pere,17016
tähele_panu,16820
issi,16509
kombes,16486
president,16359
onu,16350
viima,16250
kontroll,16190
kuningas,16124
aim,16104
tüüp,15979
agent,15955
Jeesus,15738
õhk,15483
abi_kaasa,15477
lõpp,15408
kolonel,15280
toon,15269
nägemine,15145
mäng,15068
sõda,14961
meel,14920
kindral,14820
suu,14430
au,14315
kool,14142
tapa,13969
värk,13880
vanem,13853
vesi,13845
pagan,13804
tegemine,13798
vahe,13770
idee,13671
keha,13474
daam,13378
kohv,13336
boss,13311
hüvasti,13307
äri,13112
laev,13024
ühendus,12946
tõde,12923
pidu,12513
kõne,12489
põhi,12461
tegu,12311
koer,12291
põhjus,12183
rahvas,12177
pask,12170
pr,12155
veri,12113
jutt,12090
süda,11938
perekond,11913
nädal,11724
kiri,11661
leitnant,11594
nina,11580
be,11576
tervis,11571
armastus,11563
valu,10975
idioot,10959
abi_elu,10914
vana_ema,10889
ruum,10861
kasu,10642
selg,10543
puhk,10503
keel,10384
suund,10296
telefon,10269
ots,10225
tuba,10133
sekund,10111
rõõm,10087
edu,10079
seersant,10053
põrg,9971
miss,9913
arst,9789
ette_vaatus,9727
seis,9717
lõuna,9532
hull,9428
valik,9388
film,9315
olu_kord,9303
härra,9294
kaugus,9237
sita_pea,9209
vana_isa,9162
soov,9132
meeskond,9085
kuninganna,8857
taevas,8757
hing,8756
riie,8699
vaud,8684
vara,8596
lisa,8491
info,8373
mure,8327
teene,8326
professor,8296
juurest,8277
miil,8222
uh,8202
toit,8197
vastus,8175
pilt,8174
kate,8119
uurija,8102
kihla,8077
ime,8013
uudis,7878
üllatus,7869
vang,7817
major,7815
oht,7808
lita_poeg,7785
jälg,7748
muusika,7717
kaitse,7666
jobu,7656
põrk,7633
armee,7608
firma,7565
kael,7562
libu,7559
õpetaja,7469
liha,7302
kala,7286
õnnetus,7270
tasu,7251
võti,7182
kivi,7047
raamat,7002
voodi,6985
the,6970
tädi,6962
haigla,6949
kangelane,6945
saatus,6934
riik,6916
juus,6903
majesteet,6867
aju,6867
sinus,6851
puudus,6846
pistmine,6738
jõud,6722
hääl,6699
võmm,6681
otsus,6644
purjus,6559
värdjas,6510
kaamera,6501
hüva,6476
vangla,6453
sitt,6393
üli,6357
puu,6355
pool,6345
lennuk,6325
võim,6284
printsess,6281
mood,6278
algus,6203
häbi,6201
paik,6198
käsk,6186
kuul,6179
tänav,6143
al,6134
üles_anne,6106
tõbras,6106
laud,6085
kingitus,6071
km,6064
enamus,6023
komandör,6021
ala,6003
toime,5940
õlu,5894
siia_pool,5893
leed,5881
Dave,5877
hotell,5869
sõdur,5843
vaev,5833
kaart,5754
politseinik,5704
vein,5659
lemmik,5645
meeter,5643
advokaat,5637
ohvitser,5625
jagu,5616
pomm,5597
piir,5545
päike,5543
mõju,5532
pagana,5516
mrs,5508
saladus,5500
sõbrake,5483
mõrv,5462
paps,5428
sõnum,5407
nuga,5403
tereke,5383
huvi,5372
toru,5362
lits,5353
tapja,5351
siht_märk,5338
koos_töö,5317
tulevik,5315
kõht,5309
kolett,5288
prints,5277
juhtum,5267
uni,5217
tähtsus,5216
nõbu,5213
iste,5196
masin,5191
anne,5182
küla,5179
põrgu,5168
hirm,5159
nõu,5149
valitsus,5147
häda,5145
aja_lugu,5115
teade,5087
ees_märk,5074
märk,5069
lord,5044
päralt,5044
rase,5028
viha,5017
reegel,4995
lõks,4990
tükk,4988
partner,4986
mets,4975
kristus,4965
Lucy,4961
sein,4948
vaenlane,4929
külg,4920
püks,4917
tuju,4909
pealik,4908
arvuti,4860
kraam,4859
täis,4853
lukk,4850
meister,4842
jõulud,4837
tõend,4821
hoone,4819
kohtunik,4810
ülemus,4808
kott,4805
süsteem,4802
suhe,4798
side,4798
samm,4724
rühm,4711
DNA,4708
valgus,4701
signaal,4696
kana,4696
jess,4684
Bond,4682
ee,4680
kood,4636
kass,4635
vana_mees,4633
kohtumine,4622
sean,4621
maitse,4615
klass,4607
takso,4607
nime_kiri,4605
ida,4537
senaator,4522
mälu,4500
vapper,4468
viis,4466
muna,4457
kohus,4456
sort,4455
mõrvar,4427
laul,4427
segadus,4406
tüli,4369
isik,4367
hoog,4362
vaikus,4339
mulje,4334
nõid,4332
lootus,4315
el,4274
hädas,4255
klient,4248
sünni_päev,4227
pall,4221
hind,4220
klubi,4212
lõhn,4210
ha,4208
reis,4203
kokku_lepe,4202
närvis,4197
tonn,4196
võitlus,4191
võit,4184
lähedus,4177
treener,4176
siga,4148
kraad,4129
hool,4119
ohver,4117
mõõk,4112
raadio,4083
beebi,4081
õrn,4077
teema,4062
julgus,4059
suits,4044
värv,4024
ai,4002
vitt,4000
linna_pea,3981
geenius,3959
aadress,3949
värav,3946
loom,3946
õhtu_söök,3935
noor_mees,3923
ärkvel,3889
ravi,3879
kaome,3860
nael,3856
operatsioon,3854
punkt,3840
eks,3829
närv,3828
nr,3823
informatsioon,3822
inspektor,3812
missioon,3805
võitja,3795
lõksus,3792
vaht,3762
karu,3757
aken,3757
enamik,3735
tuul,3728
parras,3714
le,3704
valetaja,3695
nahk,3690
andestus,3688
andmed,3675
mm,3667
buss,3662
hobune,3641
energia,3630
saar,3624
vasak,3616
rong,3612
musi,3606
piloot,3602
omanik,3602
korrus,3591
arg_püks,3589
lääs,3577
seks,3572
sõrm,3568
liige,3565
tagumik,3560
kilo,3556
laip,3544
ookean,3536
prl,3534
planeet,3515
keri,3510
kuju,3509
üli_kool,3508
direktor,3504
kiir_abi,3499
lend,3498
taala,3483
ausus,3469
kõrge_ausus,3459
ga,3447
arm,3444
pakkumine,3441
lind,3440
kontor,3436
mina,3434
juhataja,3431
külaline,3428
seadus,3427
nurk,3416
löök,3411
vaim,3408
valvur,3383
king,3376
fakt,3373
rünnak,3372
lõbu,3356
tunnistaja,3328
unistus,3311
hullu_meelsus,3310
lapsuke,3309
sust,3308
küljes,3303
tapmine,3294
jõgi,3263
asu_koht,3262
super,3260
lennu_jaam,3251
kutsuma,3236
mõistus,3233
hunt,3233
klaas,3211
lahendus,3202
pood,3196
hammas,3196
lahkumine,3176
ingel,3172
vabadus,3165
vihje,3161
baar,3155
karjäär,3153
särk,3145
teooria,3144
peit,3121
une_nägu,3120
madam,3118
loll,3115
video,3110
korter,3108
arve,3105
tema,3101
programm,3090
tibi,3086
kuri_tegu,3084
võime,3072
halb,3069
ilu,3034
piim,3032
kast,3017
torm,3008
ülem,3001
vari,2994
kleit,2990
viirus,2977
paber,2976
pluss,2976
kuum,2973
kurss,2966
välja_pääs,2966
leping,2959
Ühend_riik,2957
mälestus,2947
pank,2946
pilk,2937
surnu_keha,2936
usk,2934
kuld,2934
reetur,2933
põrgus,2933
foto,2928
ameeriklane,2928
tule_kahju,2927
auk,2918
katse,2917
