word,count
kiitos,449435
herra,231732
mies,180889
aika,165436
isä,165245
äiti,148875
koti,122597
vuosi,118918
luoja,104253
poika,99767
asia,92607
juttu,83230
ihminen,80652
tyttö,78802
kulta,77012
rouva,76116
raha,75902
nainen,74918
tohtori,74875
apu,74601
kyse,72390
päivä,72384
kerta,71363
paikka,64532
hetki,62129
neiti,55247
paska,54808
nimi,53445
poliisi,53067
kohta,52340
työ,50510
kaveri,50126
dollari,48983
kello,48715
pakko,47924
tunne,46813
mieli,46491
kapteeni,46109
jumala,45639
minuutti,45162
helvetti,43569
ystävä,43482
maailma,43164
osa,42871
terve#tuloa,42382
tapa,42170
hätä,41981
hetkinen,41325
vauhti,41298
tunti,41259
auto,40872
yö,40417
ongelma,40333
huomen,39693
lapsi,38940
onni,38845
vaiva,37458
väli,36377
lähde,35865
aamu,35760
ovi,35422
syy,34737
ase,34284
helvettiä,33201
kysymys,32938
ilta,32924
ruoka,32234
tyyppi,31865
maa,31823
elämä,30809
veri,30677
homma,30579
tilanne,29889
vesi,29589
tehtävä,29463
paskiainen,29220
vaimo,29197
turva,29025
ikävä,28685
alkaa,27835
matka,26550
pää,26404
velka,26110
kultanen,25947
agentti,25877
tapaus,25709
mr,25489
veli,25266
yhteys,25232
pomo,25007
idea,24867
loppu,24796
suomennos,24425
huoli,24306
käsi,24253
numero,24016
kuukausi,23698
viikko,23433
presidentti,23297
talo,23183
ajatus,22961
totuus,22939
kuningas,22455
kusi#pää,22451
häivy,22400
tieto,21965
kenraali,21902
puoli,21650
rakas,21536
liike,20877
kaupunki,20840
uutinen,20603
eversti,20543
jeesus,20522
kahvi,20491
perhe,20323
rauha,20274
lääkäri,20239
hitto,19989
idiootti,19979
johtaja,19952
tekeminen,19795
tarina,19303
tytär,19221
tarkoitus,19216
todiste,19190
koira,19175
suunnitelma,19062
musta,18863
viesti,18830
ero,18602
alku,18574
tri,18197
vankila,18081
ihme,17428
kuva,17425
uni,17373
kiire,17285
seksi,17142
tila,17078
lupa,17031
järki,16863
kuolema,16832
näkemiin,16773
vitsi,16682
mahdollisuus,16548
tie,16398
tähti,16060
nälkä,16000
yllätys,15897
turpa,15877
silmä,15811
oikeus,15803
sekunti,15751
oiko#luku,15417
ruumis,15146
vara,15048
sana,15045
mennys,14896
sota,14829
suunta,14794
sepä,14791
outo,14729
peli,14713
sairaala,14462
huone,14368
mestari,14269
olo,14232
etsivä,14166
tappaja,14086
tuomari,14037
ääni,14007
henkilö,13893
professori,13824
puhelin,13731
vauva,13684
koulu,13636
sopimus,13604
potku,13564
tapoit,13522
lähtö,13395
rakkaus,13384
hemmetti,13355
keino,13189
tekstitys,13144
juhla,13070
hyöty,13033
kunnia,12987
lahja,12938
vastaus,12885
luutnantti,12728
kutsu,12434
avain,12361
metri,12361
vastuu,12304
veto,12233
vihata,12210
uhri,12079
kone,12044
suu,11960
oppi,11916
vaate,11884
toivo,11746
ääliö,11711
tuli,11649
kirja,11643
vaara,11611
virhe,11553
juotava,11486
huume,11478
kohde,11373
sydän,11288
komentaja,11191
majuri,11139
alus,11091
kyyti,11043
pula,11040
komisario,10954
suhde,10918
harmi,10809
ilo,10751
vika,10748
taivas,10711
murha,10689
armeija,10680
musiikki,10670
saatana,10662
murhaaja,10600
sankari,10588
kunto,10538
palvelus,10500
lle,10454
valo,10426
merkitys,10355
kilo#metri,10277
peruste,10257
tilaisuus,10194
merkki,10153
päällikkö,10115
sisko,10087
tee,10060
prosentti,10057
huora,9972
päiväys,9955
kuningatar,9889
klo,9714
sänky,9714
vaihto#ehto,9703
konstaapeli,9662
isi,9630
viini,9596
henki,9575
ryhmä,9549
päätös,9503
sääntö,9448
mulkku,9432
homo,9420
puhelu,9396
huomio,9375
sotilas,9351
alue,9306
pyhä,9273
prinsessa,9253
kasvot,9196
kanta,9127
kersantti,9105
tapaaminen,9090
tanssia,9089
väki,9046
muru,8973
aurinko,8846
kamera,8758
voima,8721
vaihe,8721
hirviö,8715
joulu,8714
aavistus,8692
jää,8672
sanottava,8598
jätkä,8563
kilo,8546
perheesi,8538
vanhempi,8514
onnettomuus,8487
versio#numero,8458
kama,8377
pommi,8373
opettaja,8350
sheriffi,8248
sääli,8246
määrä,8190
katu,8145
taala,8144
lordi,8105
elo#kuva,8101
paperi,7982
toimi,7944
kuu,7870
yritys,7840
hallitus,7820
englanti,7815
olut,7795
senaattori,7749
kenkä,7718
puhe,7679
vihollinen,7645
seura,7617
jalka,7602
vuoro,7543
prinssi,7540
tavara,7482
asianaja,7462
kissa,7433
ala,7417
narttu,7399
valehtelija,7395
lha,7370
kyydi,7364
työsi,7358
pormestari,7358
liha,7352
typerys,7340
syyttö,7279
ikkuna,7273
suo,7264
kippis,7250
onnittelu,7193
valtio,7171
jälki,7170
nero,7168
laki,7161
yhteis#työ,7145
juhlia,7106
valta,7092
perhana,7080
piilo,7017
vartija,7016
aivot,7014
kirje,7007
vessa,6979
valinta,6956
ilma,6923
treffi,6906
USA,6888
sika,6871
salaisuus,6861
ylä#kerta,6840
vahinko,6815
ansio,6780
hinta,6736
ratkaisu,6736
hius,6689
suusi,6686
tekijä,6680
km,6664
tulevaisuus,6616
osoite,6611
asua,6600
pastori,6578
humala,6571
luke,6563
aami,6558
pallo,6533
kohtalo,6511
ruuminen,6509
sentti,6485
takuu,6444
pelkuri,6443
terveiset,6382
asu,6379
tonni,6377
malja,6369
tervehdys,6344
rikos,6339
ranta,6315
vaikutus,6287
joki,6270
käsky,6225
potilas,6221
toiminta,6218
pohjoinen,6186
äijä,6181
kukka,6180
puku,6175
aste,6158
taistelu,6157
ilta#päivä,6146
sisar,6143
rakka,6137
llä,6133
luoti,6113
asiakas,6084
känni,6054
pöytä,6053
vieras,6043
vaikeus,6016
voittaja,6013
baari,6009
kysi,6006
seriffi,5996
punta,5991
häät,5957
asunto,5935
nuori,5922
naida,5912
keksi,5906
nimenne,5889
tuki,5866
virta,5861
juna,5852
lista,5809
metsä,5804
vene,5803
varas,5790
roska,5784
tanssi,5772
laite,5757
housut,5744
ansa,5730
omistaja,5723
koodi,5718
soiko,5713
vanki,5706
veitsi,5705
jäsen,5702
pala,5696
historia,5683
hevonen,5637
liitto#valtio,5628
tyttö#ystävä,5610
perjantai,5607
hoitaja,5606
raja,5582
uhka,5551
esitys,5536
eläin,5535
mrs,5535
riski,5513
syyttäjä,5507
pappi,5497
askel,5495
yleisö,5490
meno,5463
enkeli,5449
sormus,5444
voitto,5441
muna,5431
katti,5425
setä,5424
rakennus,5394
kerrottava,5394
piha,5377
kansa,5373
joukko,5371
paha,5359
portti,5359
tieto#kone,5328
etelä,5312
yhtiö,5307
tuuli,5292
operaatio,5291
viikon#loppu,5282
maito,5247
kuoliaaksi,5245
kivi,5239
valmentaja,5220
isänne,5220
poika#ystävä,5219
syntymä#päivä,5210
lintu,5199
lauantai,5195
näyttelijä,5176
energia,5175
hälytys,5170
käyttö,5162
tiimi,5159
suihku,5156
lääke,5146
myrsky,5118
laulu,5113
kirkko,5103
paska#puhe,5098
osa#valtio,5091
maanantai,5070
käynti,5069
aamia,5067
temppu,5066
luona,5064
kokous,5042
todistaja,5038
amerikkalainen,5037
reitti,5024
bileet,5017
isä#äsi,5014
ohjelma,5005
laiva,4980
tuho,4962
muutos,4957
tuska,4949
tulos,4945
selkä,4939
perse,4931
koe,4921
isku,4916
hyökkäys,4904
petturi,4904
ambulanssi,4903
kaikki,4903
paita,4888
kunnioitus,4885
huhuu,4853
vaimonne,4846
lento,4818
hotelli,4816
keittiö,4800
rikollinen,4797
sivu,4794
aseenne,4778
armo,4769
lutka,4748
kuvernööri,4741
joukkue,4716
yli#komisario,4703
pullo,4689
iso#isä,4673
keskustelu,4671
toimisto,4668
palkka,4666
varoitus,4647
kieli,4646
näppi,4639
kauppa,4631
radio,4630
sielu,4607
suku,4602
meri,4593
nouska,4581
tuhma,4571
poju,4542
asema,4521
lukko,4519
tarjous,4516
palkata,4516
herätys,4511
takki,4501
arvo,4490
iso#äiti,4461
pelko,4460
paholainen,4454
serkku,4451
T.,4451
palvelu,4438
länsi,4431
utelias,4431
seko#pää,4418
planeetta,4399
taksi,4387
raportti,4378
kipu,4374
lippu,4370
kävely,4367
apina,4353
vanhus,4352
viski,4336
kala,4335
keikka,4333
sotku,4329
hammas,4325
linna,4308
yli#konsta#apeli,4302
ammu,4301
tuuri,4287
majesteetti,4285
selitys,4284
toimittaja,4280
pääsy,4279
miekka,4278
kokemus,4276
avio#mies,4263
virus,4261
eläke,4258
korkeus,4252
läski,4251
järjestelmä,4247
muistaa,4246
elo,4239
vampyyri,4238
isäntä,4228
huijari,4211
muisto,4210
kappale,4205
lattia,4181
