word,count
duine,139569
cuid,87857
bliain,75787
ceann,58819
rud,54179
féidir,50408
lá,48892
fear,45850
fad,45242
áit,44613
am,43223
obair,41108
taobh,39944
céile,38960
mac,38875
feic,38852
teach,37246
scéal,35691
tír,35130
saol,34478
bith,34266
ceist,32045
deireadh,30577
bean,29714
dóigh,29194
fios,28504
uair,28084
alt,27940
pobal,27643
comhairle,26702
aghaidh,25884
súil,24804
scoil,24328
roinn,23302
teanga,22658
cás,22609
úsáid,22408
leath,22402
oíche,21280
aire,21094
baile,20968
lucht,20578
cúrsa,20570
eolas,20451
méid,20201
caint,19700
leabhar,19448
ach,19367
seachtain,19340
feidhm,19266
lámh,19232
mí,18655
ábhar,18180
bealach,18026
páiste,17800
muintir,17616
airgead,17565
béal,17516
bord,17242
rialtas,17068
siúl,16973
diaidh,16713
stát,16678
ainm,16634
athair,16474
seirbhís,16012
clár,15899
talamh,15890
buail,15819
focal,15618
tús,15570
beirt,15355
linn,15154
contae,15046
foireann,14993
meas,14984
measc,14818
bóthar,14670
cónaí,14567
ceol,14513
bás,14453
cur,14433
tosach,14277
ceantar,14238
údarás,14229
gá,14161
cluiche,13749
conradh,13452
ionad,13269
uisce,13126
geall,12774
oileán,12767
leithéid,12664
cúpla,12545
oideachas,12527
mol,12332
aois,12312
cineál,12193
oiread,12079
líon,12028
páirtí,12023
ball,11963
lán,11932
cúirt,11759
cathair,11713
máthair,11598
sampla,11560
doras,11541
oifig,11516
bun,11353
cos,11233
dún,11182
cáin,11112
córas,11092
forbair,11067
post,11025
airteagal,11007
croí,11003
mórán,10956
barr,10726
dáil,10695
tréimhse,10658
imeacht,10540
cúis,10333
réir,10316
deis,10310
saothar,10269
coiste,10221
aimsir,10052
maidin,10048
toradh,10015
breis,9889
tuairim,9779
béarla,9752
láthair,9745
ealaín,9745
comhlacht,9744
domhan,9710
dán,9679
caoi,9678
meán,9643
sráid,9566
gnó,9562
tamall,9465
iarratas,9363
call,9355
múinteoir,9303
cara,9276
seomra,9273
dlí,9043
iarracht,9032
nós,9008
rí,8926
slí,8916
fás,8773
iúl,8773
síl,8768
grúpa,8729
coláiste,8726
fáth,8642
treo,8613
déag,8613
fadhb,8609
sláinte,8508
coinne,8507
cúl,8505
plé,8504
sagart,8429
sórt,8410
cead,8376
mír,8373
bonn,8304
íoc,8262
scéim,8181
seans,8159
fómhar,8133
cor,8028
cogadh,8009
amhrán,7912
tuill,7908
foghlaim,7864
lach,7833
cailín,7825
gaoth,7744
céim,7736
bia,7692
dream,7664
cumas,7653
tráth,7604
clann,7600
leanbh,7571
leas,7558
fonn,7550
stair,7546
críoch,7529
brí,7521
cúram,7513
ollscoil,7497
ceannas,7492
ól,7465
cosan,7461
díol,7410
roinnt,7394
loch,7345
athrú,7235
leibhéal,7221
forbairt,7217
cumhacht,7206
cumann,7205
bád,7145
grá,7123
soláthar,7119
crann,7040
tacaíocht,6986
páirt,6962
farraige,6952
cloch,6920
comórtas,6798
solas,6797
foirm,6774
tuaisceart,6711
teideal,6708
litir,6698
gné,6686
plean,6684
suim,6652
páirc,6642
beatha,6615
teaghlach,6599
bó,6590
aithne,6547
rogha,6542
pointe,6522
cuairt,6505
dath,6493
olc,6485
file,6465
laghad,6406
féile,6390
lorg,6302
aontas,6294
clog,6289
té,6287
gníomh,6254
grian,6241
freagra,6195
comhphobal,6190
arm,6157
buachaill,6153
dáta,6152
dul,6149
éigean,6141
amhras,6139
lár,6121
píosa,6111
trácht,6103
líne,6099
ór,6096
tráthnóna,6059
rang,6047
samhradh,6044
dúchas,5987
turas,5982
tuairisc,5923
cuimhne,5904
comhair,5902
téarma,5880
beith,5873
riail,5852
fógra,5830
páipéar,5823
beart,5819
