word,count
red,1223395
čovjek,614437
vrijeme,482950
stvar,475405
gospodin,452825
g.,438248
posao,399868
dan,398438
godina,364799
život,327044
mama,312250
tata,312119
kuća,284846
ime,284180
toba,251921
sranje,243292
mjesto,238082
žena,232244
otac,228054
vrata,220715
novac,216828
način,213277
dušo,201715
problem,196581
pravo,180705
noć,176495
pomoć,173062
auto,166245
dijete,164744
dio,164293
istina,159779
minuta,158790
tip,150125
ruka,142750
prijatelj,140616
broj,138030
obitelj,134222
majka,132164
veza,125100
sin,123403
pitanje,120058
brod,116762
svijet,115474
sat,115280
trenutak,114389
briga,113180
dolar,112594
oružje,110583
priča,109482
jutro,109213
srce,108372
grad,107160
riječ,105547
glava,103334
oko,101893
slučaj,100603
momak,98851
osoba,97906
plan,97376
strana,96687
kraj,96211
dečko,95567
veom,94105
smrt,93248
brat,93101
pištolj,92743
ideja,90290
pojam,90144
dvoje,89462
ljubav,88620
policija,88186
lice,87979
gospoda,86205
tijelo,85528
tjedan,85236
razlog,84388
djevojka,82493
soba,79295
rat,78910
oboje,77106
šansa,76857
krv,75700
kapetan,75025
voda,74679
lak,74437
poruka,74367
san,70506
piće,68762
put,67194
mjesec,65914
zemlja,65318
sestra,65124
ubojica,64654
poziv,64576
ured,63926
prilika,63448
telefon,63306
sastanak,62333
dama,62324
mir,61616
večer,61347
ubojstvo,60442
vijest,59213
odgovor,59113
osjećaj,58504
kurac,58254
kralj,58234
bog,57375
doktor,55931
muž,55885
stan,55636
smisao,55362
film,54605
napad,54031
gđica,53790
krevet,53637
zboga,53411
dom,53210
nog,52943
večera,52701
zauvijek,52699
video,52025
vrsta,51691
kći,51407
pravilo,51135
leđa,50796
razgovor,50558
pokušaj,50462
zatvor,50453
milijun,50332
sreća,49167
sir,48842
vrema,48710
um,48546
roditelj,48494
pas,48424
šefa,48256
škola,48000
cura,47941
znak,47478
čast,47097
izbor,47062
glas,47032
policajac,46856
šef,46671
šteta,46544
vraga,46185
ključ,45947
TV,45918
hrana,45215
usta,44385
rođendan,44132
agent,44106
moć,43826
društvo,43539
mozak,43421
slika,43326
usluga,43253
zakon,43121
zabava,42978
prokletstvo,42940
rad,42517
dokaz,42208
muškarac,42113
sekunda,41957
pogled,41811
knjiga,41697
budućnost,41573
auta,41461
ostatak,41129
biće,40869
gosp,40720
informacija,40534
vrag,40526
kava,40247
dječak,40234
pismo,40045
dvojica,39939
dogovor,39770
bol,38880
većina,38454
obzir,38368
početak,36809
ulica,36280
pivo,35686
sustav,35615
korak,35599
seks,35335
bolnica,35326
pozdrav,35137
gospodar,34942
trag,34751
račun,34730
zrak,34649
stanje,34631
noga,34513
strah,34372
nick,34098
zadatak,34014
dobit,34000
km,33952
predsjednik,33874
jaje,33631
cool,33577
ručak,33505
prijateljica,33473
duh,33439
igra,33263
greška,33243
avion,32902
prozor,32703
kolo,32670
opasnost,32583
žrtva,32459
prsten,32398
mobitel,32348
beba,31906
jezik,31814
blizina,31784
konj,31775
dar,31666
pristup,31656
gđa,31558
zadovoljstvo,31547
mišljenje,31298
signal,31272
iznenađenje,31243
očim,31228
zlato,31112
majko,31003
niz,30985
gospođica,30928
suprug,30913
primjer,30742
osiguranje,30653
metar,30460
metak,30371
svjetlo,30310
Mr,30174
gdina,30116
pokret,30070
vlada,30000
stol,29975
poklon,29965
doba,29917
potreba,29891
snaga,29836
obojica,29815
prijevod,29770
program,29686
boja,29443
sunce,29409
tisuća,29226
pakao,29092
karta,29087
dupa,29083
podatak,28968
vojska,28793
smeće,28582
savjet,28508
odvjetnik,28334
nož,28240
test,28120
nevolja,28058
zločin,28016
čovek,27973
idiot,27881
nos,27724
pukovniča,27652
glupost,27586
zid,27503
narod,27390
odjeća,27160
cipela,26975
komad,26811
cilj,26806
zvijezda,26800
budalo,26783
guzica,26782
klub,26765
ples,26728
brak,26644
klinac,26598
zlo,26593
hotel,26486
odluka,26444
lijek,26438
detektiv,26416
upomoć,26362
čaj,26305
kontrola,26278
mogućnost,26270
slatko,26125
kosa,25901
kamion,25849
skup,25830
sud,25713
let,25617
prošlost,25519
šalo,25483
moja,25373
vjenčanje,25218
odmor,25202
vlak,25066
vikend,25012
otkaz,24992
životinja,24991
tajna,24736
povijest,24563
kraljica,24537
vatra,24423
meta,24241
more,24207
izlaz,24168
putovanje,24112
kompa,24077
partner,24057
borba,24043
područje,24031
vođa,23854
general,23816
veličanstvo,23787
ugovor,23739
pjesma,23681
laž,23661
kontakt,23620
zvuk,23531
droga,23494
dnk,23337
tat,23302
dug,23230
sigurnost,23191
zamisao,23182
adresa,23178
udarac,23060
pažnja,23005
mesto,22994
kriva,22993
most,22940
doručak,22865
lik,22807
položaj,22731
duša,22727
lova,22643
novine,22613
dužnost,22530
čudovište,22372
luka,22366
govor,22343
bolest,22257
nesreća,22157
centar,22147
situacija,22117
kreten,22045
izvor,22034
mač,22027
djed,22026
tišina,21879
popis,21838
sumnja,21835
doviđenje,21768
vojnik,21722
zapovijed,21585
kamen,21542
cijena,21539
liječnik,21520
izvještaj,21505
meso,21473
kasnim,21473
činjenica,21396
ekipa,21378
neprijatelj,21333
odgovornost,21198
mozg,21177
majac,21146
obrada,20976
djevojčica,20970
pamet,20968
sudbina,20867
rupa,20771
miris,20665
zgrada,20657
bomba,20653
nalog,20642
taksi,20565
gospođa,20564
operacija,20533
dozvola,20523
kamera,20474
vlasnik,20419
vino,20249
potez,20134
stroj,20102
svjedok,20060
spoj,19993
razlika,19955
energija,19905
vrat,19764
spavanje,19727
ček,19704
odijelo,19635
reča,19598
planet,19468
zub,19459
wc,19457
petak,19401
glazba,19387
motor,19359
hlač,19340
kosta,19162
vozilo,19162
kutija,19129
ujak,19084
pozornost,18984
krug,18975
grupa,18956
trik,18907
djelo,18684
poštovanje,18651
računalo,18537
park,18501
država,18499
prodaja,18461
član,18457
milj,18435
torba,18405
sistem,18387
ljuto,18348
drvo,18327
momka,18294
ponuda,18197
potraga,18159
granica,18151
plaća,18128
odnos,18123
braka,18034
šerifa,18020
h,17995
gubitak,17987
ponašanje,17983
momač,17931
odjel,17924
sestro,17915
sloboda,17889
ocem,17702
milost,17665
uređaj,17654
zapovjednik,17654
povratak,17618
šuma,17574
restoran,17564
sudac,17453
nagrada,17251
pritisak,17198
vjetar,17172
cvijeće,17166
proklet,17157
ulaz,17100
