word,count
rend,840945
uram,480764
ember,419662
kicsi,349147
baj,282711
dolog,224549
in,215710
apa,214746
anya,199218
elnézés,196551
úr,190987
szó,183442
isten,176576
vég,175028
dr,163617
nő,161918
idő,159058
haver,157386
pont,146654
lány,146077
férfi,127116
srác,124806
apám,123440
pénz,121774
reggel,120813
helyzet,118424
év,115858
szükség,114517
fia,113591
hely,112849
franc,111580
világ,107756
perc,107259
fickó,104716
fiú,101663
óra,98597
név,98372
barát,97464
király,96624
dolg,95764
munka,92359
kapitány,92340
főnök,89191
drága,88686
élet,86975
nap,85359
anyám,84207
való,83070
gyerek,80630
igaz,78966
fiúk,77888
fene,75613
ötlet,74310
reggelt,72815
bocsánat,71769
elnök,71177
soka,69634
ügynök,69512
pillanat,69327
doktor,68481
kapcsolat,68468
beteg,67836
ok,67465
kérdés,66904
ügy,66361
rendőrség,66222
feket,65766
segítség,64847
igazság,64406
ajtó,64371
ur,64153
út,63510
köz,62308
múlt,60374
rész,60293
fegyver,59378
hét,59182
probléma,58500
asszonyom,57346
igazat,57340
mozgás,55991
halál,55933
szent,55821
család,54272
biztonság,53822
nyomozó,53194
ház,52901
kölyök,52423
éjszaka,51152
jó,51046
érzés,50048
város,49326
anyu,49269
apu,49024
csapat,48760
egészet,48064
feleség,47351
dollár,46576
víz,45396
orvos,45313
alap,44859
hír,44703
ész,43956
föld,43699
üzenet,43628
baja,43399
szem,43217
nyomás,43124
picsa,42995
hajó,42893
est,42399
terv,42340
szerelem,42142
hölgyem,41919
kislány,41731
vér,41301
háború,41137
áldozat,39034
seggfej,38633
hölgyeim,38543
mód,38430
uh,37920
játék,37805
kutya,36885
hadnagy,36834
életed,36563
kár,36392
parancsnok,36337
nyugalom,36173
hideg,35823
szerencsét,35797
kép,35671
tábornok,35402
mostan,35380
káv,34645
ezredes,33771
mr,33744
többi,33452
hónap,33248
férjem,33229
kicsoda,33226
baleset,32961
bolond,32943
szar,32911
kéz,32769
barátod,32709
fér,32365
történet,32364
fasz,32147
lehetőség,31778
őrmester,31649
eset,31606
mester,31514
sor,31460
kocsi,31089
gyilkosság,31041
bizonyíték,30546
hölgy,30366
esély,30216
asszony,30102
közép,30010
baba,29873
zsaru,29826
válasz,29577
doki,29188
csaj,29023
hiba,28801
fej,28789
szívesség,28677
dehogynem,28585
kisasszony,28372
indulás,28147
rendőr,28112
börtön,28020
alkalom,27700
személy,27688
kórház,27510
ötletem,27421
figyelem,27411
szoba,27296
vicc,27289
bal,27202
üzlet,27158
neved,27104
tag,26816
telefont,26777
rosszat,26748
viccelsz,26712
érdek,26597
hal,26578
rohadék,26326
bara,26105
szám,26016
professzor,25946
basszus,25894
testvér,25770
buli,25505
családom,25504
katona,25372
ráadás,24906
meglepetés,24727
könyv,24687
igazgató,24680
újság,24616
ügyvéd,24550
kormány,24522
elég,24423
pokol,24419
ribanc,24375
film,24036
állat,24008
gép,23939
művelsz,23922
ördög,23566
autó,23519
nővér,23426
vacsora,23383
utca,23254
zsaruk,23087
rendszer,23064
ország,22929
zene,22913
szo,22824
pasi,22705
herceg,22630
levél,22552
hazugság,22552
szex,22492
iskola,22473
törvény,22470
támadás,22372
fény,22348
sört,22338
darab,22169
kezem,21930
bácsi,21929
cég,21774
hős,21686
levegő,21631
fajta,21600
perce,21159
gáz,21076
oldal,21051
