word,count
ponas,12217
ei,11549
nagas,11058
labas,9943
mama,7469
kartas,6657
tiesa,6651
žmogus,6067
metai,5860
laikas,5727
namas,4855
šūdas,4417
diena,3933
velnias,3742
pinigai,3654
velnių,3502
buva,3300
tėvas,3285
vyras,3239
vardas,3152
metas,2976
darbas,2934
liaukis,2872
ponia,2799
gyvenimas,2654
naktis,2558
tėtis,2513
draugas,2372
vieta,2351
truputis,2339
durys,2306
kalba,2180
vaikas,2177
žmona,2151
mergina,2071
pagalba,2020
sūnai,1998
moteris,1951
ka,1936
būk.,1934
mašinas,1905
galva,1879
ranka,1869
kelias,1855
minutė,1836
pona,1783
kapitonas,1781
daktaras,1769
žemė,1745
kiekvienas,1730
rytas,1718
akis,1704
matas,1667
pasaulis,1658
dalykas,1649
namai,1633
dievas,1621
mirtis,1601
vaikinas,1598
šeima,1591
džekas,1573
vanduo,1563
maiklas,1560
mintis,1554
suprata,1544
savaitė,1521
alio,1490
galas,1482
mašina,1460
brolis,1453
ginklas,1452
oras,1444
doleris,1441
dalis,1409
drauge,1373
saka,1341
motina,1325
pusė,1314
dėmesys,1309
komanda,1299
meilė,1271
problema,1271
vyrukas,1258
reikalas,1233
miestas,1227
pasakė,1225
ala,1223
sėkmė,1219
istorija,1216
vakaras,1204
karas,1184
policija,1177
džonas,1176
šįvakar.,1174
čiona,1161
berniukas,1156
aš,1148
paimks,1127
kambarys,1110
klausimas,1103
dėkas,1096
šaunuolis,1093
maistas,1082
mirti,1073
prisiekis,1066
pala,1058
nesąmonė,1030
valanda,1029
vidus,1014
protas,993
keli,988
kraujas,985
tėvai,978
planas,977
silvestras,967
veidas,965
karalis,960
norėjas,960
dukra,950
būdas,950
mėšlas,947
mergaitė,931
daiktas,927
laivas,927
stalas,923
minutėlė,919
val,904
laukas,898
tomai,896
filmas,886
apgailestas,877
atvejis,874
pradžių,872
kvaila,869
kalė,854
kava,850
prakeikimas,841
deividas,824
gyvybė,821
sūnas,813
vyrutis,812
apsauga,812
gavas,809
semai,806
merginas,805
turėjas,797
jėga,797
kienas,792
numeris,779
mėnuo,779
skirtumas,778
širdis,771
pieta,767
pabaiga,763
kova,757
telefonas,756
pora,755
šakė,752
žodis,746
mokykla,744
sekundys,727
siena,725
knyga,714
sesuo,712
mamas,698
kara,697
kvailys,697
alus,687
kaltė,685
atėjas,677
papasakok,677
benai,676
laba,669
sistema,669
vidas,668
žaidimas,665
taksas,663
ugnis,660
dovana,658
šalis,655
viešpats,655
šiaurė,652
rodas,650
pavyzdys,642
žinutė,640
lovas,636
eilė,632
frenkas,625
informacija,623
gėda,617
jausmas,617
gena,616
omenyje,612
mamai,612
arbata,611
ramybė,610
draugė,608
šuo,605
kūnas,600
klaida,595
viršas,595
maikas,592
priekis,592
karena,591
radas,590
prasmė,588
priežastis,586
gyvenis,585
šous,576
ana,576
žinojas,575
nikas,571
didenybė,570
liaukitė,569
paslaptis,567
džordžas,566
šalta,566
maksas,565
pakeliui,565
kalėjimas,565
šviesa,564
Kalėdos,562
senelis,561
žiedas,561
mėgstas,557
idėja,554
laukis,552
vadas,549
akimirka,547
tėčio,540
sūnus,540
sveikata,538
bėda,537
ligoninė,536
bičiulis,536
esam,533
bija,531
bobai,530
vaikis,529
karalius,529
proga,528
amžius,528
ties,525
metras,521
teisė,518
dėdė,518
kairė,515
linksma,512
teismas,512
smegenys,511
apatis,507
koja,507
pavojus,503
prezidentas,502
esmė,502
pietus,496
auksas,495
saugumas,494
kamera,492
didysis,492
žudikas,490
atsakymas,490
garbė,490
sergejevas,489
agentas,489
dovanas,487
vakarėlis,487
šįkart,485
nugara,484
daugybė,481
gyvi,480
vertė,479
vertas,479
seksas,477
automobilis,475
kompanija,474
džimas,474
kelnė,474
langas,473
energija,473
kalas,473
galimybė,469
nuotrauka,469
tualetas,467
laiškas,464
panelė,464
mana,464
saulė,463
verslas,460
