word,count
kungs,3553
dievs,2483
kārtība,2278
laiks,1693
māja,1657
cilvēks,1396
draugs,1360
velns,1343
šurp,1337
taisnība,1300
tēvs,1296
nauda,1286
lieta,1225
diena,1139
vieta,996
sveiki,957
darbs,955
gads,939
mamma,911
gals,890
dēls,883
roka,873
vārds,857
kundze,795
pāris,771
dzīve,771
reize,738
pasaule,733
vīrs,729
priekša,705
puisis,697
tētis,686
bērns,667
patiesība,654
durvis,652
meitene,602
mašīna,599
ceļš,568
prieks,558
zeme,556
acs,551
šejiene,544
sieva,520
iespēja,515
minūte,495
nakts,481
galva,480
māte,476
ūdens,471
džcc,469
sieviete,468
puika,465
dolārs,462
miers,457
palīdzība,454
puse,453
stunda,450
problēma,445
doma,443
sirds,442
daļa,436
gadījums,433
jautājums,429
uzmanība,428
ziņa,427
nāve,426
brālis,424
ierocis,397
dzīvība,390
rīts,390
plāns,385
ģimene,383
runa,382
vaina,372
nedēļa,370
prāts,358
drošība,358
dāma,357
palīgs,356
valsts,346
tiesa,346
dzirdēt,343
ideja,342
brīdis,338
vecāks,337
beigas,335
elle,335
kuriene,326
aģents,324
asins,323
parāde,322
spēle,320
cietums,307
komanda,306
dzimšana,304
pilsēta,303
karš,301
gaiss,299
piemērs,296
stāsts,295
telefons,292
tiesība,292
Jēzus,291
džeks,284
kāja,277
ļaudis,276
iemesls,276
policija,275
kuģis,275
meita,274
zvērs,272
mirklis,272
suns,271
draudziņš,270
mīlestība,269
sajūta,269
seja,269
turp,268
skola,268
mala,267
atbilde,267
zelts,266
uguns,265
galds,264
kapteinis,264
istaba,264
jausma,264
draudzene,263
veids,260
jaunkundz,250
spēks,248
iela,248
atslēga,248
mērķis,246
zēns,244
informācija,239
sākums,239
kafija,239
ciet,238
parāds,238
vīrietis,238
tikšanās,237
vina,235
skats,232
maiks,231
pilnība,230
grāmata,228
malacis,228
zāle,227
muļķība,223
auto,222
stāvs,220
pēda,218
māksla,218
māsa,213
karalis,212
gaisma,211
mūžs,211
kaptein,211
jūra,210
numurs,210
sāpe,206
čārlis,205
manta,202
vakariņas,199
vakars,198
tuvums,198
sapnis,197
mirklīte,197
bumba,197
spēja,196
attiecība,195
veiksme,193
vienošanās,193
banka,193
mēnesis,193
balss,191
joks,191
mute,190
telpa,190
pārbaude,190
j#s,190
miljons,188
gulta,185
arlabunakte,185
zvans,183
burvis,183
cip,183
boss,182
pag,182
nepatikšana,181
stāvoklis,179
vidus,179
pirksts,178
gabals,178
noslēpums,178
meli,178
birojs,177
mugura,175
alus,174
aģent,173
ha,173
kārta,172
stjū,172
turiene,171
brīnums,171
smadzenes,171
sekunde,171
bailes,171
pārsteigums,170
uzdevums,170
varonis,170
izvēle,170
slepkava,170
čalis,168
akmens,165
aizdomas,165
kļūda,163
sēde,161
video,161
saule,160
dziesma,159
dāvana,159
īstenība,157
vectēvs,155
jaunkundze,154
pagalam,154
drēbe,153
sistēma,153
bikses,153
sūds,152
ēdiens,151
dokuments,149
atmiņa,149
situācija,149
stāt,149
jebkas,148
pusdiena,148
kuce,148
advokāts,147
tēvoce,147
mūzika,146
jüs,146
vadītājs,146
kabinets,144
muļķis,144
prezidents,144
mats,143
krava,143
darījums,143
amerikānis,142
jumts,141
maita,141
partneris,141
nākotne,141
lietus,141
vara,141
tūkstotis,141
maks,141
likums,140
filma,140
kauja,139
princese,139
sala,139
virziens,139
ballīte,138
debess,138
aizmugure,137
poteris,137
cieņa,136
ledus,136
nozīme,136
laime,136
logs,136
gredzens,136
slimnīca,135
kamera,134
kāzas,134
mazulis,134
sūdis,133
gars,132
randiņš,132
zobena,132
jucis,132
punkts,132
uzvara,131
pierādījums,130
veikals,130
siena,130
kruķis,128
putns,128
lidmašīna,128
viesnīca,128
vēs,127
pulkstenis,127
vecums,127
dakte,127
gods,126
armija,125
"""s",125
ārsts,124
mežs,124
ziņojums,124
saruna,123
tēja,122
atļauja,122
zīme,122
zirgs,121
apsole,121
jēga,121
dzēriens,121
valoda,120
vējš,120
klients,120
apžēliņ,119
grupa,119
misis,119
līķis,119
sports,118
līgums,117
narkotika,117
džis,117
briesmas,117
attālums,116
tumsa,115
idiots,115
sajūsma,115
pakalpojums,115
noteikums,114
cerība,114
darīšana,114
dvēsele,114
saraksts,113
vecis,112
kods,112
sakars,112
bērks,112
blēņas,112
ēka,112
dienvidi,111
frenk,111
signāls,110
kurpe,110
neprāts,110
TV,110
krāsa,110
cepure,109
izstāsts,109
cena,109
brokastis,109
vēstule,108
firma,108
pienākums,108
tiks,108
sekss,108
nemūžam,107
zobs,107
zaglis,107
godība,107
augša,106
bizness,106
atrašanās,106
ienaidnieks,106
solis,106
gājiens,106
mazulīt,105
jods,105
nodaļa,105
tirgus,105
zibens,105
mīla,105
ķermenis,105
super,104
km,104
lācis,104
robeža,104
zivs,104
zizlis,103
pagātne,103
aizsardzība,103
noziegums,103
DNS,102
karaliene,102
cīņa,102
mācība,101
policists,101
ziemassvētki,101
ģēnijs,101
Kristus,101
slepkavība,100
ieraksts,100
piedāvājums,100
leja,100
elpa,100
biļete,99
saskaņa,99
ragana,99
brīvība,99
operācija,99
padoms,99
skatuve,98
čomiņš,98
kauns,98
centrs,98
radio,98
kaķis,98
metrs,97
raksts,97
vienība,97
kretīns,97
lēmums,97
koks,96
