word,count
em,0
m,0
im,0
mijiet,0
riq,0
oroq,0
ar,0
jar,0
ja,0
jiet,0
ijiet,0
er,0
rijiet,0
alb,0
lub,0
eb,0
bijiet,0
el,0
l,0
il,0
lejn,0
lej,0
ieq,0
aqajn,0
aqaj,0
riegħ,0
irgħajn,0
irgħaj,0
ejn,0
ej,0
belt,0
ibliet,0
bliet,0
elma,0
elm,0
elmtejn,0
elmtej,0
elmiet,0
liem,0
uħ,0
wieħ,0
as,0
jus,0
a,0
tejn,0
tej,0
iet,0
awl,0
wal,0
walijiet,0
afown,0
ofoni,0
ena,0
ent,0
entejn,0
entej,0
nin,0
i,0
na,0
mara,0
mart,0
nisa,0
tieb,0
otba,0
ola,0
ejjel,0
ira,0
irit,0
ejjer,0
ilsien,0
lsien,0
ilsna,0
jum,0
jiem,0
ijiem,0
jumejn,0
jumej,0
niedem,0
nedmin,0
raġel,0
rġiel,0
irġiel,0
of,0
fijiet,0
in,0
ers,0
rus,0
erp,0
riep,0
orti,0
rati,0
ra,0
da,0
ed,0
isja,0
ejjes,0
irien,0
ba,0
ob,0
biet,0
à,0
ajiet,0
s,0
ibien,0
ebien,0
ejbien,0
ù,0
ujiet,0
t,0
ts,0
andiera,0
nadar,0
tifel,0
itfal,0
tifla,0
tfal,0
subien,0
attus,0
tates,0
ża,0
oż,0
abib,0
obba,0
u,0
offa,0
iffa,0
ufftejn,0
offtejn,0
ofof,0
fuf,0
iffiet,0
urnata,0
ranet,0
eħen,0
iħna,0
ġa,0
aġ,0
fur,0
afar,0
arbija,0
rabi,0
eżżula,0
żieżel,0
riċi,0
uri,0
iemel,0
wiemel,0
ultan,0
ultana,0
laten,0
ien,0
n,0
nien,0
onna,0
inna,0
oħt,0
aħwa,0
xa,0
ax,0
ex,0
emx,0
mux,0
andul,0
nadel,0
niedel,0
nċiela,0
ċniel,0
edaq,0
edqejn,0
idqa,0
orm,0
rum,0
amħ,0
muħ,0
arba,0
arb',0
arb,0
arbtejn,0
arbiet,0
urpett,0
riepet,0
urpetti,0
ta,0
et,0
artana,0
ratan,0
ieħeb,0
ieħba,0
ħab,0
ansab,0
nasab,0
una,0
ejjen,0
arbun,0
raban,0
raben,0
orboġ,0
riebeġ,0
k,0
ka,0
ok,0
oss,0
sejjes,0
usrana,0
saren,0
uzzell,0
ziezel,0
uzzelli,0
asrija,0
sari,0
ur,0
war,0
pa,0
ep,0
usmar,0
siemer,0
ma,0
om,0
sa,0
os,0
si,0
ga,0
eg,0
za,0
ez,0
iber,0
ibrejn,0
ibra,0
bar,0
ala,0
wali,0
off,0
offijiet,0
aħġar,0
ħaġar,0
idra,0
dur,0
idriet,0
itan,0
jatan,0
jaten,0
eġ,0
aħal,0
ħula,0
abar,0
bura,0
obra,0
erriegħa,0
rieragħ,0
erriegħat,0
ġifen,0
iġfna,0
ġfien,0
erbut,0
arbut,0
riebat,0
riebet,0
jun,0
ebut,0
wiebet,0
erħa,0
arħa,0
rieħi,0
eraħ,0
erħiet,0
axix,0
xejjex,0
aqrut,0
qaret,0
elb,0
lieb,0
ajjar,0
arsa,0
arstejn,0
ras,0
en,0
ozz,0
ods,0
izz,0
izzejn,0
zuz,0
ziez,0
orma,0
urma,0
orom,0
inniet,0
aġeb,0
oġġieba,0
eżbuża,0
żiebeż,0
eżbużiet,0
appun,0
papan,0
papen,0
appuni,0
arpell,0
alpell,0
rapel,0
riepel,0
arruta,0
raret,0
rieret,0
ama,0
omja,0
ajn,0
ejun,0
ewta,0
wiet,0
aħħar,0
ħaħar,0
arfusa,0
rafes,0
onq,0
enuq,0
ċur,0
ċrie,0
uq,0
wieq,0
aqaf,0
oqfa,0
es,0
pux,0
pxie,0
aġel,0
ġiel,0
appella,0
eppella,0
papel,0
piepel,0
orq,0
rieq,0
orqijiet,0
us,0
wies,0
iżla,0
żul,0
pus,0
psie,0
anut,0
wienet,0
antar,0
antarejn,0
natar,0
anfud,0
niefed,0
riek,0
orok,0
upu,0
pup,0
angun,0
anguni,0
nagan,0
nagen,0
urdell,0
riedel,0
eċċun,0
ċieċen,0
oqdief,0
qadef,0
