word,count
man,822370
mens,675343
leven,635107
tijd,634182
jaar,480567
vader,477015
huis,476558
dag,475973
keer,444832
vrouw,438980
dank,436159
spijt,408999
geld,403147
werk,402241
moeder,384690
god,346201
uur,344186
ding,317385
idee,298074
naam,294397
meneer,287081
vriend,275570
vraag,268363
paar,265028
kind,263550
beetje,257657
auto,257414
jongen,241646
wereld,238234
zoon,224042
hand,215904
probleem,210883
meisje,210260
hoop,206569
familie,205985
politie,196014
orde,194376
manier,191024
kant,188018
hoofd,187485
kans,172312
pak,172208
stad,166881
minuut,166104
moment,165361
plaats,162778
pijn,160856
hulp,159991
zaak,159121
plan,159074
agent,157338
broer,157145
oog,151162
kamer,149379
school,145222
soort,144552
deur,143049
dokter,139423
dochter,138137
plek,137910
water,137792
land,135280
week,133625
bloed,126817
verhaal,125302
zorg,125029
dollar,123605
druk,123431
mevrouw,122158
waarheid,120350
hart,119603
nacht,118426
papa,117399
bed,116326
reden,115816
maand,114628
baas,113443
begin,112881
baby,111878
schuld,111604
gezicht,110406
avond,109870
fout,108120
nummer,107413
telefoon,106903
kloot_zak,105103
mama,104170
vriendin,104017
liefde,103919
oorlog,103587
rest,102678
deel,102627
lichaam,102581
kop,102515
ouder,101611
buurt,101370
team,99628
wapen,98480
moord,97895
baan,95137
mond,94745
rust,93930
geval,93579
geluk,93547
vent,91379
recht,90791
kapitein,89168
stuk,88262
woord,88204
president,88108
haat,86505
koning,85527
kantoor,85374
miljoen,84513
kwaad,83645
heer,83341
schip,82958
antwoord,82357
boek,81882
licht,81772
bewijs,81606
zus,81390
onderzoek,81032
zin,80798
kerel,80594
informatie,80423
pap,79940
pa,78174
film,77557
hond,77515
enkel,76948
stap,76217
einde,75764
persoon,74971
gevoel,74865
foto,74393
contact,73855
gevangenis,73245
gang,72845
ziekenhuis,72692
aarde,72015
controle,71940
plezier,71311
punt,70649
spel,70142
moordenaar,69930
koffie,69508
grond,69380
toekomst,67917
leger,67669
gebruik,67613
dame,67287
lucht,67077
schat,66931
kracht,66551
advocaat,64921
geheim,63401
loop,61717
idioot,61572
spul,61191
onzin,60712
gevaar,60258
vuur,60029
oom,59458
seks,59171
ongeluk,59028
meid,58766
dienst,58376
succes,58310
pistool,57476
droom,56301
hemel,56244
feest,56167
ruimte,56093
afspraak,55999
sir,55521
meter,55409
bank,55386
doel,55379
muziek,55192
vliegtuig,54859
geest,54600
shit,54571
gat,53721
straat,53661
relatie,53375
bedrijf,52570
lief,52271
goed_emorgen,52156
rug,52140
hotel,52060
regel,51446
seconde,51356
slachtoffer,51182
prijs,50848
boot,50514
lijst,50342
vertaling,50333
stom,50308
macht,49880
keuze,49779
generaal,49765
gebouw,49618
drug,49423
tv,49210
raad,49019
kleren,49015
groep,48495
stem,48223
gesprek,48152
gedachte,47984
situatie,47978
gezin,47941
deal,47834
vlucht,47247
honger,47074
reis,46877
tafel,46568
verleden,46559
huwelijk,46337
teken,46174
bericht,45757
sleutel,45735
partner,45672
band,45416
meester,45398
hel,45310
gast,45209
bureau,44347
missie,44345
kolonel,44098
arm,44087
kaart,44015
grap,43457
wet,42862
rij,42759
luitenant,42457
respect,42362
lul,42307
muur,42202
bevel,42159
show,42086
brand,42000
moeite,41918
lijn,41424
kerk,41290
maat,41096
angst,41092
lijk,41071
rijk,40848
aanval,40815
eind,40718
gebied,40659
ziel,40500
positie,40388
bal,40257
volk,40117
ruzie,39998
aantal,39853
zon,39744
vijand,39734
rechter,39703
operatie,39643
oma,39537
koningin,39349
wagen,39050
ring,38658
club,38619
planeet,38617
keus,38409
zee,38311
kont,38311
computer,38305
paard,38022
meide,38020
aandacht,37998
schoen,37804
vrede,37778
bom,37653
wedstrijd,37456
held,37390
brief,37349
zuster,37344
les,37144
helft,37143
rechercheur,37113
adres,37076
camera,36882
systeem,36723
sheriff,36501
slag,36424
gevecht,36399
bar,36230
geschiedenis,36008
bezoek,35829
boord,35629
broek,35604
neus,35495
getuige,35385
zelfmoord,35311
lot,35303
winkel,35292
trein,35258
sergeant,35187
raam,34973
professor,34674
bus,34601
verdenken,34172
mes,34079
lift,34056
park,34046
richting,33986
been,33893
nek,33884
code,33843
verrassing,33834
monster,33697
excuus,33657
spoor,33554
hoogte,33536
eiland,33331
verlies,33325
beslissing,33290
verklaring,33052
adem,33005
tas,32843
gods_naam,32811
wijn,32744
veiligheid,32683
verschil,32615
tante,32488
boodschap,32470
la,32286
beurt,32228
dier,32224
weekend,32200
voet,32197
goud,32061
eikel,31782
rekening,31732
feit,31676
commandant,31569
vlees,31536
klote,31510
oud,31422
koop,31375
dak,31362
ijs,31356
strijd,31341
kennis,31341
thee,31332
toestemming,31263
cel,31121
basis,31032
kilo_meter,31007
verjaar_dag,30958
regering,30861
wraak,30842
last,30775
appartement,30717
hoek,30606
indruk,30576
soldaat,30518
test,30508
energie,30506
stoel,30421
glas,30368
risico,30345
kogel,30316
kat,29906
bos,29898
gevoelen,29879
afstand,29836
toegang,29821
boom,29582
opdracht,29562
beeld,29509
keuken,29459
brug,29419
opa,29371
leiding,29369
heilige,29211
leider,29066
geluid,29049
jurk,28874
vrijheid,28762
ochtend,28701
slot,28678
ervaring,28512
geweer,28445
procent,28388
totaal,28368
taak,28296
rol,28253
dorp,28212
inspecteur,27812
zwaard,27779
dossier,27673
patiënt,27546
directeur,27485
rivier,27461
actie,27440
beest,27402
beweging,27320
bier,27270
pad,27266
knul,27167
misdaad,27043
zak,27005
radio,27002
vis,26946
lab,26865
dader,26835
leeftijd,26791
restaurant,26618
vorm,26455
doos,26444
klas,26421
wind,26415
vakantie,26284
neef,26261
lol,26210
hoer,26201
leer,26186
twijfel,26154
maan,26072
trap,26030
herseen,26016
taxi,25914
programma,25852
advies,25811
beveiliging,25811
lunch,25800
krant,25786
prins,25717
kost,25701
wonder,25690
releas,25683
bruiloft,25426
majoor,25260
drank,25090
medicijn,24898
ontbijt,24857
signaal,24794
geweld,24723
prinses,24701
chef,24697
captain,24694
DNA,24674
kussen,24594
mijnheer,24570
bedoeling,24504
akkoord,24496
jas,24496
fles,24482
huid,24455
schade,24386
doelwit,24377
tand,24347
momen,24305
mening,24289
gedrag,24261
sexy,24183
locatie,24150
motor,24075
duivel,24011
papier,23996
machine,23989
magie,23960
boel,23923
rook,23906
gegeven,23761
verband,23653
proces,23583
bloem,23563
majesteit,23515
kamp,23494
detail,23484
afdeling,23478
klant,23452
echt_genoot,23440
steen,23361
voedsel,23309
officier,23282
strand,23239
ster,23205
oor,23073
lach,22942
noorden,22829
burgemeester,22814
publiek,22692
rapport,22658
bron,22650
universiteit,22648
video,22606
zomer,22586
paniek,22543
oplossing,22526
steun,22419
post,22413
gedoe,22392
toilet,22233
eigenaar,22118
blik,22117
cliënt,22068
grens,22042
homo,21892
senator,21874
carrière,21824
arts,21777
veld,21747
broeder,21738
type,21678
ziekte,21632
bek,21469
moed,21466
schot,21301
theorie,21161
vinger,20990
jouw,20946
trut,20942
verkoop,20685
straf,20667
vergadering,20659
kleur,20641
lid,20622
berg,20621
truck,20556
minister,20511
alarm,20502
godverdom,20495
daat,20489
herinnering,20487
genoegen,20390
toon,20386
maatje,20349
gezelschap,20297
project,20291
kelder,20282
sukkel,20280
kluis,20212
vogel,20144
storm,20103
bende,20097
pond,20086
belang,20051
leugenaar,20028
toeval,20027
afscheid,20017
begrafenis,19965
klootzak,19965
detective,19946
taart,19801
genade,19716
vergissing,19609
kip,19592
Quantity,19589
troep,19538
geheugen,19503
top,19488
contract,19268
station,19264
kwestie,19200
coach,19155
vloer,19116
virus,19078
poort,19075
aanbod,19069
kunst,19068
melk,19013
klus,18975
tent,18971
stroom,18944
leugen,18932
verstand,18924
omgeving,18898
bescherming,18867
stilte,18824
westen,18798
tuin,18792
rotzooi,18753
verzoek,18735
lord,18663
talent,18659
zicht,18651
zuiden,18631
juffrouw,18614
hoed,18597
flat,18592
taal,18539
west,18526
kast,18514
verantwoordelijkheid,18512
vangen,18433
eenheid,18372
jury,18349
hek,18341
ontslag,18251
schoonheid,18239
rechtbank,18156
borst,18122
cent,18084
mogelijkheid,18001
internet,17894
dans,17837
cadeau,17801
snelheid,17800
interesse,17779
geduld,17745
besluit,17661
buur,17650
waarde,17642
kilo,17514
high,17504
kust,17504
pil,17481
kerst,17438
verdieping,17422
pauze,17397
omstandigheid,17396
overheid,17386
koffer,17352
reactie,17351
hemelsnaam,17346
kanker,17337
verslag,17307
niveau,17266
graf,17266
garage,17250
lied,17246
politiek,17234
ambulance,17227
graad,17209
slaap_kamer,17206
vingerafdruk,17171
invloed,17072
klap,17060
lady,17011
keel,16993
diner,16983
order,16958
tong,16935
ren,16885
voordeel,16873
knie,16872
wetenschap,16854
ruil,16844
vliegveld,16829
woede,16808
piloot,16798
verandering,16715
leraar,16665
ei,16608
ronde,16598
oceaan,16589
streek,16584
manager,16583
burger,16567
donder,16555
gas,16490
smaak,16458
poging,16458
staat,16442
koers,16436
sync,16416
zonde,16328
stof,16325
stelen,16288
graven,16278
natuur,16275
eeuw,16188
beer,16180
data,16118
handel,16064
buik,16056
voorstel,16050
badkamer,16022
verdediging,15985
wens,15962
dief,15962
pers,15916
boerderij,15904
bemanning,15883
job,15818
horloge,15770
pot,15732
wolf,15703
terrein,15674
gouverneur,15663
chauffeur,15633
komst,15622
personeel,15611
technologie,15610
ontmoeting,15554
Kerstmis,15515
belofte,15512
gunst,15503
collega,15492
pensioen,15423
pizza,15402
geur,15397
kleding,15394
overwinning,15353
priester,15316
brood,15310
engel,15297
bord,15293
dekking,15280
champagne,15163
bewaker,15163
haven,15146
nachtmerrie,15120
plicht,15109
voorbeeld,15074
medelijden,15054
wijze,15052
waarschuwing,15018
markt,15009
reputatie,14961
dichter,14958
verloofde,14934
behandeling,14926
marine,14914
centrum,14908
hal,14897
race,14880
verzet,14872
klok,14862
gedeelte,14859
vloek,14815
gaaf,14812
jacht,14768
pik,14756
fuck,14750
mensheid,14744
regen,14739
universum,14739
wezen,14728
kist,14724
groet,14647
aanklacht,14644
shirt,14628
artikel,14586
fan,14578
proost,14531
overval,14508
vlieg,14500
gozer,14494
wc,14488
kerstman,14447
assistent,14434
whisky,14433
kaas,14404
materiaal,14395
geheel,14388
toestand,14358
jeugd,14355
cijfer,14320
winter,14297
huur,14283
verrader,14249
woestijn,14241
kasteel,14211
vriendschap,14172
partij,14155
schaduw,14136
gezondheid,14093
spiegel,14093
beroep,14090
verdriet,14073
ramp,14053
onderwerp,14009
duisternis,13980
apparaat,13962
helikopter,13933
spellet,13931
stront,13904
gedag,13882
gelul,13842
online,13836
route,13783
lef,13761
bedreiging,13761
training,13749
bril,13729
dek,13727
idioten,13716
explosie,13714
zwembad,13665
sprong,13658
gok,13610
uniform,13606
crimineel,13565
olie,13560
genie,13514
verbinding,13507
mars,13487
oosten,13484
student,13453
gemeenschap,13436
aap,13413
optreden,13345
identiteit,13334
stand,13316
commissaris,13278
keizer,13246
hoogheid,13237
tunnel,13222
touw,13212
hersen,13211
spion,13204
zijde,13196
stel,13195
winnaar,13152
house,13149
douche,13107
geschenk,13060
model,13049
lijf,13044
fort,13027
maag,13007
winst,12994
slang,12946
masker,12943
bot,12916
beseffen,12894
vampier,12878
kampioen,12856
overeenkomst,12827
stijl,12793
makker,12785
ellende,12773
gerechtigheid,12739
hekel,12720
doctor,12694
varken,12668
jongeman,12649
seizoen,12616
verraad,12615
vuil,12613
alcohol,12610
koninkrijk,12590
optie,12579
rat,12564
schutter,12517
lading,12503
bereik,12471
brein,12467
ondertiteling,12460
pen,12440
zand,12410
cheque,12340
rand,12332
onderdeel,12294
delict,12289
middernacht,12288
slet,12272
lever,12267
spraak,12260
huis_werk,12247
dwaas,12233
geintje,12216
schande,12212
terrorist,12169
merk,12157
resultaat,12144
tiet,12143
bezwaar,12130
mijl,12122
middag,12117
gevolg,12113
truc,12074
vocht,12073
bond,12070
ex,12062
pop,12050
middel,12022
hout,12014
diamant,12011
graaf,12003
fabriek,11957
aanwezigheid,11941
ontspannen,11937
hof,11906
sneeuw,11865
gerucht,11832
medium,11830
schilderij,11829
motief,11826
junior,11816
braaf,11789
organisatie,11764
golf,11762
beloning,11756
schouder,11750
gewicht,11747
bruid,11730
bibliotheek,11721
weg,11668
vet,11644
toren,11612
schrijver,11589
versie,11583
sport,11573
live,11565
benzine,11555
lafaard,11529
verdacht,11528
lip,11508
justitie,11491
hartaanval,11470
zegen,11450
tank,11433
kut,11369
museum,11344
knop,11331
scheiding,11313
centraal,11300
kleed,11289
alibi,11286
legende,11236
goed_acht,11227
expert,11208
heleboel,11203
teef,11159
stemming,11142
suiker,11129
laag,11118
chaos,11093
handtekening,11087
draak,11052
staart,11049
geboorte,11040
zuurstof,11015
zekerheid,11012
ketting,10995
uitnodiging,10964
hut,10963
overvallen,10957
roze,10949
uit_weg,10941
fiets,10928
kruis,10924
gras,10900
aanwijzing,10892
mammie,10867
maagd,10859
effect,10857
podium,10856
tip,10844
aanslag,10837
kopie,10834
grootvader,10831
ingang,10824
campagne,10820
interview,10799
jood,10792
jochie,10791
uitzicht,10775
sigaret,10773
GSM,10756
miljard,10734
nicht,10733
demon,10720
eten,10713
gif,10687
houding,10663
therapie,10654
opname,10652
opleiding,10652
chinee,10637
voorzitter,10568
koek,10565
doc,10559
bodem,10556
robot,10537
Bijbel,10526
realiteit,10508
instructie,10505
rock,10501
oproep,10498
kreng,10488
proef,10471
traan,10469
document,10454
behoefte,10453
grot,10438
vooruitgang,10411
netwerk,10397
café,10390
vermogen,10376
uitdaging,10376
pech,10351
bijeenkomst,10342
scène,10341
hartslag,10324
zone,10316
soep,10300
wiet,10298
aanklager,10296
penny,10282
communicatie,10281
kaar,10266
chief,10261
ogenblik,10248
fantasie,10231
speelgoed,10216
kerst_feest,10200
admiraal,10176
gelegenheid,10175
daad,10168
pest,10168
vracht_wagen,10159
oordeel,10143
fase,10131
klasse,10128
vat,10104
ras,10098
rommel,10096
munitie,10087
smeer_lap,10086
nood,10070
plant,10064
psychiater,10051
noodgeval,10040
stress,10035
hoofd_pijn,10027
maaltijd,10018
emotie,10015
vlag,10010
schedel,10008
achterkant,10002
recht_zaak,9989
promotie,9964
oorzaak,9963
info,9947
pols,9916
schema,9891
ministerie,9875
nut,9873
tekst,9854
raket,9839
patroon,9836
ontvoering,9834
schuur,9829
humor,9828
criminel,9828
brigadier,9798
maling,9795
snel_weg,9771
overkant,9743
eigendom,9742
televisie,9739
ambassadeur,9732
titel,9716
kliniek,9715
studie,9712
voorwaarde,9702
dag_boek,9677
verpleegster,9661
e-mail,9659
status,9655
waanzin,9636
avontuur,9603
bewust_zijn,9551
attentie,9542
koorts,9521
durven,9499
vleugel,9494
voertuig,9477
datum,9466
rit,9464
theater,9427
rijbewijs,9419
vak,9418
motel,9407
zoektocht,9402
wond,9376
hol,9374
joch,9343
paspoort,9342
discussie,9340
studio,9323
kooi,9315
slaaf,9310
slaf,9298
scherm,9293
vermiste,9286
long,9279
beslag,9271
betekenis,9263
achtergrond,9257
demoon,9223
aard,9204
brandstof,9194
schoft,9194
experiment,9188
versterking,9186
arrestatie,9170
paleis,9170
kroon,9147
vloot,9135
verzekering,9135
link,9110
dominee,9103
tape,9087
tovenaar,9086
portemonnee,9084
coma,9067
gebeurtenis,9058
serie,9053
rotzak,9045
trekker,9029
zender,9014
smeris,8992
koelkast,8991
metro,8981
crisis,8977
gebrek,8969
applaus,8967
penis,8962
jungle,8961
favoriet,8954
acteur,8953
privacy,8946
oefening,8941
uitgang,8938
flikker,8932
koe,8925
bloed_druk,8923
symbool,8918
incident,8916
lemand,8913
troon,8913
blaas,8900
fortuin,8887
passie,8886
chip,8880
lust,8876
spanning,8872
periode,8860
glimlach,8860
ondergoed,8856
commentaar,8847
casino,8837
woning,8827
verkeer,8823
schild,8784
kandidaat,8784
karakter,8735
heuvel,8708
zout,8698
bewaking,8697
diefstal,8695
gemak,8692
pagina,8691
traditie,8689
stok,8684
boy,8678
tweeling,8676
hufter,8671
undercover,8663
opzet,8662
maal,8639
eerwaarde,8636
journalist,8633
heelal,8627
plastic,8603
konijn,8593
loon,8592
knuffel,8587
afval,8554
wetenschapper,8548
s,8545
indiaan,8543
aandeel,8539
roman,8538
defensie,8529
overste,8522
straf_blad,8511
contant,8505
explosief,8503
werkelijkheid,8484
blok,8479
puinhoop,8471
chocolade,8457
tempel,8451
schop,8450
snoep,8442
kanaal,8413
wat,8412
bestuur,8404
coördinaat,8396
temperatuur,8392
politie_agent,8391
college,8390
toespraak,8369
moeilijkheid,8359
hoofdkwartier,8358
profiel,8347
bedrag,8347
leerling,8344
centi_meter,8339
vrouwe,8337
cirkel,8327
kwart,8311
affaire,8285
mysterie,8262
rots,8261
commando,8253
pappa,8251
techniek,8249
ton,8248
timing,8225
yo,8223
kern,8216
lawaai,8189
gereedschap,8183
procedure,8174
generatie,8158
speler,8131
bagage,8125
speech,8120
laptop,8116
inbraak,8111
gewoonte,8111
wijf,8102
voorraad,8088
congres,8086
borg,8077
kok,8074
uitslag,8070
commissie,8069
standaard,8063
recept,8056
puur,8045
ambassade,8044
hoofdstuk,8044
laars,8028
premier,8021
informant,8018
madame,7997
zenuw,7959
revolutie,7959
tijdstip,7956
misverstand,7954
combinatie,7948
district,7939
goed_dag,7917
klere,7913
agenda,7912
set,7909
zeep,7905
hitte,7901
handschoen,7901
satelliet,7878
uiterlijk,7874
cowboy,7871
mamma,7821
schreeuw,7813
relax,7803
heroïne,7797
football,7788
chirurg,7783
concert,7777
wiskunde,7766
