word,count
pan,2564293
pani,1644468
porządek,1183137
dom,1087422
prawda,1084110
dzięki,935872
czas,887179
rok,870075
cześć,787577
raz,739687
człowiek,738486
życie,695721
dzień,661738
rzecz,644628
miejsce,513108
kurwa,477575
dziecko,469283
choler,443587
sposób,440951
praca,414405
racja,409531
ojciec,401385
kochanie,395994
nadzieja,368418
problem,366110
tato,357275
koniec,346236
mamo,342042
noc,340400
minuta,328736
spokój,325888
broń,324102
pieniądz,323055
imię,319260
chwila,314331
drzwi,312917
sir,303856
pomoc,284656
mama,283612
powód,283244
sprawa,280418
pomysł,271365
facet,263667
pokój,245326
świat,244956
oko,240126
doktor,239708
śmierć,227662
numer,225242
samochód,223916
telefon,220701
matka,220304
pytanie,216722
ręka,212342
wino,209919
droga,202730
halo,202287
dziewczyna,198973
prawo,197863
ogół,196009
plan,193302
the,191361
cholera,189674
żona,189350
godzina,188657
kobieta,188567
wiadomość,187579
pojęcie,186271
serce,186016
miłość,185916
słowo,184777
tata,184687
diabeł,183867
krew,182931
ziemia,180926
ciało,175498
powrót,173038
syn,171690
kapitan,169449
szczęście,167974
doktór,165352
rodzina,165276
głowa,162050
dolar,160905
rada,159810
skarb,158950
tłumaczenie,158130
robota,157481
strona,157170
miasto,157159
część,156715
brat,155859
policja,155849
wieczór,153340
mąż,153164
środek,152258
twarz,152068
zobaczyć,151928
chłopak,151130
temat,148734
szkoła,147699
dobranoc,144790
gówno,143699
spotkanie,143282
wypadek,140538
bóg,140427
miesiąc,140017
tydzień,136059
szansa,135808
woda,135212
statek,134245
góra,129192
koleś,127084
nazwisko,125667
uwaga,124305
przyjaciel,121794
zdjęcie,120843
kłopot,117555
większość,117336
błąd,116152
dół,116119
film,116090
początek,114575
kraj,111909
pa,110907
chłopiec,110810
gość,110541
osoba,110239
rana,109775
rodzic,109748
przykład,108948
córka,108284
szef,107881
powodzenie,106922
historia,106577
tysiąc,105446
ciąg,104720
cel,104634
siostra,104413
okazja,103293
moment,101593
wiek,100693
widzenie,100631
sekunda,100551
wybór,100091
stan,99385
myśl,99059
okay,98607
zło,97347
you,97181
pewność,97131
szpital,94744
noga,94505
ulica,94370
informacja,94121
okej,93723
wojna,93652
tył,93258
mężczyzna,93214
znaczenie,92719
walka,92559
panna,92469
moc,91903
ból,91569
głos,91452
wieść,91188
odpowiedź,90939
los,90790
włos,89834
reszta,89440
seks,88653
chwileczka,87826
jeść,87672
zamiar,87425
korekta,86550
przyszłość,86112
system,86095
biuro,86031
centrum,85739
nieprawda,85711
kolacja,85520
sens,85141
światło,83988
siła,83780
ogień,82414
więzienie,82164
tyłek,81275
hotel,81250
milion,80987
związek,80132
atak,80095
sytuacja,79562
mnóstwo,79144
rozkaz,78197
mózg,77925
prezent,77736
łóżko,77535
hey,77399
sen,77203
list,76927
mowa,76797
interes,76411
gra,76033
zdanie,75756
dzieciak,75692
bezpieczeństwo,75458
sąd,75313
and,75136
dowód,74984
dno,74882
zasada,74761
chryst,74714
jajo,74493
ofiara,73557
star,72797
laboratorium,72480
morderstwo,72393
pies,72389
ślub,72277
król,72216
dane,72174
klucz,72133
san,71364
obiad,71168
samolot,70732
sygnał,70704
firma,70649
prezydent,70591
styl,70256
agent,70071
badanie,69644
budynek,69627
program,69517
wysokość,69377
kolega,68693
zbrodnia,68678
przyjąć,68405
adres,68098
ciąża,67993
rodzaj,67844
zadanie,67799
ślad,67767
zespół,67566
but,67541
uczucie,67397
drink,67223
pobliże,67192
znak,67040
koło,66792
dama,66348
grupa,66068
książka,65911
raport,65694
pułkownik,64647
dala,64498
gratulacja,64461
wowa,64204
wyjście,64194
ruch,64108
lekarz,63920
powiedzieć,63657
kość,63076
kontakt,62955
kawa,62954
piwo,62910
kawałek,62705
la,62158
mieszkanie,62155
me,61885
rząd,61872
możliwość,60827
być,60817
przysługa,60606
poziom,60526
fakt,60484
jedzenie,60481
urodziny,60221
