word,count
coisa,1217379
casa,922297
tempo,854350
pai,822110
vez,797625
favor,786002
mãe,711968
noite,692220
dia,673565
vida,660258
ano,641679
homem,617498
pessoa,562065
senhor,557051
verdade,526410
tipo,525402
trabalho,485207
dinheiro,438329
desculpa,417970
filho,410664
mulher,394737
merda,392052
nome,379603
certeza,364864
volta,354367
amigo,347417
mundo,345120
lado,331753
numa,331130
carro,328718
problema,323545
parte,304665
lugar,292098
razão,283985
família,282239
ideia,273572
hora,265976
polícia,263445
cabeça,248206
forma,241340
cidade,240899
caso,238400
amor,237731
frente,237223
momento,235664
gente,233815
cima,218844
irmão,218021
nova,216470
porta,213921
história,212775
minuto,211762
ajuda,208415
morte,206913
medo,206223
caminho,205886
maneira,205494
rapaz,200303
arma,197694
lamento,194916
sorte,190144
olho,187691
causa,185203
conta,185137
pessoal,184601
cara,184358
filha,184129
cuidado,182966
mão,180154
senhora,179794
sangue,179431
quarto,175983
poder,174171
guerra,167661
água,167033
manhã,165883
agente,160441
semana,159497
calma,158386
segurança,157796
raio,157301
altura,156979
jogo,154625
terra,154235
fim,151818
chefe,151261
dólar,151073
corpo,150646
equipa,149710
estado,144100
coração,143820
meio,142774
capitão,142209
número,141395
força,141060
presidente,140135
mês,139819
escola,137412
acordo,136938
marido,136165
idiota,130914
plano,130837
olhar,130149
criança,130132
prazer,128987
festa,128632
pena,128377
irmã,125812
sra,123771
porra,122500
rei,121976
pergunta,121597
bebé,119433
telefone,117540
sala,114288
paz,114180
culpa,112254
palavra,110869
menina,110760
falta,109554
sítio,108151
licença,107994
cama,106721
comida,106425
casamento,106194
livro,104413
local,104064
atenção,104031
ar,103255
fogo,102944
país,102157
oportunidade,101337
prisão,100919
luz,100615
resto,100255
médico,99299
connosco,98526
sentido,96640
hospital,96619
direito,95391
pé,94339
miúdo,93958
rua,93055
miúda,92627
boca,90663
sinal,90563
café,90032
filme,89864
ponto,89741
sistema,88915
situação,88657
boa,87946
assassino,87783
cão,87510
mr,86723
sexo,86484
futuro,86467
música,86283
mensagem,85568
morto,85017
negócio,84746
questão,84648
notícia,83427
esposa,83189
chão,82675
facto,82488
encontro,82299
vontade,81377
grande,80748
relação,80340
natal,79792
banho,79549
amiga,79373
conversa,79186
avião,78362
respeito,78248
breve,78063
papá,78050
crime,77990
ataque,77949
viagem,77787
missão,77676
ordem,77570
cabelo,77352
grupo,77200
tom,77170
lista,76934
vista,76896
real,76542
linha,75661
final,75004
escolha,74280
assunto,74279
escritório,73966
campo,73727
tio,73512
puta,72908
emprego,72767
mesa,72571
fundo,72304
resposta,71641
graça,71608
exército,70883
barco,70494
erro,70250
má,70245
acidente,69962
doutor,69852
nave,69706
informação,69410
