word,count
a,9188666
metru,5222060
si,3565592
ţ,3010812
nevoie,1347552
timp,1191625
an,1014629
mar,934976
Oh,822484
asă,816158
domn,810388
regulă,809842
fel,794979
naibă,760677
lucru,738109
mamă,722304
loc,681294
om,662922
lume,624266
zi,620540
du,570965
dacă,557665
nume,532456
viaţă,481529
parte,464006
dată,457115
grijă,438612
ban,436347
tată,434600
scuză,414413
omul,402079
oară,397351
casă,382023
dreptate,381992
fapt,375515
drac,374671
noapte,365529
fată,356522
treabă,343988
drum,343884
minut,337081
copil,329240
tip,325113
vorbă,316323
dumnezeu,315807
ide,296016
ul,286959
poftim,284820
ajutor,284359
seamă,282799
problemă,276126
femeie,275434
urmă,270238
cameră,268676
vrea,267868
moment,266793
cauză,265296
fiu,258917
cale,256476
faţă,256470
famil,253193
cap,252212
băiaţ,251746
încredere,248667
rahat,247524
ochi,244207
lună,242164
siguranţă,241332
maşină,229135
frate,226835
mână,226026
caz,225068
telefon,223791
joc,223272
acord,222750
prieten,217608
dolar,214375
chestie,205761
vină,203893
doamnă,203701
oră,196907
spate,195709
apă,191472
noroc,190027
legătură,189858
oraş,189297
viată,187820
mod,187749
doctor,187404
pace,187334
adevăr,186971
soţie,186330
inimă,186324
bărbat,182519
minte,179966
vreme,179377
armă,176753
gând,170005
fiică,167650
motiv,165406
număr,165315
tot,165208
moarte,163343
sânge,163066
jumătate,161557
rest,159616
foc,159286
revedere,154522
uşă,153951
pământ,153686
persoană,153164
soră,152419
amic,152176
jur,151575
echipă,150858
dintr,149960
pa,147752
poliţie,147489
război,146905
drăguţ,146153
il,145738
uh,144660
muncă,144413
frică,141183
gen,140521
stat,138936
prietenie,138512
sfârşit,137421
gură,134218
ui,133932
dimineaţă,133052
băiat,132778
plăcere,132605
săptămână,131613
şansă,129000
toţ,126921
sex,126359
idee,126320
căpitan,125637
închisoare,124071
ah,123444
birou,123047
dragă,120471
soţ,119891
pat,119871
aer,119539
prietene,119162
poveste,119030
spital,118315
petrecere,118314
agent,117470
mâncar,114979
traducere,114735
şcoală,114689
întâlnire,114480
întrebare,114348
dreaptă,114215
luptă,113633
picior,113504
fară,113323
obicei,113151
intru,112768
putere,112435
afacere,112203
iubito,110916
omor,109670
dragoste,107348
pană,106856
mesaj,105400
super,105244
ordine,105094
plan,104925
clipă,104846
personal,103937
cafea,103792
vedere,103498
seară,103092
drept,102475
incă,101926
cat,101079
secundă,100760
toată,100721
masină,99459
navă,98481
dor,98445
film,98160
rege,98067
zonă,97768
prietenă,97650
secret,97541
stare,97386
veniţ,96931
adaptare,96100
părinţie,96094
accident,95517
foame,95426
credeaţ,94787
carte,94449
nebunie,94190
rost,93938
teamă,93826
masă,92341
rând,92171
lumină,91479
fund,90005
şef,89470
fir,89398
control,88803
pericol,88722
situaţie,88148
atenţie,88072
cuvânt,86809
răspuns,86459
ăi,85965
atac,85832
drog,85467
crimă,84958
baie,84826
poliţ,84100
slujbă,83996
avion,83995
acasă,83740
greşeală,82075
sistem,81400
corp,81261
vieţ,80911
poliţist,80797
informaţiu,80482
cină,80291
dnă,79940
privire,79848
nord,79655
morţ,79233
general,79187
bază,78930
punct,78752
serviciu,78579
viitor,77401
stângă,77326
băiaţie,76855
sens,75950
linişte,75425
aur,75163
mic,75102
câin,75037
felicitare,74238
succes,73933
hotel,73393
pregătiţ,72123
hey,71241
familie,71179
avocat,71081
sud,70905
unchi,70682
păcat,70414
minţi,70023
de,69907
suflet,69367
diseară,69311
muzică,68973
bob,68953
semn,68414
armată,68335
bere,67369
misiune,67328
listă,67131
pas,66806
companie,66597
capăt,66489
dimineată,66038
final,65750
securitate,65309
glumeşt,65302
grămadă,64729
vis,64713
inapoi,64531
port,64507
pai,64263
alţi,64227
regină,64215
cheie,63383
sală,63166
respect,63040
stradă,62918
tatal,62863
onoare,62697
ţară,62621
exemplu,62318
mult,62188
cadou,61564
păr,61412
mam,61384
sergent,61341
majoritate,61102
habar,60047
prostie,59695
iubir,59649
părere,59254
bar,59237
veşte,59234
preşedinte,59054
zbor,58892
ului,58633
mijloc,58594
continuare,58541
usă,58464
magazin,58282
glumă,58246
mulţime,58152
haină,57939
surpriză,57722
placă,57701
pariu,57327
grup,57307
adresă,57299
părinte,56856
mişto,56592
apartament,56511
bărbaţ,55993
criminal,55360
linie,55017
cont,54985
cal,54965
centru,54796
domnişoară,54456
energie,54276
um,54244
