word,count
спасибо,365472
раз,272099
время,259192
привет,231177
правда,213602
дело,171218
порядок,164609
день,161545
сэр,141401
год,140133
жизнь,138863
мистер,138458
человек,126439
отец,116649
мама,114038
друг,111675
место,99780
парень,96740
деньги,96344
доктор,91774
дом,81869
черт,79601
папа,76947
имя,72588
работа,70498
мать,68515
пора,67281
ребята,62803
вопрос,58651
рука,58002
сын,57849
вид,57528
мисс,57464
минута,56248
вещь,55208
господин,54980
пара,54033
мир,53866
ночь,53701
брат,52311
смерть,51367
ребенок,49389
помощь,48247
миссис,47933
случай,47577
чёрт,46809
дверь,46658
женщина,46511
проблема,45144
номер,45118
сердце,44224
глаз,44073
машина,43539
право,42905
слово,41982
жена,41503
вечер,40651
часть,40610
утро,39951
чувак,39345
капитан,39184
момент,39165
любовь,39119
идея,39035
голова,38634
час,38330
дочь,37325
девушка,36973
смысл,36964
шанс,36756
бог,36282
ум,34279
лицо,34096
тело,33975
план,33776
честь,33702
путь,33304
город,32928
кровь,32185
конец,32148
телефон,31923
оружие,31625
безопасность,31560
тип,31480
сестра,31196
внимание,31136
семья,30351
кофе,30079
способ,29932
сан,29931
мальчик,29265
дорога,29151
перевод,28970
полиция,28883
начало,28727
сторона,28298
муж,28217
шоу,27624
новость,26920
решение,26696
прощение,26659
отношение,26657
мужчина,26652
мера,26552
доллар,26432
дерьмо,26409
леди,26156
Сэм,26106
добро,26081
приятель,26017
неделя,25970
история,25881
вина,25674
свет,25243
рождение,24999
комната,24444
пап,24257
месяц,24003
президент,23948
убийство,23888
девочка,23819
школа,23764
ответ,23626
детектив,23382
образ,23275
пол,23194
агент,22846
сообщение,22780
убийца,22675
детка,22671
сон,22321
минутка,22278
понятие,22197
боль,21891
родитель,21879
тысяча,21736
мэм,21679
возможность,21634
выбор,21588
нога,21207
малыш,20947
секунда,20945
свидание,20893
ужин,20792
вода,20782
корабль,20663
связь,20540
компания,20486
мадам,20425
пистолет,20185
речь,20182
босс,19985
повод,19936
причина,19923
еда,19852
удача,19851
прошлое,19828
мужик,19816
подарок,19800
фильм,19370
переводчик,19288
предложение,19106
игра,18802
король,18769
голос,18726
курс,18693
молодец,18546
счет,18445
улица,18346
чувство,17937
майк,17850
письмо,17812
встреча,17792
сила,17652
сынок,17525
огонь,17493
шеф,17314
будущее,17206
дядя,17199
список,17174
ФБР,16993
идиот,16752
земля,16539
стопа,16529
величество,16466
главное,16462
слава,16370
черта,16216
волос,16087
фото,15962
команда,15881
ключ,15863
цель,15816
секс,15759
ок,15697
рот,15520
суд,15357
миллион,15288
тюрьма,15266
народ,15116
звонок,15035
адвокат,15020
война,14997
выход,14990
разговор,14963
очередь,14956
состояние,14946
бизнес,14738
преступление,14696
дама,14666
мысль,14644
удар,14557
госпожа,14410
Макс,14326
сара,14310
эма,14232
поста,14195
правило,14158
совет,14158
информация,14079
ребёнок,13991
разница,13918
видео,13855
покой,13803
задница,13799
офис,13744
сержант,13694
запись,13621
течение,13587
Ника,13554
платье,13520
сожаление,13515
адрес,13391
кольцо,13232
многое,13214
обед,13183
вечеринка,13112
подруга,13086
Тони,13084
месье,13079
шаг,13031
лейтенант,12972
профессор,12969
книга,12917
дон,12912
больница,12898
оу,12853
кино,12814
супер,12748
приказ,12699
вау,12699
офицер,12678
учитель,12664
группа,12610
сезон,12603
магазин,12578
документ,12534
часы,12531
миллиметр,12508
сюрприз,12484
поле,12343
качество,12332
ошибка,12292
ублюдок,12270
большинство,12263
директор,12246
опасность,12235
страна,12174
мнение,12112
фотография,12097
трубка,12031
старик,11975
бабушка,11913
роль,11802
музыка,11755
врач,11736
жертва,11733
секрет,11725
сигнал,11723
язык,11716
закон,11689
такси,11650
член,11603
сша,11584
шутка,11486
память,11442
док,11438
солнце,11328
серия,11264
мозг,11231
генерал,11215
рэй,11169
ложь,11134
сделка,11064
море,11058
сукин,11057
запах,11050
показание,11004
Су,10987
придурок,10978
ДНК,10973
данные,10962
господь,10954
класс,10942
квартира,10918
душа,10733
бобби,10729
сука,10684
удовольствие,10619
клуб,10608
стол,10597
штука,10594
ситуация,10593
кейт,10588
факт,10526
боб,10506
операция,10480
йорк,10479
уровень,10391
костюм,10340
доказательство,10317
собака,10281
одежда,10272
окно,10267
яйцо,10245
знак,10222
желание,10208
чушь,10191
центр,10189
солдат,10130
след,10045
нос,10016
королева,9981
расследование,9967
песня,9962
долг,9931
рождество,9914
бакс,9903
неправда,9890
вкус,9885
куча,9885
доступ,9844
код,9835
полковник,9813
система,9796
взгляд,9753
нож,9752
неприятность,9749
Эрик,9741
судьба,9734
дружище,9731
чан,9699
звук,9696
Дин,9693
туалет,9681
дедушка,9543
чай,9520
лос,9514
здание,9509
поезд,9499
плюс,9445
чудо,9442
бар,9410
камень,9402
радио,9345
дурак,9335
безумие,9334
наркотик,9317
тест,9297
судья,9291
брак,9257
власть,9212
камера,9166
результат,9092
клиент,9090
бой,9018
пиво,9015
поцелуй,8997
полицейский,8899
