word,count
poriadok,112322
pán,71228
čas,61973
človek,58207
deň,57408
otec,54427
vec,51840
život,49540
pravda,42791
rok,39767
miesto,38407
noc,36659
problém,35835
peniaz,33192
mama,32942
ráno,30664
dieťa,29877
meno,29007
muž,28182
dievča,28136
pani,27897
žena,26889
chvíľa,25509
práca,24485
pomoc,23804
doktor,23032
auto,21867
dvere,20164
minúta,19968
zlatko,19929
peklo,19131
chlap,18567
svet,18377
matka,18343
dom,18055
číslo,17980
slečna,17816
koniec,17488
zbraň,17443
moc,17349
nápad,17218
zlato,16771
ruka,16730
chlapec,16132
dôvod,16021
cesta,15979
prípad,15647
syn,15550
priateľ,15475
pocit,15398
kapitán,15337
brat,14859
týždeň,14655
spôsob,14532
oko,14452
hodiny,14272
smrť,13843
telo,13792
srdce,13690
hlava,13399
slovo,13214
loď,13052
plán,13036
ticho,12885
príbeh,12833
dolár,12564
rodina,12540
šanca,12076
šťastie,11876
jedlo,11435
sestra,11432
ocko,11369
krv,11366
strana,11280
zmysel,11239
hodina,11162
zem,11066
mada,11058
časť,11041
mesto,10913
chyba,10676
telefón,10673
strach,10648
správa,10522
láska,10477
tvár,10402
škola,10275
kamoš,9897
polícia,9773
párt,9302
chlapík,9270
skutočnosť,9260
možnosť,9206
dcéra,9154
tím,8988
bež,8894
hub,8788
peniaze,8674
dám,8453
odpoveď,8259
noha,8247
pohyb,8225
rodič,8196
večera,8191
ľudia,8130
spoločnosť,8091
film,8080
otázka,7980
mesiac,7910
byt,7898
právo,7837
informácia,7767
blázon,7751
šéf,7717
manžel,7644
bezpečie,7637
boh,7458
mimochod,7452
rande,7401
vlas,7370
čert,7349
pokoj,7328
sranda,7264
stretnutie,7226
otvor,7207
kráľ,7166
agent,7108
chvíľka,7094
sen,7069
miláčik,7067
troška,7017
šaty,6958
svetlo,6923
starosť,6910
systém,6888
káva,6720
idiot,6657
voda,6632
zboh,6631
výber,6629
obchod,6595
vrah,6569
druh,6518
hlas,6456
hra,6446
moment,6419
zvyšok,6392
šanec,6298
prezident,6275
sekunda,6222
preklad,6166
lode,6138
pes,6121
pracha,6081
izba,6071
nemocnica,6071
miestnosť,6028
kúsok,6009
osoba,6006
list,5911
rad,5871
posteľ,5842
cena,5830
budúcnosť,5820
dôkaz,5808
zadok,5777
názor,5757
strýko,5757
prsteň,5729
obed,5721
stopa,5688
väčšina,5663
vzťah,5660
kniha,5638
bolesť,5627
sila,5622
rozdiel,5621
vina,5596
detektiva,5590
profesor,5582
tajomstvo,5569
vojna,5562
odkaz,5532
kamarát,5462
krok,5449
plukovník,5447
pivo,5442
poručík,5431
doba,5416
priateľka,5392
milión,5356
začiatok,5348
rozhodnutie,5342
baby,5297
kľud,5275
dob,5262
kľúč,5236
záujem,5235
veliteľ,5206
pravidlo,5202
mobil,5197
súčasť,5190
smer,5169
zoznam,5118
vianoc,5114
láskavosť,5084
signál,5068
rozkaz,5054
mozog,5027
sa,5024
škoda,5018
prekvapenie,4924
policajt,4922
typ,4878
osud,4877
zábava,4823
vražda,4780
rozhovor,4756
podstata,4746
seržant,4744
cit,4699
fotka,4698
cieľ,4697
prístup,4697
lietadlo,4684
záznam,4656
chalan,4650
generál,4631
oheň,4628
dohoda,4614
vzduch,4610
pozornosť,4595
titulky,4588
darček,4583
útok,4575
boj,4563
topánka,4549
príležitosť,4517
ulica,4503
víkend,4501
pohľad,4494
lieka,4486
povolenie,4473
nádej,4472
väzenie,4440
obeť,4428
droga,4425
krajina,4412
ohľad,4394
dno,4390
decko,4366
narodeniny,4350
kancelária,4309
vtip,4238
vek,4211
zdravie,4206
čaj,4199
chuť,4195
dar,4185
zápas,4184
test,4162
minulosť,4159
show,4148
dievčatko,4143
stôl,4127
slnko,4109
kus,4108
dovidenie,4090
tri,4013
duch,3998
súd,3981
oblasť,3981
hrdina,3943
program,3941
drink,3935
zákon,3929
meter,3926
plána,3887
schopný,3883
majster,3877
večer,3873
pieseň,3869
stav,3834
debil,3797
riaditeľ,3780
účet,3763
obeta,3747
nehoda,3737
raňajky,3684
chrbát,3682
duša,3674
hajzel,3671
kód,3665
doktorka,3648
množstvo,3639
zadka,3639
teto,3625
spojenie,3614
kameň,3567
vojak,3557
let,3546
vláda,3545
myseľ,3524
adresa,3513
zima,3501
zviera,3500
vzhľad,3477
rada,3475
jazyk,3472
zub,3471
skupina,3468
manželka,3449
zvuk,3447
budova,3438
hlupák,3437
sračka,3424
obraz,3401
obava,3400
nos,3399
energia,3398
úloha,3394
kontrola,3387
meč,3372
čin,3350
výsledok,3343
dáma,3336
vlak,3327
krk,3322
kamera,3317
hudba,3300
nôž,3290
kráľovná,3289
dôstojník,3289
mäso,3281
služba,3280
polovica,3270
ústa,3261
park,3241
spomienka,3235
výlet,3230
riť,3225
šou,3192
myšlienka,3192
kontakt,3190
výsosť,3184
stroj,3178
pokus,3157
situácia,3155
okno,3151
víno,3147
veličenstvo,3147
paluba,3135
armáda,3134
oblečenie,3131
zodpovednosť,3100
tlak,3092
piatok,3072
bezpečnosť,3052
právnik,2994
zločin,2993
radosť,2991
jednotka,2957
učiteľ,2944
bomba,2941
princezná,2937
väčšinou,2937
hviezda,2935
vraha,2919
pohár,2901
svadba,2883
dobro,2882
guľa,2876
parád,2874
braček,2852
počítač,2848
mier,2844
šerif,2832
znamenie,2832
bara,2829
princ,2814
koláč,2804
vojac,2784
česť,2784
manželstvo,2784
záležitosť,2782
vyšetrovanie,2776
míľ,2766
prst,2757
pitie,2751
ochrana,2747
kopa,2742
oddelenie,2729
hotel,2717
zázrak,2717
ponuka,2707
kopec,2704
zlatíčko,2702
zariadenie,2702
vietor,2699
východ,2670
kvet,2662
hodinky,2648
reč,2642
okolie,2640
noviny,2622
rana,2610
mora,2591
planéta,2576
partner,2566
poschodie,2565
rozum,2565
základ,2565
trest,2543
priestor,2539
príkaz,2538
srdiečko,2534
návšteva,2530
ctihodnosť,2524
potešenie,2511
odvaha,2504
úsmev,2504
proces,2498
leto,2497
ryba,2497
tréner,2482
minútka,2470
nohavice,2465
papier,2464
