word,count
red,636323
hvala,549918
gospod,315252
dan,230226
oče,216355
čas,216117
bog,194860
stvar,177625
ime,175326
mama,171249
življenje,163941
leto,161698
človek,157774
sranje,144934
denar,133044
delo,117541
stran,114816
noč,113300
konec,107273
avto,104938
pomoč,104076
fant,99097
prijatelj,97892
oči,93215
otrok,92765
vrata,92537
mesto,89177
sin,81105
gospa,78472
trenutek,77919
del,77501
očka,75718
nocoj,75676
način,73165
pot,72395
svet,72356
minuta,72268
misel,71288
roka,71136
mož,70525
glava,68765
brat,65818
dekle,64701
vrag,63545
tip,62970
moški,62861
hudič,62356
ženska,59975
jutro,59880
žena,57632
teden,56081
orožje,55227
dolar,54804
hiša,54755
mar,53284
primer,53203
srce,52265
težava,52198
ljubica,52053
smrt,51468
vprašanje,51263
problem,50161
mir,49359
šef,48122
rit,46927
sreča,46873
služba,45671
priložnost,45540
pištola,45350
načrt,44619
večer,44284
ljubezen,43957
moč,42976
ura,42776
sporočilo,42666
policija,42488
družina,40922
soba,40680
sestra,40616
strah,40590
kri,40491
gospodje,39570
kraj,39213
mati,38909
pomagaj,38633
par,38537
punca,38483
obraz,38400
igra,37718
telefon,35922
posel,35316
kapitan,35048
kralj,34856
gdč,34742
resnica,34607
voda,34260
beseda,34032
občutek,33695
doktor,33308
predsednik,32430
možnost,32281
napad,32143
kolega,32137
zgodba,31336
preklet,31245
večerja,30597
srček,30113
dom,29921
poročilo,29859
zabava,29791
hrana,29616
sanja,29320
šola,29256
razlog,29226
ideja,29219
pojem,29200
pijača,29042
prostor,28969
ogenj,28855
agent,28708
tla,28686
uh,28548
noga,28504
film,28201
morilec,27810
zakon,27776
ladja,27758
številka,27627
pes,27127
vrsta,26786
oseba,26654
škoda,26409
letalo,26043
dama,25921
ln,25869
general,25801
žrtev,25777
stric,25655
kava,25597
sistem,25567
darilo,25004
odgovor,24982
poskus,24918
glas,24740
volja,24684
usluga,24530
telo,24327
umor,24156
ključ,23842
pesem,23738
skrivnost,23718
mesec,23682
božič,23655
sekunda,23321
klic,23173
postelja,23147
vojna,23110
boj,23109
hči,23012
knjiga,22866
smer,22816
truplo,22777
polkovnik,22730
ekipa,22365
čast,22348
prihodnost,22221
stanovanje,22128
naslov,22076
bedak,21953
starš,21738
zapora,21635
zrak,21409
milijon,21393
zdravnik,21353
obleka,21156
prevod,21067
pravilo,21062
pizda,21016
poročnik,20954
slika,20934
napaka,20889
pivo,20835
jajce,20823
sestanek,20811
zapor,20762
večina,20734
novica,20709
žival,20631
pismo,20608
bistvo,20473
drek,20354
ulica,20302
gospodar,20119
odločitev,20058
jebent,20001
postaja,19904
punce,19555
prasec,19520
TV,19467
prijateljica,19369
policaj,19230
vodja,19190
km,19039
rita,18947
pravica,18908
položaj,18822
začetek,18790
znak,18781
veselje,18774
ubij,18720
račun,18613
ples,18570
zemlja,18547
kosilo,18538
luč,18282
presenečenje,18248
izbira,18056
zmenek,17858
detektiva,17761
pogovor,17691
miza,17632
naloga,17568
poveljnik,17445
okno,17355
usta,17332
dokaz,17303
policist,17249
prstan,17181
podatek,17151
zbog,16997
hrbet,16840
narednik,16824
zamisel,16575
profesor,16554
vojak,16527
ukaz,16476
meter,16432
šerif,16349
spomin,16257
vlak,16224
jezik,16215
pisarna,16070
idiot,15982
seksi,15965
duh,15897
seks,15886
nevarnost,15801
smisel,15738
zdravje,15690
korak,15641
podjetje,15510
kup,15375
kraljica,15359
pogled,15340
vojska,15314
dogovor,15279
babica,15173
nadaljuj,15135
pošast,15108
žalost,15098
seznam,15046
cesta,14921
zveza,14911
nesreča,14906
sir,14797
um,14771
program,14636
sonce,14622
posnetek,14495
kos,14480
vlada,14470
poroka,14459
zadeva,14434
nož,14359
hlače,14256
odvetnik,14207
las,14108
varnost,14060
signal,14046
nos,13987
hčerka,13970
dovoljenje,13867
kurba,13818
veličanstvo,13807
meč,13745
stanje,13744
reč,13710
bližina,13514
kazen,13440
zdravilo,13421
oddelek,13372
dedek,13328
čaj,13303
informacija,13296
priča,13296
rešitev,13285
glasba,13276
šala,13199
oko,13196
laž,13162
skupina,13035
nadzor,12945
vikend,12895
upanje,12878
država,12841
nasvet,12788
računalnik,12738
ljubček,12683
dotikati,12630
zajtrk,12601
planet,12591
družba,12539
obisk,12528
cerkev,12525
cilj,12518
stranišče,12484
potovanje,12475
cena,12453
partner,12409
kost,12343
pekel,12303
usoda,12281
udarec,12278
duša,12271
pob,12247
stroj,12204
dejstvo,12183
sodnik,12097
junak,12009
preteklost,11949
tišina,11939
možgani,11937
sodišče,11870
don,11865
krivda,11764
baraba,11692
okus,11667
milost,11662
enota,11652
klub,11645
test,11555
pet,11543
luknja,11518
konj,11507
past,11447
punčka,11446
stotnik,11441
princ,11438
princesa,11429
zmaga,11426
učitelj,11421
taksi,11381
kamen,11361
radio,11291
meso,11265
mnenje,11223
izgina,11223
lastnik,11197
vino,11178
major,11176
zvezda,11153
tarča,11112
bolnišnica,11095
teta,11079
puška,11046
motor,11042
norec,11023
otok,11010
alarm,10995
DNK,10951
čoln,10922
petek,10867
deklica,10854
bomba,10848
pamet,10830
bolezen,10817
oglas,10807
angel,10792
sled,10753
most,10730
območje,10664
trener,10656
prasica,10645
izhod,10608
oprema,10587
ata,10533
veter,10533
pozornost,10524
čustvo,10473
hotel,10396
sovražnik,10384
čevelj,10315
hmm,10276
kamera,10252
center,10243
zvok,10239
dostop,10225
trgovina,10223
gora,10213
zločin,10168
nagrada,10133
skoča,10122
žoga,10120
sinka,10071
drevo,10067
nasvidenje,10067
prevoz,10065
potreba,10052
mačka,10040
namen,10021
govor,10018
vata,9988
zid,9943
video,9892
operacija,9889
smet,9884
neumnost,9844
avtobus,9840
stik,9836
nebo,9833
karta,9817
strel,9800
dolžnost,9778
morje,9774
igralec,9713
tovornjak,9707
sila,9695
mojster,9669
vau,9643
tekma,9602
podrobnost,9594
obdelava,9526
park,9413
vozilo,9413
bolečina,9380
hip,9377
gozd,9356
barva,9336
vonj,9277
član,9247
polovica,9224
čudež,9194
riba,9190
opravilo,9189
bar,9185
amen,9169
energija,9160
ponudba,9158
samomor,9064
odgovornost,8985
vrh,8920
stranka,8914
kozarec,8890
bitje,8884
genij,8882
maščevanje,8835
jebemti,8826
tisoči,8813
zaščita,8810
zob,8792
preiskava,8771
hitrost,8703
agentka,8647
razlika,8640
koža,8639
svoboda,8609
pritisk,8587
priredba,8570
pogodba,8518
zgodovina,8496
lord,8485
uho,8476
vas,8471
model,8471
tim,8412
led,8405
tepec,8402
torba,8365
oblačilo,8364
tema,8360
list,8350
pogum,8336
odpoved,8335
vzorec,8312
ponedeljek,8295
mm,8292
dežela,8290
vloga,8275
število,8274
predstava,8271
naprava,8266
odnos,8266
virus,8257
prsi,8228
meja,8204
odhod,8195
kilometer,8174
stol,8159
dvom,8156
sobota,8143
vrat,8126
roža,8124
zguba,8109
projekt,8085
direktor,8066
krog,8055
koleno,8044
palica,8006
punč,7974
opravek,7963
vesolje,7959
spredaj,7953
navada,7951
geja,7940
vzrok,7926
predlog,7922
prst,7918
podpora,7913
helikopter,7903
visokost,7893
zlo,7870
trik,7870
kontrola,7855
živec,7850
kolo,7847
kapetan,7832
sprehod,7771
laboratorij,7762
stopinja,7761
nebesa,7760
srečanje,7734
stopnica,7728
lažnivec,7727
evo,7726
plašč,7692
poljub,7678
skrb,7676
klobuk,7659
načelnik,7653
poletje,7651
bratec,7648
deček,7642
očala,7626
želja,7616
zamera,7598
govorica,7578
točka,7574
kuhinja,7559
prodaja,7551
huha,7519
stoletje,7505
zabog,7484
zemljevid,7457
obala,7448
fotografija,7447
izjava,7445
plin,7416
prah,7412
mamica,7405
lov,7398
kartica,7364
dnevnik,7360
škatla,7354
mleko,7353
malenkost,7350
droga,7338
postopek,7332
naključje,7330
kombi,7312
inšpektor,7266
vrv,7263
prednost,7245
zadetek,7243
zamena,7174
sedež,7165
izraz,7157
ijud,7157
reka,7129
zaupanje,7125
pregled,7119
časopis,7113
streha,7098
razmerje,7098
dokument,7087
roba,7084
banka,7050
senator,7033
grob,7025
strup,7012
dejanje,7009
smeh,7004
milja,6995
iskanje,6985
steklenica,6981
bum,6974
tableta,6961
vir,6960
paket,6953
župan,6942
klet,6941
pilot,6929
pogreb,6923
razred,6915
kg,6910
nadstropje,6908
pas,6885
sladoled,6864
sposobnost,6839
letališče,6830
trenutka,6830
duhovnik,6821
kovček,6795
posledica,6787
prehod,6776
lady,6772
opravičilo,6767
nedelja,6758
čarovnica,6740
vožnja,6738
viski,6722
stan,6721
navodilo,6699
rob,6695
voznik,6693
dojenček,6687
gumb,6681
starec,6670
dar,6658
torek,6643
it,6636
vtis,6620
rak,6607
opozorilo,6581
scenarij,6578
papir,6572
bratranec,6567
tiča,6565
sprememba,6559
travo,6536
obramba,6521
cm,6514
zver,6502
božiček,6491
vrt,6482
področje,6475
vhod,6452
ček,6449
baza,6440
rane,6433
rock,6415
situacija,6412
cepec,6389
polje,6382
narod,6370
oblast,6359
vodnik,6358
kruh,6353
peder,6329
spoštovanje,6310
rop,6308
naročilo,6275
pošta,6274
prvak,6259
m,6253
televizija,6249
mladenič,6230
peš,6225
čestitek,6220
opica,6213
znanje,6211
kraljestvo,6200
vreme,6192
seksa,6191
odmor,6188
kroglo,6179
umik,6173
minister,6160
gobec,6143
znamenje,6113
umra,6103
sine,6101
stop,6097
kariera,6094
sendvič,6094
val,6088
sok,6054
četrtek,6037
rezultat,6027
članek,6025
kurbina,6019
akcija,6017
umetnost,6015
blagoslova,5994
zaklada,5988
funt,5973
pizdun,5968
legenda,5966
nasmeh,5956
dogodek,5938
zmagovalec,5907
urok,5907
sever,5897
svidenje,5892
dečko,5876
svetloba,5864
koda,5856
poteza,5852
nogomet,5851
maska,5851
cev,5842
delež,5842
vest,5836
krogla,5833
frodo,5830
pomočnik,5821
kurec,5820
vera,5774
celica,5757
peklo,5756
kino,5756
sožalje,5746
fantek,5719
restavracija,5719
zahod,5716
perilo,5715
žep,5699
znanost,5691
plačilo,5689
zadovoljstvo,5675
strokovnjak,5667
tok,5635
nevihta,5620
stotina,5613
stolp,5609
dež,5605
trebuh,5603
osumljenec,5584
heroj,5575
uspeh,5556
joška,5556
simbol,5540
plaža,5535
tekmovanje,5535
izdajalec,5533
preživetje,5532
osebje,5525
lovec,5517
počitnice,5503
sprejem,5494
ponos,5485
izguba,5444
krilo,5438
norost,5429
mamilo,5408
streljanje,5405
sramota,5391
sit,5389
ijudje,5371
cigareta,5369
ljudstvo,5355
drekač,5352
gost,5345
hodnik,5338
orodje,5338
dno,5335
golf,5334
ptica,5331
šampanjec,5329
plus,5317
dim,5316
izkušnja,5316
požar,5308
izlet,5304
bolnica,5302
cesar,5299
predmet,5291
gorivo,5288
vrnitev,5274
sneg,5257
poškodba,5249
ujema,5240
bogastvo,5228
čarovnik,5224
srajca,5215
podaj,5212
odtis,5204
čutilo,5203
stavba,5195
plan,5189
torta,5165
strahopetec,5165
rana,5138
datum,5130
sv,5125
cent,5120
nasilje,5116
rez,5112
skladišče,5105
sojenje,5099
bazen,5099
poma,5093
tiger,5087
straža,5077
nastop,5070
sredina,5051
em,5046
steklo,5037
tat,5035
tabor,5002
lokacija,4997
dopust,4991
luna,4990
korist,4987
dvigati,4975
grad,4964
dvoboj,4960
lepotica,4946
velikost,4945
narava,4930
klinc,4910
zavarovanje,4905
javnost,4903
volk,4902
vzhod,4902
svinja,4885
košček,4879
teorija,4877
tek,4868
grožnja,4858
vase,4857
raj,4850
rešilec,4844
spelja,4840
admiral,4833
ščit,4816
linija,4809
panik,4806
vstop,4806
jug,4799
tovar,4798
izziv,4797
krinka,4794
prenos,4794
nebes,4786
nivo,4780
vreča,4778
hous,4773
dolgčas,4764
misija,4762
pij,4754
častnik,4744
prelep,4739
hrup,4736
ogledalo,4733
pozdrav,4730
ločitev,4698
raketa,4692
odstotek,4691
iahek,4686
drobiž,4681
izgovor,4641
krov,4621
talent,4621
elektrika,4618
uporaba,4609
medved,4608
jezero,4605
povezava,4601
ocean,4598
sef,4597
pesjan,4595
prijateljstvo,4595
tveganje,4593
oblika,4583
raziskava,4580
rev,4579
minutka,4565
breme,4559
robot,4556
utrip,4545
podpis,4544
prekletstvo,4541
guverner,4538
geslo,4534
zaloga,4528
uničenje,4526
namestnik,4525
preostanek,4522
zdravljenje,4521
obnašanje,4515
lokal,4502
dosja,4495
trak,4491
stil,4485
april,4480
intervju,4477
wc,4472
čuvaj,4470
koordinata,4467
pacient,4462
skodelica,4453
greh,4447
vaja,4444
posadka,4432
top,4430
pomen,4425
trupel,4423
polnoč,4416
plača,4414
oder,4413
avtomobil,4398
humor,4394
večnost,4379
bojevnik,4378
demon,4378
priimek,4374
mreža,4363
ustnica,4363
bitka,4359
denarnica,4352
jed,4350
frajer,4346
majica,4335
e,4331
last,4323
kap,4318
sodelovanje,4315
prizor,4307
miška,4307
oddaja,4281
alkohol,4261
koncert,4258
DVD,4256
pobeg,4255
mera,4248
urad,4246
naglas,4243
vohun,4238
zgradba,4235
odbor,4233
svetovalec,4231
izdajati,4221
okrepitev,4217
piščanec,4214
kavboj,4214
penis,4207
obtožba,4197
kapa,4186
cedilo,4182
učiteljica,4178
dragica,4170
mmm,4158
kanal,4150
novinar,4148
kača,4146
tujec,4144
kopija,4143
psica,4134
priznanje,4132
prihod,4128
tona,4126
tehnologija,4118
obljuba,4115
skok,4113
univerza,4109
stena,4103
prtljaga,4098
tečaj,4091
sosed,4086
zaslišanje,4084
puščava,4083
vrednost,4079
tožilec,4069
človeštvo,4063
roman,4058
četrt,4055
stvor,4053
baba,4050
letnik,4031
proces,4022
grlo,4018
devica,3990
terorist,3987
rokavica,3984
kopalnica,3982
videz,3980
trg,3978
kartoteka,3978
stopnja,3970
les,3966
pankrt,3965
politika,3962
ubijanje,3954
rep,3947
značka,3947
teren,3946
sezona,3941
klica,3936
vampir,3934
tank,3930
plen,3921
katastrofa,3920
počitek,3918
motiv,3918
julij,3917
rekord,3915
olje,3911
gol,3898
maslo,3896
pesek,3892
prijateljček,3892
jakna,3890
sredstvo,3878
spanje,3877
pica,3874
strošek,3871
recept,3862
pretep,3861
mišica,3860
hi,3858
soseska,3856
natakar,3851
lepotec,3847
vitez,3847
pisatelj,3846
vpliv,3844
kuzla,3835
cip,3834
prevara,3830
skupnost,3829
zmaj,3828
zapornik,3828
rima,3826
trava,3826
zdravnica,3825
umetnik,3820
mobitel,3820
čarovnija,3814
lisica,3809
ministrstvo,3807
mobilnik,3806
primerjava,3806
krava,3806
obdobje,3794
poveljstvo,3794
cirkus,3793
ugled,3788
poglavje,3788
raven,3787
gin,3785
kaos,3779
črta,3779
dvorana,3773
dvorišče,3770
reciv,3768
kokain,3767
trening,3764
ostanek,3761
politik,3753
kuhar,3752
kavč,3732
zavest,3720
zlom,3712
solza,3711
pik,3709
polet,3708
čokolada,3706
prasca,3704
posoda,3704
čigava,3699
čigav,3697
osel,3692
madon,3691
muzej,3686
ugrabitev,3676
pogon,3674
pljuča,3673
spalnica,3673
juha,3670
mrha,3668
znanstvenik,3658
namig,3657
križ,3655
sladkor,3654
osebnost,3649
butec,3649
torbica,3648
otroštvo,3645
vrečka,3638
vic,3637
pita,3635
groza,3632
šport,3630
upravnik,3622
obred,3615
omara,3608
starost,3607
detektiv,3604
kip,3602
ubogaj,3601
vez,3601
sol,3598
podlaga,3596
miss,3594
podnevi,3587
brada,3572
igralka,3567
grof,3566
vedenje,3565
okoliščina,3562
alfa,3553
sreda,3551
promet,3545
zamenjava,3533
razgovor,3528
črnec,3527
želodec,3525
strelec,3523
izpit,3520
diamant,3517
obrok,3510
belec,3507
jetra,3507
ati,3504
očk,3497
poklic,3490
jin,3489
up,3488
garaža,3488
jeza,3480
u,3479
krompir,3476
napredek,3471
razum,3467
strast,3462
sovraštvo,3460
šok,3457
stava,3456
moštvo,3454
nogavica,3452
zrezek,3451
suženj,3445
ge,3443
o,3436
blagosel,3426
zajec,3424
okolje,3423
gibanje,3421
internet,3421
borba,3413
dobiček,3410
kaseta,3410
igrišče,3406
pristop,3403
lev,3401
nevesta,3400
kuža,3391
nečak,3389
delta,3387
torbi,3380
zbor,3378
ograja,3376
pristanek,3368
reševanje,3368
wow,3366
učinek,3359
prisotnost,3358
eksplozija,3356
smol,3354
senca,3353
razgled,3342
plošča,3339
užitek,3338
mraz,3338
rama,3332
porota,3332
preizkus,3328
urnik,3327
pička,3321
kritje,3318
ugovor,3317
prstana,3314
dirka,3305
študent,3300
dvojček,3299
kontakt,3291
kisik,3286
stražar,3282
ducat,3282
prošnja,3282
trpljenje,3279
žur,3279
ječa,3274
studio,3270
padec,3268
min,3266
tajnica,3264
lepota,3262
voziček,3255
maček,3254
predsednica,3230
igranje,3227
obveznost,3227
temperatura,3225
lutka,3224
upor,3209
bes,3207
oddajnik,3204
identiteta,3201
premik,3201
slabost,3200
nered,3195
ocena,3192
klavir,3189
lop,3186
prevzem,3180
splet,3177
slava,3175
hladilnik,3168
trud,3166
blago,3155
bencin,3154
vstopnica,3154
pilota,3148
kovanec,3148
oboževalec,3144
revija,3144
pogoj,3144
varnostnik,3142
lmam,3140
povabilo,3136
delavec,3135
kamion,3130
faks,3130
varovanje,3129
dragec,3125
uniforma,3123
ovira,3118
angela,3116
solata,3116
igrica,3113
zastava,3111
kot,3110
aparat,3106
osnova,3105
zvera,3095
nakit,3094
podpredsednik,3094
pest,3093
kmet,3093
material,3092
poročnica,3092
krožnik,3090
gotovina,3090
pojasnilo,3084
whoa,3077
obletnica,3076
občinstvo,3076
viti,3075
razlagati,3075
mio,3071
vročina,3069
ogled,3069
sprožilec,3068
naboj,3067
molitev,3067
čiščenje,3067
jopič,3051
omaka,3048
koma,3048
tovor,3045
koš,3044
palačinka,3038
bebec,3037
slučaj,3033
tisočak,3033
štab,3033
kreten,3031
mini,3031
dohtar,3029
prepir,3028
panika,3018
miš,3017
milijarda,3013
žid,3012
tragedija,3007
drog,3005
potisen,3000
tovarna,3000
objem,2999
lmaš,2999
središče,2997
poziv,2997
knjižnica,2996
nesporazum,2995
joški,2993
GPS,2990
posluh,2990
ljubimec,2986
popraviti,2986
centrala,2986
baterija,2984
objema,2982
ded,2976
pripravljenost,2976
