word,count
tack,344886
år,171868
mamma,163610
pappa,157499
mrona,144857
liv,131855
dag,130986
tid,122937
sätt,122501
folk,111121
håll,108982
gång,108034
hjälp,107486
barn,107203
förlåt,103687
död,101005
sir,100096
sak,92354
pengar,87894
hand,85110
far,84470
väg,82919
problem,82683
helvete,82550
vän,82227
namn,74294
morgon,74160
kväll,71796
fråga,71422
fru,68317
son,65921
jobb,64348
vann,63088
bil,58663
värld,57807
del,57750
tag,57442
människa,57307
skit,57282
minut,56969
man,53982
doll,52691
polis,52510
familj,51235
fall,50235
redo,49236
röra,48735
släpp,48640
älskling,48254
tur,47632
plats,47607
kvinna,45191
bro,44235
hus,44235
kill,42349
dott,41480
vilja,41280
kille,41097
chans,40642
natt,40311
timme,40309
dörr,40103
ord,39564
dags,39461
mor,39247
rum,39120
doktor,38781
vapen,37830
fara,37621
par,36688
ring,35179
stad,35126
be,34942
klocka,34918
mat,34660
skull,34541
ställe,33926
syster,33654
idé,33539
kapt,33203
mrs,33201
försök,33184
ben,32391
herr,32347
plan,31351
New,31099
skola,30889
blod,30560
flicka,30506
vatten,30290
sanning,29978
månad,29877
val,29857
huvud,28684
sida,28322
miss,27881
kompis,27858
idiot,27831
förälder,27812
kärlek,27499
ursäkt,27107
nummer,26990
roll,26955
tjej,26029
rest,25643
pojke,25602
hjärta,25545
vecka,25531
arg,25470
ögon,25371
grabb,25145
tom,24985
misstag,24893
käft,24303
stick,24095
grund,23570
lycka,23568
miljon,23480
typ,23306
varsågod,23075
historia,22922
person,22640
herre,22452
sam,22445
massa,22404
spring,22332
kära,22227
topp,21899
krig,21726
land,21657
ögonblick,21579
skada,21524
tjänst,21448
hälsa,21310
aning,21137
läge,21036
synd,20989
kaffe,20857
stund,20850
kropp,20828
jord,20799
jävel,20735
middag,20546
resa,20351
arbete,20069
början,19986
chef,19969
fart,19824
bevis,19759
ansikte,19545
råd,19464
tvung,19434
agent,19056
öga,19021
rummer,18828
svar,18554
tv,18385
telefon,18269
sekund,18127
samtal,18043
läkare,17942
allvar,17824
mord,17772
kung,17708
eld,17683
vänster,17649
hund,17478
fängelse,17389
etseb,17375
fred,17038
information,17001
bär,16814
kläder,16568
advokat,16322
dam,16287
nyhet,16058
meddelande,15987
president,15897
höger,15832
dan,15795
jösses,15792
meter,15692
sjukhus,15582
affär,15568
