word,count
evet,4365306
şey,3608341
hayır,3445086
bun,2449960
zaman,1811548
bura,1782528
şim,1547091
m,1425616
okur,1379644
ik,949742
adam,795772
efendi,770127
tanrım,721296
ora,705963
gün,695369
teşekkür,684038
merhaba,658231
gece,651594
iş,562068
devam,541999
izin,541713
bayan,540375
yüz,529760
hak,519592
kimse,473927
baba,449081
önem,446708
özür,443989
anne,442915
selam,440888
lane,425443
bugün,422557
herkes,420744
dakika,418271
para,417015
şekil,416033
saat,400497
çocuk,384077
yıl,383170
yer,381050
ev,377758
an,351720
insan,345604
söz,337577
tane,321840
kişi,308795
kabul,294469
içeri,291531
kez,288518
yarın,287315
kontrol,272733
tatlım,269042
doktor,268231
hafta,261613
hâl,261145
yemek,260047
dışar,255090
polis,251220
ihtiyaç,249734
dikkat,249309
merak,241977
haber,234643
dün,225558
nefret,219433
karar,217089
sabah,214672
tanrı,212403
ateş,212059
akşam,209778
su,208154
birşey,205575
taraf,204625
üzer,203354
ad,203125
fark,202514
ay,201561
dolar,199517
yol,194611
baş,187560
ceva,185876
durum,179645
taki,176705
savaş,174715
dünya,174408
yardımcı,172396
saniye,167930
hayat,167657
konu,167075
göz,165780
oğul,165387
süre,164949
hal,164639
kan,159643
silah,156000
araba,153180
bebek,152773
hayal,152544
hava,152039
evlat,151683
acele,150083
hareke,149367
gari,148518
sürü,148171
herif,146451
el,146211
kardeş,142548
kapı,142361
oyun,142028
can,141581
bey,138598
terk,138242
zarar,138121
telefon,136630
ai,135661
şaka,134667
olay,134402
arkadaş,133811
çenen,130492
ölüm,129706
fikir,125109
kere,123519
tahmin,121650
kapa,119967
güven,118835
başkan,118322
yemin,115238
kaptan,113296
çek,112537
dışarı,111705
the,111039
sefer,110707
içki,109847
sam,109575
şans,108494
dair,107577
pardon,105553
aşk,104102
ses,104027
hata,103754
aile,102774
mille,102227
nefes,101710
işim,100708
bilgi,100592
basi,100548
kahve,100507
kusur,99974
adın,96470
kız,95618
vaki,95435
dalga,95387
doğum,95263
köpek,94433
ilgin,94431
ajan,93023
mesa,92517
gaye,92122
şarkı,91912
seks,90588
kon,90442
cina,89860
ikiniz,89624
teslim,87292
la,87135
görünüş,86290
numar,85829
film,85698
sebe,84239
defa,83665
uyuştur,83542
herşey,83196
suç,83000
pislik,82894
sebep,82874
müzik,82838
parça,82617
orosp,82563
patron,82443
terci,82356
umur,81998
katil,81771
parti,81357
sıra,81005
oda,80962
kayı,80655
eğlence,80446
şehir,78843
isim,78238
ser,77995
aşık,77742
kral,77275
teklif,77124
anlam,76969
kahrola,76893
general,76331
ahba,76246
hanımefendi,75538
takım,75276
bok,74846
yüzbaşı,74607
dave,74091
sene,73905
hep,73841
anlaşma,73827
sahip,73591
zorun,73539
afer,72855
vakit,72035
yazık,71718
iyilik,71443
şimdi,71299
ifade,71246
görev,70910
ikna,70898
kavga,70715
hoş,69805
dava,69323
dua,69118
kita,69070
güneş,68786
ede,68656
öncek,68595
okul,68308
kelim,68267
bölüm,67420
sürece,67204
deniz,66758
sigara,66204
şef,66095
noel,65413
