word,count
ساتھ,1044
طرح,916
بات,701
ضرورت,538
حاصل,536
طور,520
وقت,482
کام,457
لوگ,334
مدد,313
آدمی,304
پتہ,296
شکریہ,274
یقین,274
گھر,271
نام,263
ماں,250
کوشش,245
تلاش,238
خیال,227
وجہ,226
رات,214
دن,210
بار,209
دور,200
جگہ,199
مطلب,196
انتظار,192
جنگ,187
دنیا,182
استعمال,180
والد,177
سر,176
سال,171
آج,169
زندگی,168
یاد,159
فون,148
چیز,147
قسم,146
شروع,145
معاف,140
نمبر,139
نظر,138
مہربانی,134
دوست,131
محبت,131
مسئلہ,130
شہر,129
ڈاکٹر,121
قتل,120
ہاتھ,110
شخص,107
حملہ,107
وعدہ,105
بھائی,102
ذریعہ,102
گولی,101
کل,100
انسان,99
زمین,98
پروگرام,97
تبدیل,97
ملک,96
لڑکی,94
اعتماد,94
راستہ,93
کہانی,93
دروازہ,92
جنگل,91
ہیرو,91
گرد,90
لڑکا,89
امید,83
خاندان,82
حق,80
پولیس,80
گاڑی,80
مقصد,79
سانس,78
عورت,78
خون,77
جواب,77
حفاظت,76
اجازت,76
دیر,75
معلومات,72
جھوٹ,72
معذرت,72
طریقہ,71
پیس,70
موت,69
سوال,68
معافی,68
سوچ,67
پرواہ,67
جادو,67
کال,66
داستان,66
فکر,63
امتحان,63
دوسرا,62
تحفظ,62
منصوبہ,61
توجہ,61
سیکورٹی,60
تعلق,60
فوج,60
مذاق,59
حکومت,59
بچہ,58
شادی,58
لائن,58
خوشی,57
کمرے,57
والدین,56
کمپیوٹر,55
حل,55
گھنٹہ,55
پیغام,54
بادشاہ,54
ہتھیار,53
نیٹ,53
ورک,53
حصہ,53
مردہ,52
گروپ,52
بینک,52
اقدام,52
زبان,52
ہیکر,52
صبح,51
عمل,51
ہفتہ,51
کمپنی,51
تاریخ,50
ریکارڈ,50
مقابلہ,50
طاقت,49
داخل,49
انکار,49
جہاز,49
فیصلہ,49
حکم,48
سیکنڈ,48
پرواز,48
بیوی,48
فوجی,48
بیٹا,48
باپ,48
ماہ,48
تعمیر,47
ٹیم,47
موقع,47
ڈیٹا,46
احساس,45
نجی,45
ذمہ,45
امن,44
